Date,WFC,AMAT,VIX,AvgVIX,zscore
2020-04-13,26.929122924804688,47.22114944458008,41.16999816894531,58.51800022125244,0.485582544209453
2020-04-14,25.85812759399414,49.673091888427734,37.7599983215332,56.27150001525879,0.27476130963582307
2020-04-15,24.36729621887207,47.68503189086914,40.84000015258789,54.51799983978272,0.01650916257117028
2020-04-16,23.039268493652344,49.44588851928711,40.11000061035156,52.70100002288818,-0.23656614062498385
2020-04-17,24.315889358520508,50.36418533325195,38.150001525878906,51.00850009918213,-0.010309146881059213
2020-04-20,23.716136932373047,47.931182861328125,43.83000183105469,49.898000144958495,-0.10355489994843392
2020-04-21,22.996423721313477,45.75377655029297,45.40999984741211,49.089000129699706,-0.22029031745430697
2020-04-22,22.96215057373047,49.33229064941406,41.97999954223633,48.104500198364256,-0.24985489811461628
2020-04-23,22.730817794799805,48.186790466308594,41.380001068115234,46.976000213623045,-0.2844711895727936
2020-04-24,23.064970016479492,48.98200988769531,35.93000030517578,45.722500228881835,-0.22886631562130255
2020-04-27,24.341594696044922,48.30984878540039,33.290000915527344,44.11000022888184,0.007760124630233295
2020-04-28,24.73572540283203,47.732364654541016,33.56999969482422,42.93450012207031,0.08322545886529403
2020-04-29,25.70390510559082,51.44342041015625,31.229999542236328,41.81900005340576,0.2351636628620956
2020-04-30,24.88994789123535,47.03181838989258,34.150001525878906,40.673500061035156,0.1158488201976745
2020-05-01,23.63902473449707,44.39052963256836,37.189998626708984,39.9875,-0.09450044157643903
2020-05-04,23.433393478393555,45.043758392333984,35.970001220703125,39.44600009918213,-0.1361676397444413
