Date,CL,XLU,VIX,AvgVIX,zscore
2022-10-07,63.045894622802734,28.6351318359375,31.360000610351562,28.807499980926515,-2.5145411826864894
2022-10-10,62.5798454284668,28.684532165527344,32.45000076293945,29.236499977111816,-2.7251893414753807
2022-10-11,63.10073471069336,28.581233978271484,33.630001068115234,29.554500007629393,-2.476167772423664
2022-10-12,63.15556335449219,27.62912940979004,33.56999969482422,29.925,-2.184010631806598
2022-10-13,64.89185333251953,28.320751190185547,31.940000534057617,30.2085000038147,-1.6466496579407746
2022-10-14,65.18428802490234,27.91206932067871,32.02000045776367,30.494500064849852,-1.4077581709964186
2022-10-17,65.92449951171875,28.495908737182617,31.3700008392334,30.77500009536743,-1.2603254043346113
2022-10-18,66.63727569580078,29.016874313354492,30.5,30.942000102996825,-1.1067063337476104
2022-10-19,65.56808471679688,28.639619827270508,30.760000228881836,31.08050012588501,-1.4513513038349994
2022-10-20,64.62063598632812,27.91655731201172,29.979999542236328,31.21200008392334,-1.6469083637879414
2022-10-21,65.74287414550781,28.433029174804688,29.690000534057617,31.200500106811525,-1.319211421223154
2022-10-24,66.24879455566406,28.671058654785156,29.850000381469727,31.08000020980835,-1.1729495014516313
2022-10-25,66.92948913574219,29.24591827392578,28.459999084472656,30.87300024032593,-1.0480978372173906
2022-10-26,67.54581451416016,29.232446670532227,27.280000686645508,30.728000259399415,-0.7841792151696929
2022-10-27,67.3618392944336,29.465986251831055,27.389999389648438,30.50550022125244,-0.9278102704629382
2022-10-28,68.65885162353516,30.274381637573242,25.75,30.212000179290772,-0.608835206323815
2022-10-31,67.9229736328125,29.991432189941406,25.8799991607666,30.001000118255615,-0.8394556223781159
2022-11-01,67.83097076416016,30.10820770263672,25.809999465942383,29.838000106811524,-0.9112792065665326
2022-11-02,66.93870544433594,29.816287994384766,25.860000610351562,29.703500175476073,-1.205366338284596
2022-11-03,66.58914184570312,29.9465274810791,25.299999237060547,29.442500114440918,-1.3896943729630267
2022-11-04,67.32503509521484,30.130659103393555,24.549999237060547,29.102000045776368,-1.1311465126399276
2022-11-07,67.61022186279297,29.555801391601562,24.350000381469727,28.69700002670288,-0.8483608881090281
2022-11-08,67.8953628540039,29.76239585876465,25.540000915527344,28.292500019073486,-0.7863941170932199
2022-11-09,67.57341003417969,29.528860092163086,26.09000015258789,27.91850004196167,-0.8562845761951919
2022-11-10,68.96241760253906,30.921096801757812,23.530000686645508,27.498000049591063,-0.6634486330821382
2022-11-11,68.5944595336914,30.575273513793945,22.520000457763672,27.023000049591065,-0.7210281462322399
2022-11-14,68.5944595336914,30.211496353149414,23.729999542236328,26.64099998474121,-0.6182428066027612
2022-11-15,69.28435516357422,30.543842315673828,24.540000915527344,26.34300003051758,-0.42098565510634867
2022-11-16,69.91907501220703,30.81779670715332,24.110000610351562,26.010500049591066,-0.2305161791053626
2022-11-17,69.25676727294922,30.278867721557617,23.93000030517578,25.708000087738036,-0.3577601237991028
2022-11-18,70.33300018310547,30.921096801757812,23.1200008392334,25.379500102996825,-0.08501184354945876
2022-11-21,70.75614929199219,31.06031608581543,22.360000610351562,25.005000114440918,0.05423635952498477
2022-11-22,70.25021362304688,31.32529067993164,21.290000915527344,24.646500205993654,-0.23415594342644974
2022-11-23,70.76535034179688,31.675596237182617,20.350000381469727,24.300000190734863,-0.1157280362737404
2022-11-25,70.61817169189453,31.859731674194336,20.5,23.955500221252443,-0.22987041653900542
2022-11-28,70.25941467285156,31.531883239746094,22.209999084472656,23.778500175476076,-0.2886455446402824
2022-11-29,69.88226318359375,31.298341751098633,21.889999389648438,23.579000186920165,-0.3818302770501513
2022-11-30,71.27127075195312,32.079795837402344,20.579999923706055,23.31750020980835,-0.016417530974754617
2022-12-01,71.51964569091797,32.05284881591797,19.84000015258789,23.016500186920165,0.09601981317824153
2022-12-02,71.90599060058594,31.900150299072266,19.059999465942383,22.704500198364258,0.3022167334884313
2022-12-05,70.94011688232422,31.72049903869629,20.75,22.514500236511232,-0.05465735987942816
2022-12-06,71.02291870117188,31.91811180114746,22.170000076293945,22.405500221252442,-0.07554745674765705
2022-12-07,71.33566284179688,31.76990509033203,22.68000030517578,22.262500190734862,0.0983180424374346
2022-12-08,71.87837219238281,31.97649574279785,22.290000915527344,22.072500228881836,0.26898931201357834
2022-12-09,71.5472183227539,31.810327529907227,22.829999923706055,22.037500190734864,0.17618094656298872
2022-12-12,72.31072235107422,32.53787612915039,25.0,22.16150016784668,0.2928389612257329
2022-12-13,72.43951416015625,32.636680603027344,22.549999237060547,22.10250015258789,0.3192766594326393
2022-12-14,72.98221588134766,32.59626388549805,21.139999389648438,21.932500076293945,0.5597367113754864
2022-12-15,71.63921356201172,32.201045989990234,22.829999923706055,21.86850004196167,0.10460874531714569
2022-12-16,71.52882385253906,31.65314483642578,22.6200008392334,21.803000068664552,0.21282981096397954
2022-12-19,71.73121643066406,31.527265548706055,22.420000076293945,21.768000030517577,0.33381422961953433
2022-12-20,71.46444702148438,31.53632164001465,21.479999542236328,21.723999977111816,0.21866882274875088
2022-12-21,72.66026306152344,31.97551727294922,20.06999969482422,21.66299991607666,0.5992527863131815
2022-12-22,72.9270248413086,31.780826568603516,21.969999313354492,21.743999862670897,0.7668460857137452
2022-12-23,73.08341217041016,32.1068229675293,20.8700008392334,21.76249990463257,0.7407369763327563
2022-12-27,73.53414154052734,32.30604553222656,21.649999618530273,21.73449993133545,0.8746711308080182
2022-12-28,72.50389099121094,31.998146057128906,22.139999389648438,21.74699993133545,0.5268641913799882
2022-12-29,73.00982666015625,32.22907638549805,21.440000534057617,21.789999961853027,0.6751384182232976
2022-12-30,72.47630310058594,31.92117691040039,21.670000076293945,21.88149995803833,0.5369687303530853
2023-01-03,72.78903198242188,31.92117691040039,22.899999618530273,22.073499965667725,0.6689519417029394
2023-01-04,73.2582015991211,32.210960388183594,22.010000228881836,22.136499977111818,0.7850805539993476
2023-01-05,72.24633026123047,31.51367950439453,22.459999084472656,22.15099992752075,0.555050152051303
2023-01-06,73.57096862792969,32.147579193115234,21.1299991607666,22.073499870300292,0.9349882393825403
2023-01-09,72.42110443115234,32.36491775512695,21.969999313354492,22.05749979019165,0.3882937390960134
2023-01-10,72.03477478027344,32.37397384643555,20.579999923706055,21.944999790191652,0.2226894665247283
2023-01-11,70.9493179321289,32.63657760620117,21.09000015258789,21.749499797821045,-0.3096124332345552
2023-01-12,70.68256378173828,32.41471481323242,18.829999923706055,21.56349983215332,-0.3595052042644343
2023-01-13,71.61161804199219,32.2969970703125,18.350000381469727,21.423999881744386,0.06585140534088002
2023-01-17,71.96118927001953,32.25171661376953,19.360000610351562,21.25049991607666,0.22617746190860205
2023-01-18,70.20423126220703,31.47745132446289,20.34000015258789,21.136499881744385,-0.2965552418791678
2023-01-19,69.1739730834961,31.160511016845703,20.520000457763672,21.041499900817872,-0.6418109114097872
2023-01-20,69.8311996459961,31.346147537231445,19.850000381469727,20.95999994277954,-0.41688852619128297
2023-01-23,69.8867416381836,31.35520362854004,19.809999465942383,20.946999931335448,-0.39600654231588905
2023-01-24,70.29402923583984,31.51367950439453,19.200000762939453,20.808500003814697,-0.2688934419652095
2023-01-25,70.13666534423828,31.088064193725586,19.079999923706055,20.71899995803833,-0.21504912656631414
2023-01-26,69.91448974609375,31.192211151123047,18.729999542236328,20.572999954223633,-0.33824223886768057
2023-01-27,66.26742553710938,31.192211151123047,18.510000228881836,20.391499996185303,-1.8774388857363808
