Date,ADI,GILD,VIX,AvgVIX,zscore
2023-03-22,177.41563415527344,70.28508758544922,22.260000228881836,22.026000022888184,0.3986486374060713
2023-03-23,180.11570739746094,71.14321899414062,22.610000610351562,22.09950008392334,0.6715387283441693
2023-03-24,178.44239807128906,72.26329040527344,21.739999771118164,22.10300006866455,0.40095111700631025
2023-03-27,175.66629028320312,71.88391876220703,20.600000381469727,22.085500049591065,0.08948316922087642
2023-03-28,174.55392456054688,73.13949584960938,19.969999313354492,22.048999977111816,-0.12178381070815822
2023-03-29,179.84947204589844,73.42855072021484,19.1200008392334,21.976000022888183,0.49905200647310033
2023-03-30,184.6411590576172,73.57306671142578,19.020000457763672,21.947500038146973,1.0680057471592286
2023-03-31,187.5028533935547,74.94607543945312,18.700000762939453,21.958000087738036,1.3287583475132223
2023-04-03,186.6091766357422,75.18995666503906,18.549999237060547,21.955000019073488,1.2060086866897637
2023-04-04,185.50633239746094,74.17827606201172,19.0,21.925500011444093,1.1351609924181003
2023-04-05,180.9903564453125,75.56031036376953,19.079999923706055,21.923999977111816,0.5056837567250388
2023-04-06,177.94802856445312,75.30738830566406,18.399999618530273,21.71349992752075,0.15434481743170883
2023-04-10,181.54177856445312,74.61185455322266,18.969999313354492,21.42199993133545,0.63044081080055
2023-04-11,180.07766723632812,74.55765533447266,19.100000381469727,21.050999927520753,0.4572124982288606
2023-04-12,178.06210327148438,74.21440887451172,19.09000015258789,20.81899995803833,0.23523968728117756
2023-04-13,179.78294372558594,75.21704864501953,17.799999237060547,20.401999950408936,0.3811670784564259
2023-04-14,179.2220001220703,74.97315979003906,17.06999969482422,20.10599994659424,0.32850411246543987
2023-04-17,180.22979736328125,75.54224395751953,16.950000762939453,19.67799997329712,0.4150774813569051
2023-04-18,180.23928833007812,75.67774200439453,16.829999923706055,19.311999988555907,0.4078987464216359
2023-04-19,179.260009765625,75.97581481933594,16.459999084472656,19.06599998474121,0.2714975059516209
2023-04-20,177.76739501953125,76.49974060058594,17.170000076293945,18.811499977111815,0.059319410011600945
2023-04-21,177.15890502929688,78.19792938232422,16.770000457763672,18.51949996948242,-0.11837340488866172
2023-04-24,177.74838256835938,78.3153305053711,16.889999389648438,18.276999950408936,-0.05449974745549116
2023-04-25,172.2151336669922,77.31269073486328,18.760000228881836,18.18499994277954,-0.6601665900332762
2023-04-26,171.7587890625,75.6416015625,18.84000015258789,18.12849998474121,-0.6125471415072212
2023-04-27,168.86856079101562,75.469970703125,17.030000686645508,18.023999977111817,-0.9505378277415709
2023-04-28,171.01722717285156,74.25956726074219,15.779999732971191,17.86199994087219,-0.6170779342166268
2023-05-01,173.546142578125,73.54596710205078,16.079999923706055,17.73099989891052,-0.26828088942151496
2023-05-02,174.6109619140625,72.6607437133789,17.780000686645508,17.692499971389772,-0.08549729950665863
2023-05-03,173.40353393554688,71.7664794921875,18.34000015258789,17.659499979019166,-0.17616932662623203
