Date,AMD,ADI,VIX,AvgVIX,zscore
2021-08-06,110.11000061035156,157.66290283203125,16.149999618530273,18.010000133514403,0.651564675789114
2021-08-09,107.58000183105469,157.8287353515625,16.719999313354492,18.03750009536743,0.4971834136966709
2021-08-10,106.4800033569336,157.54312133789062,16.790000915527344,18.021000099182128,0.44408822454742447
2021-08-11,107.68000030517578,157.0456085205078,16.170000076293945,18.013000106811525,0.53373698740079
2021-08-12,106.5,155.3135528564453,15.59000015258789,17.942000102996825,0.5326848357705737
2021-08-13,110.55000305175781,156.6955108642578,15.449999809265137,17.79200005531311,0.7152170569177566
2021-08-16,107.4800033569336,157.6076202392578,16.1200008392334,17.47300009727478,0.5000090613436723
2021-08-17,107.55999755859375,153.21298217773438,17.90999984741211,17.382000112533568,0.6770111504458367
2021-08-18,103.44000244140625,152.73388671875,21.56999969482422,17.565000104904176,0.45498404828682454
2021-08-19,103.69999694824219,153.6644287109375,21.670000076293945,17.76400008201599,0.4336914997935078
2021-08-20,104.6500015258789,153.5261993408203,18.559999465942383,17.832000017166138,0.4946396628149188
2021-08-23,108.7699966430664,156.2809295654297,17.149999618530273,17.81050000190735,0.627432566240823
2021-08-24,107.6500015258789,152.7983856201172,17.219999313354492,17.703499937057494,0.6985294106601204
2021-08-25,108.30000305175781,151.09400939941406,16.790000915527344,17.627500009536742,0.8033555203827899
2021-08-26,107.2699966430664,154.84103393554688,18.84000015258789,17.684499979019165,0.5962199874651726
2021-08-27,111.4000015258789,154.02687072753906,16.389999389648438,17.591999959945678,0.8695445608541401
2021-08-30,111.31999969482422,154.48947143554688,16.190000534057617,17.428500032424928,0.8467285446390089
2021-08-31,110.72000122070312,150.76092529296875,16.479999542236328,17.350499963760377,0.9578656609196294
2021-09-01,109.98999786376953,149.05857849121094,16.110000610351562,17.25750002861023,0.9819508718739366
2021-09-02,109.19999694824219,150.45559692382812,16.40999984741211,17.21399998664856,0.8809941792141405
2021-09-03,109.91999816894531,150.28904724121094,16.40999984741211,17.22699999809265,0.9296091614429612
2021-09-07,109.1500015258789,151.05699157714844,18.139999389648438,17.298000001907347,0.8544895276536852
2021-09-08,106.16999816894531,151.42709350585938,17.959999084472656,17.356499910354614,0.665795494565419
2021-09-09,106.1500015258789,156.18258666992188,18.799999237060547,17.487999868392944,0.47815009549708243
2021-09-10,105.19999694824219,157.22804260253906,20.950000762939453,17.755999898910524,0.3816269638572572
2021-09-13,104.80000305175781,159.8833770751953,19.3700008392334,17.951999950408936,0.2541239920129795
2021-09-14,105.7300033569336,160.49398803710938,19.459999084472656,18.118999862670897,0.28453871684662896
2021-09-15,105.5999984741211,161.058349609375,18.18000030517578,18.13249988555908,0.2548096842085199
