Date,MS,KLAC,VIX,AvgVIX,zscore
2020-03-17,27.845077514648438,139.7700653076172,75.91000366210938,41.9040002822876,-0.6876196574045473
2020-03-18,25.339929580688477,123.32051086425781,76.44999694824219,45.007500123977664,-0.4547697853591413
2020-03-19,25.480012893676758,118.9675521850586,72.0,47.829500102996825,-0.2678380014005276
2020-03-20,24.44993782043457,106.50662994384766,66.04000091552734,50.27750015258789,0.04395039151491804
2020-03-23,22.91717529296875,108.69241333007812,61.59000015258789,52.10550012588501,-0.2781343898484751
2020-03-24,27.375354766845703,127.37450408935547,61.66999816894531,53.796500015258786,-0.29086362975610636
2020-03-25,28.009885787963867,128.4113311767578,63.95000076293945,55.61600008010864,-0.2311594857594786
2020-03-26,29.427268981933594,139.89149475097656,61.0,56.708000087738036,-0.44531430688964
2020-03-27,28.02635955810547,132.86703491210938,65.54000091552734,57.97950010299682,-0.3975558824835665
2020-03-30,28.710344314575195,139.66734313964844,57.08000183105469,59.16250028610229,-0.5486943762244507
2020-03-31,28.018125534057617,134.26821899414062,53.540000915527344,59.99850034713745,-0.45197593192543506
2020-04-01,26.056861877441406,122.9375228881836,57.060001373291016,61.252000427246095,-0.3283648468318549
2020-04-02,27.935720443725586,123.71281433105469,50.90999984741211,61.81650047302246,-0.06455834213130807
2020-04-03,27.894514083862305,119.50936126708984,46.79999923706055,62.059500503540036,0.08841265243173567
2020-04-06,30.498552322387695,138.71453857421875,45.2400016784668,61.598500633239745,-0.2335023247163829
2020-04-07,30.440876007080078,137.56561279296875,46.70000076293945,61.568500709533694,-0.19893399312687077
2020-04-08,32.44334411621094,142.32955932617188,43.349998474121094,61.041000556945804,-0.0670935152839593
2020-04-09,33.85248947143555,140.22775268554688,41.66999816894531,59.35100040435791,0.2325155612772547
2020-04-13,32.616397857666016,142.06796264648438,41.16999816894531,58.51800022125244,-0.03016732298323427
2020-04-14,32.84714126586914,151.0727996826172,37.7599983215332,56.27150001525879,-0.33563592002026427
2020-04-15,31.644001007080078,143.12353515625,40.84000015258789,54.51799983978272,-0.22194443789493207
2020-04-16,31.61103630065918,146.32748413085938,40.11000061035156,52.70100002288818,-0.3485875055457849
2020-04-17,32.21259307861328,150.58700561523438,38.150001525878906,51.00850009918213,-0.41623877307008095
2020-04-20,31.61103630065918,146.0005340576172,43.83000183105469,49.898000144958495,-0.3361890496476034
2020-04-21,30.44911003112793,138.7986297607422,45.40999984741211,49.089000129699706,-0.2444069494246141
2020-04-22,31.157806396484375,148.22372436523438,41.97999954223633,48.104500198364256,-0.49122504012925244
2020-04-23,30.877634048461914,148.94293212890625,41.380001068115234,46.976000213623045,-0.5622210364107448
2020-04-24,31.289653778076172,154.0525360107422,35.93000030517578,45.722500228881835,-0.6916871065602842
2020-04-27,32.39390563964844,155.1173858642578,33.290000915527344,44.11000022888184,-0.559742971248548
2020-04-28,33.06963348388672,155.3135528564453,33.56999969482422,42.93450012207031,-0.4617306844796008
2020-04-29,33.90925598144531,164.29966735839844,31.229999542236328,41.81900005340576,-0.6714701847395619
2020-04-30,32.7786750793457,153.27723693847656,34.150001525878906,40.673500061035156,-0.4299161585040952
2020-05-01,31.922426223754883,140.36795043945312,37.189998626708984,39.9875,-0.07399850650889352
