Date,KO,KDP,VIX,AvgVIX,zscore
2020-03-05,46.878562927246094,23.114042282104492,39.619998931884766,23.281499910354615,1.6494221014613757
2020-03-06,45.655784606933594,22.797304153442383,41.939998626708984,24.630499839782715,1.4460807669108362
2020-03-09,42.846702575683594,20.93105697631836,54.459999084472656,26.57999978065491,1.3846322561408673
2020-03-10,44.3338623046875,21.61591148376465,47.29999923706055,28.192999744415282,1.5251791807275428
2020-03-11,43.13587951660156,20.9824161529541,53.900001525878906,30.12899980545044,1.4411105300849936
2020-03-12,38.963565826416016,19.681182861328125,75.47000122070312,33.21549987792969,0.825832177758359
2020-03-13,40.3970947265625,20.092100143432617,57.83000183105469,35.39949998855591,1.0501149011002309
2020-03-16,37.721736907958984,16.779085159301758,82.69000244140625,38.850000095367434,1.5387304435686426
2020-03-17,39.32194519042969,17.395458221435547,75.91000366210938,41.9040002822876,1.7329103289627714
2020-03-18,37.38002395629883,17.044466018676758,76.44999694824219,45.007500123977664,1.3558122561692494
2020-03-19,34.863014221191406,20.81976318359375,72.0,47.829500102996825,-0.6401970829397823
2020-03-20,31.920957565307617,20.14346694946289,66.04000091552734,50.27750015258789,-1.1600117421376541
2020-03-23,31.304208755493164,19.84383773803711,61.59000015258789,52.10550012588501,-1.2127372362730213
2020-03-24,32.87941360473633,20.451650619506836,61.66999816894531,53.796500015258786,-1.021972930788749
2020-03-25,34.67966842651367,21.401893615722656,63.95000076293945,55.61600008010864,-0.89502162184404
2020-03-26,36.91328811645508,21.222124099731445,61.0,56.708000087738036,-0.2533830643379201
2020-03-27,35.67979431152344,20.871126174926758,65.54000091552734,57.97950010299682,-0.44728849617527194
2020-03-30,37.50503921508789,21.21355628967285,57.08000183105469,59.16250028610229,-0.09731080513203974
2020-03-31,36.879947662353516,20.77696418762207,53.540000915527344,59.99850034713745,-0.10339363347373348
2020-04-01,35.104713439941406,20.254751205444336,57.060001373291016,61.252000427246095,-0.37638238769307836
2020-04-02,36.62993240356445,20.55628776550293,50.90999984741211,61.81650047302246,-0.0894172981776138
2020-04-03,36.5299072265625,20.504596710205078,46.79999923706055,62.059500503540036,-0.09686500851739516
2020-04-06,38.89689254760742,21.185211181640625,45.2400016784668,61.598500633239745,0.272704699266867
2020-04-07,38.76354217529297,22.32244110107422,46.70000076293945,61.568500709533694,-0.16697406662468325
2020-04-08,39.8553581237793,22.925521850585938,43.349998474121094,61.041000556945804,-0.09952211064976584
2020-04-09,40.83882522583008,23.140905380249023,41.66999816894531,59.35100040435791,0.0780490234600818
2020-04-13,39.11359405517578,22.684288024902344,41.16999816894531,58.51800022125244,-0.2053813363641661
2020-04-14,40.77214050292969,23.683673858642578,37.7599983215332,56.27150001525879,-0.13258370193799204
2020-04-15,39.680335998535156,23.123674392700195,40.84000015258789,54.51799983978272,-0.2153825971783248
2020-04-16,39.255271911621094,23.097829818725586,40.11000061035156,52.70100002288818,-0.31609048731550415
2020-04-17,40.05537796020508,22.529211044311523,38.150001525878906,51.00850009918213,0.09340643667462926
2020-04-20,38.78022384643555,22.417213439941406,43.83000183105469,49.898000144958495,-0.19642785830069187
2020-04-21,37.82175064086914,22.09844207763672,45.40999984741211,49.089000129699706,-0.33069870469887647
2020-04-22,38.0717887878418,22.865219116210938,41.97999954223633,48.104500198364256,-0.5392452429747864
2020-04-23,37.56336975097656,22.54644203186035,41.380001068115234,46.976000213623045,-0.557135589263704
2020-04-24,37.86342239379883,22.649831771850586,35.93000030517578,45.722500228881835,-0.5163835275324863
2020-04-27,38.98856735229492,22.27936553955078,33.290000915527344,44.11000022888184,-0.0934374693752346
2020-04-28,38.955230712890625,23.35628890991211,33.56999969482422,42.93450012207031,-0.4857666410029255
2020-04-29,39.27194595336914,22.99444580078125,31.229999542236328,41.81900005340576,-0.27494297068064627
2020-04-30,38.24681091308594,22.796289443969727,34.150001525878906,40.673500061035156,-0.46942697665613464
2020-05-01,38.00510787963867,22.313827514648438,37.189998626708984,39.9875,-0.3600267998799135
2020-05-04,37.62171936035156,22.417213439941406,35.970001220703125,39.44600009918213,-0.4960028404285253
