Date,INTC,UPS,VIX,AvgVIX,zscore
2015-03-06,25.646997451782227,67.37370300292969,15.199999809265137,15.03049988746643,0.0424230040399588
2015-03-09,25.283809661865234,67.32682800292969,15.0600004196167,14.918999862670898,-0.01846766931314104
2015-03-10,24.495616912841797,66.60368347167969,16.690000534057617,14.825999927520751,-0.05693665792540866
2015-03-11,24.982440948486328,66.10149383544922,16.8700008392334,14.807999992370606,0.10985753637205585
2015-03-12,23.80016326904297,66.73760223388672,15.420000076293945,14.73100004196167,-0.2072524305249806
2015-03-13,23.900615692138672,65.9742660522461,16.0,14.764000034332275,-0.0733861725603201
2015-03-16,23.82334327697754,67.13268280029297,15.609999656677246,14.810000038146972,-0.26247223467409136
2015-03-17,23.637880325317383,66.69074249267578,15.65999984741211,14.803000020980836,-0.23055362536895846
2015-03-18,23.869699478149414,67.13268280029297,13.970000267028809,14.729000043869018,-0.25379841674582454
2015-03-19,23.75379180908203,66.89830780029297,14.069999694824219,14.668000030517579,-0.24015492857502757
2015-03-20,24.19425392150879,67.12596130371094,13.020000457763672,14.604000043869018,-0.19205702775517455
2015-03-23,24.1092529296875,66.87820434570312,13.40999984741211,14.54650001525879,-0.1706132331705637
2015-03-24,23.79243278503418,66.46305847167969,13.619999885559082,14.543000030517579,-0.16731234845044682
2015-03-25,23.09697151184082,65.25780487060547,15.4399995803833,14.623000001907348,-0.11575380738537115
2015-03-26,23.243793487548828,64.70874786376953,15.800000190734863,14.717500019073487,-0.0055131000285327325
2015-03-27,24.72743797302246,64.67527770996094,15.069999694824219,14.803999996185302,0.2771406256952799
2015-03-30,24.310161590576172,65.13057708740234,14.510000228881836,14.877500009536742,0.1304282057185065
2015-03-31,24.163341522216797,64.9096450805664,15.289999961853027,14.949000024795533,0.13626111596496415
2015-04-01,23.807884216308594,64.64179229736328,15.109999656677246,14.993000030517578,0.11012857117271575
2015-04-02,23.807884216308594,64.59491729736328,14.670000076293945,15.024500036239624,0.1171948201702958
2015-04-06,23.985610961914062,64.84268951416016,14.739999771118164,15.001500034332276,0.11309885945040649
2015-04-07,24.155616760253906,64.73552703857422,14.779999732971191,14.9875,0.1610634282825881
2015-04-08,24.19425392150879,64.72884368896484,13.979999542236328,14.851999950408935,0.16930041101347604
2015-04-09,24.140161514282227,64.74895477294922,13.09000015258789,14.66299991607666,0.1561473749149132
2015-04-10,24.67334747314453,64.80918884277344,12.579999923706055,14.520999908447266,0.24683297089147746
2015-04-13,24.518800735473633,64.38066101074219,13.9399995803833,14.417999887466431,0.2825145000764046
2015-04-14,24.333343505859375,64.64848327636719,13.670000076293945,14.320999908447266,0.20743985318424732
2015-04-15,25.36880874633789,64.69537353515625,12.84000015258789,14.179999923706054,0.3941196427070265
2015-04-16,25.399715423583984,64.37395477294922,12.600000381469727,14.111499929428101,0.44835546397716947
2015-04-17,25.090620040893555,63.86506271362305,13.890000343322754,14.102499961853027,0.46723367003534566
2015-04-20,25.291528701782227,65.25780487060547,13.300000190734863,14.116499948501588,0.2948749546252124
2015-04-21,25.059707641601562,65.3582534790039,13.25,14.10849995613098,0.2363560795862499
2015-04-22,25.268352508544922,65.7131118774414,12.710000038146973,14.062999963760376,0.22190239869580136
2015-04-23,24.997888565063477,65.76670837402344,12.479999542236328,13.914999961853027,0.16321576147401792
2015-04-24,24.78925895690918,65.68636322021484,12.289999961853027,13.739499950408936,0.13629034675920615
2015-04-27,25.113801956176758,65.23773193359375,13.119999885559082,13.641999959945679,0.2646460127844295
2015-04-28,25.515621185302734,67.47413635253906,12.40999984741211,13.536999940872192,0.002700891018479722
2015-04-29,25.41516876220703,67.79553985595703,13.390000343322754,13.44199995994568,-0.0645454982637573
2015-04-30,25.152437210083008,67.31344604492188,14.550000190734863,13.413999986648559,-0.04103179275263807
2015-05-01,25.824718475341797,67.8825912475586,12.699999809265137,13.315499973297118,-0.0010363925703708568
2015-05-04,25.832447052001953,67.91607666015625,12.850000381469727,13.221000003814698,-0.004638094012639711
