Date,KDP,XLF,VIX,AvgVIX,zscore
2022-11-30,35.070831298828125,34.2087287902832,20.579999923706055,23.31750020980835,1.6982708410903975
2022-12-01,35.10710906982422,34.010868072509766,19.84000015258789,23.016500186920165,1.6959066513131813
2022-12-02,35.13431930541992,33.85072326660156,19.059999465942383,22.704500198364258,1.6930077530679786
2022-12-05,34.426918029785156,33.0122184753418,20.75,22.514500236511232,1.288744617112043
2022-12-06,34.16390609741211,32.72016525268555,22.170000076293945,22.405500221252442,1.1403288134142486
2022-12-07,34.40877151489258,32.588260650634766,22.68000030517578,22.262500190734862,1.2397838335425653
2022-12-08,34.744346618652344,32.61653518676758,22.290000915527344,22.072500228881836,1.3961266493203652
2022-12-09,34.39971160888672,32.531734466552734,22.829999923706055,22.037500190734864,1.230215808654732
2022-12-12,34.54481506347656,32.965110778808594,25.0,22.16150016784668,1.338202619467467
2022-12-13,34.13670349121094,33.04990768432617,22.549999237060547,22.10250015258789,1.159493803329363
2022-12-14,33.86461639404297,32.635372161865234,21.139999389648438,21.932500076293945,0.9951785027949959
2022-12-15,33.220699310302734,31.994720458984375,22.829999923706055,21.86850004196167,0.6389514295280255
2022-12-16,32.712825775146484,31.74976348876953,22.6200008392334,21.803000068664552,0.3829501382527466
2022-12-19,32.93955612182617,31.664445877075195,22.420000076293945,21.768000030517577,0.4785698303602682
2022-12-20,32.885135650634766,31.79716682434082,21.479999542236328,21.723999977111816,0.46638179757860204
2022-12-21,33.13001251220703,32.2901496887207,20.06999969482422,21.66299991607666,0.6257620831467536
2022-12-22,32.91234588623047,32.005733489990234,21.969999313354492,21.743999862670897,0.4988383868503159
2022-12-23,32.984901428222656,32.18586349487305,20.8700008392334,21.76249990463257,0.5493280028947233
2022-12-27,32.74003219604492,32.17638397216797,21.649999618530273,21.73449993133545,0.43631401058393277
2022-12-28,32.44074630737305,32.06261444091797,22.139999389648438,21.74699993133545,0.28838691559922847
2022-12-29,32.49516677856445,32.50819778442383,21.440000534057617,21.789999961853027,0.3560281460993582
2022-12-30,32.34098434448242,32.42287063598633,21.670000076293945,21.88149995803833,0.27725902802338814
2023-01-03,32.24123001098633,32.53664016723633,22.899999618530273,22.073499965667725,0.24249919790916466
2023-01-04,32.50423049926758,33.05805969238281,22.010000228881836,22.136499977111818,0.412903538132039
2023-01-05,32.18503189086914,32.811561584472656,22.459999084472656,22.15099992752075,0.2431328338639335
