Date,PEP,QCOM,VIX,AvgVIX,zscore
2022-08-05,154.68531799316406,137.77352905273438,21.149999618530273,23.84950008392334,0.014173524041966128
2022-08-08,154.06497192382812,135.57220458984375,21.290000915527344,23.60550012588501,-0.11264944006236453
2022-08-09,154.6410675048828,130.7109832763672,21.770000457763672,23.329500102996825,-0.13474144355080134
2022-08-10,155.91714477539062,134.8201141357422,19.739999771118164,22.975500106811523,0.11765022225049247
2022-08-11,155.1195526123047,135.5905303955078,20.200000762939453,22.665500164031982,0.027522028734713728
2022-08-12,157.14895629882812,138.76405334472656,19.530000686645508,22.43050022125244,0.3608279199870619
2022-08-15,158.8770294189453,139.53451538085938,19.950000762939453,22.163000297546386,0.6055149888643526
2022-08-16,159.79869079589844,137.6083984375,19.690000534057617,21.922500324249267,0.6886821601294665
2022-08-17,159.71006774902344,136.23257446289062,19.899999618530273,21.723500347137453,0.6490671238420821
2022-08-18,159.86956787109375,138.8466033935547,19.559999465942383,21.546000289916993,0.7231572894274405
2022-08-19,159.66574096679688,135.37957763671875,20.600000381469727,21.424500274658204,0.625913858572096
2022-08-22,158.14151000976562,129.88551330566406,23.799999237060547,21.44650020599365,0.3125744986978812
2022-08-23,158.07061767578125,129.06919860839844,24.110000610351562,21.41750020980835,0.28664255731500676
2022-08-24,158.8592987060547,129.61036682128906,22.81999969482422,21.396500205993654,0.4021550430047731
2022-08-25,158.8681640625,134.14134216308594,21.780000686645508,21.369000244140626,0.4951032872962925
2022-08-26,155.1195526123047,126.9229507446289,25.559999465942383,21.580500221252443,-0.1480361710030171
2022-08-29,154.6321563720703,125.73058319091797,26.209999084472656,21.74900016784668,-0.23679866634305907
2022-08-30,153.30287170410156,123.28162384033203,26.209999084472656,21.863000106811523,-0.46261768123630187
2022-08-31,152.66482543945312,121.99958038330078,25.8700008392334,22.059000110626222,-0.5731674161553801
2022-09-01,154.20822143554688,119.83203887939453,25.559999465942383,22.26500005722046,-0.4124700674898205
2022-09-02,152.25439453125,118.50385284423828,25.469999313354492,22.48100004196167,-0.6983806098652862
2022-09-06,151.22845458984375,116.8343734741211,26.90999984741211,22.761999988555907,-0.8681987481909996
2022-09-07,154.56509399414062,118.61454010009766,24.639999389648438,22.905499935150146,-0.3898212534476847
2022-09-08,154.04763793945312,118.84512329101562,23.610000610351562,23.098999977111816,-0.45374735030193536
2022-09-09,154.53831481933594,121.79664611816406,22.790000915527344,23.228499984741212,-0.3289190034752875
2022-09-12,155.1449432373047,122.67288970947266,23.8700008392334,23.445499992370607,-0.23075347590578085
2022-09-13,149.35494995117188,115.22950744628906,27.270000457763672,23.811499977111815,-1.1490654222885248
2022-09-14,150.4879608154297,117.62761688232422,26.15999984741211,24.13499994277954,-0.9502953503912271
2022-09-15,147.98997497558594,115.27562713623047,26.270000457763672,24.45349998474121,-1.329078933837944
2022-09-16,148.96238708496094,115.2479476928711,26.299999237060547,24.79049997329712,-1.2007319440866193
2022-09-19,150.53256225585938,116.8159408569336,25.760000228881836,25.048499965667723,-0.9608229272998748
2022-09-20,150.70205688476562,115.0819091796875,27.15999984741211,25.216499996185302,-0.9734759904249644
2022-09-21,150.27381896972656,114.94357299804688,27.989999771118164,25.41049995422363,-1.0330472092138598
2022-09-22,150.41659545898438,114.0765609741211,27.350000381469727,25.636999988555907,-1.0316810370519198
2022-09-23,150.34523010253906,111.7799072265625,29.920000076293945,26.04399995803833,-1.0876593327291864
2022-09-26,150.28273010253906,110.44248962402344,32.2599983215332,26.37899990081787,-1.1230334673049136
2022-09-27,148.1058807373047,110.99588775634766,32.599998474121094,26.698499870300292,-1.4003982394098784
2022-09-28,150.4790496826172,109.69539642333984,30.18000030517578,26.89699993133545,-1.1121404599523612
2022-09-29,148.6411895751953,105.9229736328125,31.84000015258789,27.195499897003174,-1.432184879010867
2022-09-30,145.65249633789062,104.20738220214844,31.6200008392334,27.498499965667726,-1.8631290131087
2022-10-03,147.4279022216797,108.1181640625,30.100000381469727,27.730000019073486,-1.5485614211845238
2022-10-04,149.08729553222656,112.8682861328125,29.06999969482422,27.83800001144409,-1.2323725290298386
2022-10-05,148.09695434570312,115.1926040649414,28.549999237060547,28.033500003814698,-1.316578831675284
2022-10-06,145.2421112060547,115.55232238769531,30.520000457763672,28.378999996185303,-1.68774462232982
2022-10-07,144.18045043945312,111.52164459228516,31.360000610351562,28.807499980926515,-1.9101231713101527
2022-10-10,144.36778259277344,105.70160675048828,32.45000076293945,29.236499977111816,-2.0031719519009923
2022-10-11,145.05474853515625,101.4864501953125,33.630001068115234,29.554500007629393,-1.9974806757473764
2022-10-12,151.12136840820312,100.20435333251953,33.56999969482422,29.925,-1.2192287081611934
2022-10-13,155.77841186523438,104.09671020507812,31.940000534057617,30.2085000038147,-0.5230305728985835
2022-10-14,151.83509826660156,101.41265869140625,32.02000045776367,30.494500064849852,-1.1001395264413136
2022-10-17,154.10116577148438,102.92532348632812,31.3700008392334,30.77500009536743,-0.7691003284657871
2022-10-18,156.17987060546875,102.57482147216797,30.5,30.942000102996825,-0.5006364913833492
2022-10-19,154.6632080078125,104.08748626708984,30.760000228881836,31.08050012588501,-0.6710541859701805
2022-10-20,152.96815490722656,103.28502655029297,29.979999542236328,31.21200008392334,-0.9120120619092673
2022-10-21,154.3955535888672,106.75308227539062,29.690000534057617,31.200500106811525,-0.6525452108330649
2022-10-24,158.5172882080078,107.34339141845703,29.850000381469727,31.08000020980835,-0.09419178462867221
2022-10-25,159.043701171875,109.916748046875,28.459999084472656,30.87300024032593,0.027714311187454703
2022-10-26,159.75741577148438,108.93905639648438,27.280000686645508,30.728000259399415,0.10252501522005382
2022-10-27,159.58787536621094,105.79383087158203,27.389999389648438,30.50550022125244,0.016344696622510084
