Date,XOM,HD,VIX,AvgVIX,zscore
2022-03-25,74.2413330078125,280.61920166015625,20.809999465942383,28.600500106811523,-1.5660972322049187
2022-03-28,72.15872955322266,283.87091064453125,19.6299991607666,28.07450008392334,-1.7985179770919941
2022-03-29,71.77533721923828,286.9689636230469,18.899999618530273,27.353500080108642,-1.8714751929907716
2022-03-30,73.00397491455078,278.6139831542969,19.329999923706055,26.78300008773804,-1.6566626404432427
2022-03-31,71.96704864501953,270.3674011230469,20.559999465942383,26.28700008392334,-1.653298862471475
2022-04-01,72.42884826660156,272.6797180175781,19.6299991607666,25.669500064849853,-1.6383765987630126
2022-04-04,72.46372985839844,276.0126647949219,18.56999969482422,24.77550001144409,-1.675372556962969
2022-04-05,72.08904266357422,275.3623352050781,21.030000686645508,24.070499992370607,-1.7022763205770444
2022-04-06,72.89071655273438,269.6537780761719,22.100000381469727,23.55299997329712,-1.5590108803477087
2022-04-07,74.11064910888672,273.4565124511719,21.549999237060547,23.11899995803833,-1.4917592350298259
2022-04-08,75.6703872680664,281.007568359375,21.15999984741211,22.639499950408936,-1.4382345094751272
2022-04-11,73.0649642944336,277.0423583984375,24.3700008392334,22.26949996948242,-1.6320348418354922
2022-04-12,74.58988189697266,276.6539306640625,24.260000228881836,21.99099998474121,-1.4859038640166213
2022-04-13,75.64424896240234,280.3843994140625,21.81999969482422,21.748499965667726,-1.4331367900125787
2022-04-14,76.53305053710938,275.0552062988281,22.700000762939453,21.6,-1.286369131895982
2022-04-18,77.16045379638672,271.1622619628906,22.170000076293945,21.51499996185303,-1.1811839225373024
2022-04-19,76.4720687866211,278.0178527832031,21.3700008392334,21.40699996948242,-1.3277869823037625
2022-04-20,76.64633178710938,284.647705078125,20.31999969482422,21.27599992752075,-1.3916510663621544
2022-04-21,75.83597564697266,280.3301696777344,22.68000030517578,21.23149995803833,-1.4146987595279117
2022-04-22,74.18033599853516,271.0718994140625,28.209999084472656,21.558499908447267,-1.4565112794946817
2022-04-25,71.67949676513672,275.4345703125,27.020000457763672,21.86899995803833,-1.7411353128422824
2022-04-26,71.70562744140625,270.9364318847656,33.52000045776367,22.563500022888185,-1.684415409992203
2022-04-27,73.75334167480469,272.41778564453125,31.600000381469727,23.198500061035155,-1.5123626856613555
2022-04-28,75.98407745361328,281.5946960449219,29.989999771118164,23.73150005340576,-1.4162255695800663
2022-04-29,74.28489685058594,271.3338928222656,33.400001525878906,24.37350015640259,-1.449975305843426
2022-05-02,75.29570007324219,277.2682189941406,32.34000015258789,25.00900020599365,-1.4278513012576686
2022-05-03,76.84675598144531,275.4526062011719,29.25,25.54300022125244,-1.262068608599438
