Date,KBE,XOM,VIX,AvgVIX,zscore
2020-03-16,22.847274780273438,26.30370330810547,82.69000244140625,38.850000095367434,-0.5422353923216452
2020-03-17,24.132434844970703,28.07304573059082,75.91000366210938,41.9040002822876,-0.45400133370557905
2020-03-18,21.45291519165039,25.258880615234375,76.44999694824219,45.007500123977664,-0.764299843353273
2020-03-19,22.83887481689453,26.25795555114746,72.0,47.829500102996825,-0.5378759260691733
2020-03-20,21.32692527770996,24.96907615661621,66.04000091552734,50.27750015258789,-0.7561487136724389
2020-03-23,19.553340911865234,23.985260009765625,61.59000015258789,52.10550012588501,-1.0884516968047422
2020-03-24,21.852739334106445,27.02822494506836,61.66999816894531,53.796500015258786,-0.9128614877083543
2020-03-25,22.275421142578125,28.439115524291992,63.95000076293945,55.61600008010864,-1.0035474193188398
2020-03-26,24.23667335510254,29.60597038269043,61.0,56.708000087738036,-0.6474815555516502
2020-03-27,23.340585708618164,28.179824829101562,65.54000091552734,57.97950010299682,-0.681211733699763
2020-03-30,23.40821647644043,28.599273681640625,57.08000183105469,59.16250028610229,-0.7236929832923777
2020-03-31,22.791091918945312,28.957725524902344,53.540000915527344,59.99850034713745,-0.9405133804899616
2020-04-01,21.269432067871094,28.62215805053711,57.060001373291016,61.252000427246095,-1.2990452640558443
2020-04-02,21.624488830566406,30.810956954956055,50.90999984741211,61.81650047302246,-1.5201514348723641
2020-04-03,20.66922950744629,29.903400421142578,46.79999923706055,62.059500503540036,-1.6445941676533469
2020-04-06,22.283876419067383,30.864343643188477,45.2400016784668,61.598500633239745,-1.3514982820525168
2020-04-07,23.112335205078125,31.451568603515625,46.70000076293945,61.568500709533694,-1.2147129982950027
2020-04-08,24.219768524169922,33.44208526611328,43.349998474121094,61.041000556945804,-1.2059528518878828
2020-04-09,26.028852462768555,32.89297866821289,41.66999816894531,59.35100040435791,-0.6427950251384061
2020-04-13,24.710079193115234,32.61079406738281,41.16999816894531,58.51800022125244,-0.9547707596725136
2020-04-14,24.355024337768555,32.3591194152832,37.7599983215332,56.27150001525879,-1.0133923319792204
2020-04-15,22.78264617919922,30.871967315673828,40.84000015258789,54.51799983978272,-1.2191962483527106
2020-04-16,21.99644660949707,29.85765266418457,40.11000061035156,52.70100002288818,-1.2830053084705606
2020-04-17,23.8055362701416,32.96162414550781,38.150001525878906,51.00850009918213,-1.247364590798205
2020-04-20,23.644914627075195,31.405824661254883,43.83000183105469,49.898000144958495,-1.0656616089654694
2020-04-21,22.84181785583496,31.2380428314209,45.40999984741211,49.089000129699706,-1.256232682952457
2020-04-22,22.89253807067871,32.13033676147461,41.97999954223633,48.104500198364256,-1.3715175582078967
2020-04-23,23.18842124938965,33.13702392578125,41.380001068115234,46.976000213623045,-1.437749009577674
2020-04-24,23.780176162719727,33.3505744934082,35.93000030517578,45.722500228881835,-1.3103134432625272
2020-04-27,25.242664337158203,33.51072311401367,33.290000915527344,44.11000022888184,-0.9422766863626142
2020-04-28,25.91895294189453,34.29624938964844,33.56999969482422,42.93450012207031,-0.8748269165792146
2020-04-29,27.449068069458008,36.19524002075195,31.229999542236328,41.81900005340576,-0.739797917546611
2020-04-30,26.46844482421875,35.440223693847656,34.150001525878906,40.673500061035156,-0.8930519820420033
2020-05-01,25.23421287536621,32.900604248046875,37.189998626708984,39.9875,-0.8564336175779049
