Date,PEP,FDX,VIX,AvgVIX,zscore
2022-09-23,150.34523010253906,138.50152587890625,29.920000076293945,26.04399995803833,-0.3213729703563305
2022-09-26,150.28277587890625,132.5377960205078,32.2599983215332,26.37899990081787,-0.28948033512118326
2022-09-27,148.10592651367188,134.43914794921875,32.599998474121094,26.698499870300292,-0.5610084676903865
2022-09-28,150.47901916503906,139.11370849609375,30.18000030517578,26.89699993133545,-0.30949194394221063
2022-09-29,148.6411895751953,141.2654266357422,31.84000015258789,27.195499897003174,-0.5423359638215187
2022-09-30,145.6525115966797,137.70391845703125,31.6200008392334,27.498499965667726,-0.8744310457991202
2022-10-03,147.42787170410156,140.4770965576172,30.100000381469727,27.730000019073486,-0.6814927142000397
2022-10-04,149.0872802734375,147.58160400390625,29.06999969482422,27.83800001144409,-0.530909299325793
2022-10-05,148.09698486328125,145.49478149414062,28.549999237060547,28.033500003814698,-0.6349700103864782
2022-10-06,145.2421417236328,143.93661499023438,30.520000457763672,28.378999996185303,-0.9643515274293448
2022-10-07,144.180419921875,143.21319580078125,31.360000610351562,28.807499980926515,-1.0859001042755168
2022-10-10,144.3677978515625,142.1001739501953,32.45000076293945,29.236499977111816,-1.0562678216648453
2022-10-11,145.05477905273438,141.0521240234375,33.630001068115234,29.554500007629393,-0.9676235304078392
2022-10-12,151.12135314941406,141.80337524414062,33.56999969482422,29.925,-0.25080500788805143
2022-10-13,155.77842712402344,144.91973876953125,31.940000534057617,30.2085000038147,0.28272303197087745
2022-10-14,151.8350830078125,145.5782470703125,32.02000045776367,30.494500064849852,-0.19077926525274472
2022-10-17,154.1011505126953,145.5968017578125,31.3700008392334,30.77500009536743,0.07870429719768801
2022-10-18,156.17987060546875,144.9661102294922,30.5,30.942000102996825,0.3301791030147337
2022-10-19,154.6632080078125,141.86830139160156,30.760000228881836,31.08050012588501,0.17015989050591956
2022-10-20,152.96810913085938,139.25277709960938,29.979999542236328,31.21200008392334,-0.014268867029046053
2022-10-21,154.3955535888672,142.11871337890625,29.690000534057617,31.200500106811525,0.13666449842849718
2022-10-24,158.51730346679688,143.53775024414062,29.850000381469727,31.08000020980835,0.6176939197199968
2022-10-25,159.04368591308594,144.50238037109375,28.459999084472656,30.87300024032593,0.6739598962113414
2022-10-26,159.75741577148438,146.50575256347656,27.280000686645508,30.728000259399415,0.7456664043215399
2022-10-27,159.58787536621094,145.5318603515625,27.389999389648438,30.50550022125244,0.731916863953056
2022-10-28,162.57656860351562,148.74098205566406,25.75,30.212000179290772,1.0663372976835592
2022-10-31,161.9967041015625,148.65750122070312,25.8799991607666,30.001000118255615,0.9978982330367548
2022-11-01,161.26516723632812,146.71908569335938,25.809999465942383,29.838000106811524,0.9236448263582147
2022-11-02,159.01695251464844,143.352294921875,25.860000610351562,29.703500175476073,0.6783626207590071
2022-11-03,158.60653686523438,143.68618774414062,25.299999237060547,29.442500114440918,0.6273317292698362
2022-11-04,159.49868774414062,145.30001831054688,24.549999237060547,29.102000045776368,0.7228344465134731
2022-11-07,160.77444458007812,147.69293212890625,24.350000381469727,28.69700002670288,0.8588397177336838
2022-11-08,161.22052001953125,147.97116088867188,25.540000915527344,28.292500019073486,0.9100770851427578
2022-11-09,159.29348754882812,146.5799560546875,26.09000015258789,27.91850004196167,0.689981159720334
2022-11-10,162.103759765625,153.9627227783203,23.530000686645508,27.498000049591063,0.9756540812351014
2022-11-11,158.847412109375,162.87586975097656,22.520000457763672,27.023000049591065,0.529458604053835
2022-11-14,157.66976928710938,162.08749389648438,23.729999542236328,26.64099998474121,0.39454660271740527
