Date,WFC,NEE,VIX,AvgVIX,zscore
2020-03-03,34.72597885131836,57.062217712402344,36.81999969482422,21.26099991798401,1.8175307340429718
2020-03-04,35.47139358520508,60.735809326171875,31.989999771118164,22.05799994468689,1.9982472412984342
2020-03-05,33.329383850097656,59.431636810302734,39.619998931884766,23.281499910354615,1.5923874667358666
2020-03-06,31.778594970703125,58.497657775878906,41.939998626708984,24.630499839782715,1.2986753314384853
2020-03-09,27.82875633239746,56.22936248779297,54.459999084472656,26.57999978065491,0.5519497559955514
2020-03-10,30.05643081665039,55.03495788574219,47.29999923706055,28.192999744415282,0.9427656689914412
2020-03-11,27.700244903564453,51.92091369628906,53.900001525878906,30.12899980545044,0.47573215644893263
2020-03-12,23.30487060546875,44.954647064208984,75.47000122070312,33.21549987792969,-0.4096889056136969
2020-03-13,26.466453552246094,47.68132781982422,57.83000183105469,35.39949998855591,0.1991860040069404
2020-03-16,22.705120086669922,43.3362922668457,82.69000244140625,38.850000095367434,-0.5386931006106639
2020-03-17,25.386890411376953,47.724369049072266,75.91000366210938,41.9040002822876,0.00322157641109388
2020-03-18,24.09312629699707,45.33126449584961,76.44999694824219,45.007500123977664,-0.26160002914778824
2020-03-19,24.23878288269043,44.56943130493164,72.0,47.829500102996825,-0.24443001090225788
2020-03-20,22.705120086669922,41.26599884033203,66.04000091552734,50.27750015258789,-0.564077563605707
2020-03-23,21.634117126464844,39.09455490112305,61.59000015258789,52.10550012588501,-0.7856363851354065
2020-03-24,24.778562545776367,44.4467658996582,61.66999816894531,53.796500015258786,-0.1476883096237607
2020-03-25,24.821401596069336,45.25163269042969,63.95000076293945,55.61600008010864,-0.13002243595854307
2020-03-26,26.475021362304688,49.734405517578125,61.0,56.708000087738036,0.2259188141038504
2020-03-27,25.943809509277344,49.917335510253906,65.54000091552734,57.97950010299682,0.13147546836238844
2020-03-30,25.635356903076172,52.94314193725586,57.08000183105469,59.16250028610229,0.11243404036976645
2020-03-31,24.590068817138672,51.78317642211914,53.540000915527344,59.99850034713745,-0.09204236810598568
2020-04-01,22.765090942382812,46.964683532714844,57.060001373291016,61.252000427246095,-0.48328900759087284
2020-04-02,23.322010040283203,48.733699798583984,50.90999984741211,61.81650047302246,-0.36023329088702344
2020-04-03,22.473777770996094,47.69853973388672,46.79999923706055,62.059500503540036,-0.5273131338092221
2020-04-06,24.53009033203125,50.4682502746582,45.2400016784668,61.598500633239745,-0.11908178872710688
2020-04-07,24.650043487548828,49.17272186279297,46.70000076293945,61.568500709533694,-0.11313386335164705
2020-04-08,25.943809509277344,50.25090026855469,43.349998474121094,61.041000556945804,0.13556540177718698
2020-04-09,28.445653915405273,52.786048889160156,41.66999816894531,59.35100040435791,0.6220123305094298
2020-04-13,26.929122924804688,50.834110260009766,41.16999816894531,58.51800022125244,0.3220540062198588
2020-04-14,25.85812759399414,52.16194152832031,37.7599983215332,56.27150001525879,0.14340219282413078
2020-04-15,24.36729621887207,51.051475524902344,40.84000015258789,54.51799983978272,-0.14156098565308955
2020-04-16,23.039268493652344,51.107425689697266,40.11000061035156,52.70100002288818,-0.382590374889997
2020-04-17,24.315889358520508,52.996944427490234,38.150001525878906,51.00850009918213,-0.127063636652392
2020-04-20,23.716136932373047,51.135406494140625,43.83000183105469,49.898000144958495,-0.259049917162693
2020-04-21,22.996423721313477,50.66410446166992,45.40999984741211,49.089000129699706,-0.3958242759257746
2020-04-22,22.96215057373047,53.19279098510742,41.97999954223633,48.104500198364256,-0.3710574069306095
2020-04-23,22.730817794799805,51.895084381103516,41.380001068115234,46.976000213623045,-0.42907402866809463
2020-04-24,23.064970016479492,51.58518600463867,35.93000030517578,45.722500228881835,-0.37205446314407864
2020-04-27,24.341594696044922,52.424503326416016,33.290000915527344,44.11000022888184,-0.12940385212719047
2020-04-28,24.73572540283203,51.49910354614258,33.56999969482422,42.93450012207031,-0.06901439326366855
2020-04-29,25.70390510559082,50.6016845703125,31.229999542236328,41.81900005340576,0.09620127262406275
2020-04-30,24.88994789123535,49.73870086669922,34.150001525878906,40.673500061035156,-0.06252903570148304
2020-05-01,23.63902473449707,48.86281967163086,37.189998626708984,39.9875,-0.30095001173324454
2020-05-04,23.433393478393555,49.51704406738281,35.970001220703125,39.44600009918213,-0.33035549107498796
