Date,META,KBE,VIX,AvgVIX,zscore
2015-12-09,103.78556060791016,26.639867782592773,19.610000610351562,16.768000078201293,-0.28281760393058514
2015-12-10,104.59915924072266,26.787179946899414,19.34000015258789,16.93200011253357,-0.284773804911091
2015-12-11,101.3248519897461,26.174678802490234,24.389999389648438,17.23300004005432,-0.27092951246584124
2015-12-14,103.84507751464844,26.081634521484375,22.729999542236328,17.365500020980836,-0.11001336779316868
2015-12-15,103.73594665527344,26.779420852661133,20.950000762939453,17.5050000667572,-0.32784510737688843
2015-12-16,105.95851135253906,27.035282135009766,17.860000610351562,17.456000089645386,-0.28864236185513814
2015-12-17,105.39293670654297,26.593351364135742,18.940000534057617,17.56050009727478,-0.18408530089885852
2015-12-18,103.22991180419922,26.051742553710938,20.700000762939453,17.746000146865846,-0.1333031541435327
2015-12-21,103.9542236328125,26.199804306030273,18.700000762939453,17.907500171661376,-0.14018622437622172
2015-12-22,104.6884536743164,26.324495315551758,16.600000381469727,17.956500196456908,-0.13944390386327649
2015-12-23,103.81531524658203,26.729726791381836,15.569999694824219,17.93850016593933,-0.3085638144124352
2015-12-24,104.2022705078125,26.7764835357666,15.739999771118164,17.966000175476076,-0.3024103723705891
2015-12-28,105.10518646240234,26.682958602905273,16.90999984741211,18.055500173568724,-0.2264648125437736
2015-12-29,106.42483520507812,26.932340621948242,16.079999923706055,18.0530002117157,-0.23281189830945132
2015-12-30,105.39293670654297,26.62841033935547,17.290000915527344,18.184000253677368,-0.19474128469246296
2015-12-31,103.84507751464844,26.355661392211914,18.209999084472656,18.299000215530395,-0.19330233660027446
2016-01-04,101.42406463623047,25.7556095123291,20.700000762939453,18.42850022315979,-0.13833427457758798
2016-01-05,101.93011474609375,25.7088565826416,19.34000015258789,18.65500020980835,-0.09749128789331664
2016-01-06,102.16824340820312,25.334787368774414,20.59000015258789,18.89250020980835,0.0287373729796539
2016-01-07,97.1575698852539,24.55550193786621,24.989999771118164,19.262000179290773,0.0018923779192221535
2016-01-08,96.5721664428711,24.056760787963867,27.010000228881836,19.632000160217284,0.12267308187432321
2016-01-11,96.75076293945312,24.041160583496094,24.299999237060547,19.880000114440918,0.13681395543267677
2016-01-12,98.59627532958984,24.119096755981445,22.469999313354492,19.78400011062622,0.21025234451897812
2016-01-13,94.69686889648438,23.29304313659668,25.219999313354492,19.908500099182127,0.2561066730810859
2016-01-14,97.60405731201172,23.558008193969727,23.950000762939453,20.05850009918213,0.3285731374992431
2016-01-15,94.23053741455078,23.020294189453125,27.020000457763672,20.516500091552736,0.31446486887997255
2016-01-19,94.51825714111328,22.786502838134766,26.049999237060547,20.87200002670288,0.40066674694884585
2016-01-20,93.6153564453125,22.513750076293945,27.59000015258789,21.216499996185302,0.43605009243906473
2016-01-21,93.42683410644531,22.1085205078125,26.690000534057617,21.61599998474121,0.5492957442057506
2016-01-22,97.17740631103516,22.420238494873047,22.34000015258789,21.90299997329712,0.651937987015516
2016-01-25,96.25465393066406,21.531843185424805,24.149999618530273,22.33199996948242,0.8733977525277438
2016-01-26,96.58206939697266,22.12410545349121,22.5,22.669999980926512,0.7106142800476173
2016-01-27,93.71456909179688,22.334516525268555,23.110000610351562,22.980000019073486,0.49574856898902075
2016-01-28,108.26042175292969,22.576101303100586,22.420000076293945,23.297000026702882,1.1878474997170232
2016-01-29,111.33629608154297,23.035877227783203,20.200000762939453,23.442500019073485,1.20997996333229
2016-02-01,114.19386291503906,22.887815475463867,19.979999542236328,23.53100004196167,1.4053721553805434
2016-02-02,113.71761322021484,22.20203971862793,21.979999542236328,23.594999980926513,1.5887456100181045
2016-02-03,111.81256103515625,22.326725006103516,21.649999618530273,23.710499954223632,1.450588042472958
2016-02-04,109.62968444824219,22.599470138549805,21.84000015258789,23.772999954223632,1.2528069960856478
2016-02-05,103.2596664428711,22.279958724975586,23.3799991607666,23.692499923706055,1.0146758579588937
2016-02-08,98.97331237792969,21.586397171020508,26.0,23.641999912261962,0.9998954505048543
2016-02-09,98.76495361328125,21.6253662109375,26.540000915527344,23.753999996185303,0.9770854018488223
2016-02-10,100.21358489990234,21.453916549682617,26.290000915527344,23.945000076293944,1.105435969697976
2016-02-11,101.11648559570312,20.666831970214844,28.139999389648438,24.091000080108643,1.3921843882442329
2016-02-12,101.2157211303711,21.664321899414062,25.399999618530273,24.163500022888183,1.0942254026129752
2016-02-16,100.8188247680664,22.25658416748047,24.110000610351562,24.018000030517577,0.893322440442457
2016-02-17,104.38086700439453,22.37348175048828,22.309999465942383,23.83100004196167,1.0452572186158144
2016-02-18,102.66435241699219,21.991626739501953,21.639999389648438,23.533500003814698,1.0709822672809357
2016-02-19,103.75576782226562,22.1085205078125,20.530000686645508,23.22550001144409,1.0928926685398124
2016-02-22,106.32561492919922,22.513750076293945,19.3799991607666,23.07749996185303,1.1049727140209198
2016-02-23,104.63883972167969,21.93707847595215,20.979999542236328,22.91899995803833,1.1914763404276614
2016-02-24,106.04778289794922,21.82797622680664,20.719999313354492,22.829999923706055,1.298788025160405
2016-02-25,107.2285385131836,22.13190269470215,19.110000610351562,22.629999923706055,1.2685527069357183
2016-02-26,107.07969665527344,22.576101303100586,19.809999465942383,22.499499893188478,1.1257076361813612
2016-02-29,106.08747863769531,22.069555282592773,20.549999237060547,22.516999816894533,1.2274505219442866
2016-03-01,108.96490478515625,23.020294189453125,17.700000762939453,22.402999877929688,1.0899134296933168
2016-03-02,109.09388732910156,23.448902130126953,17.09000015258789,22.158499908447265,0.9664285557815873
2016-03-03,108.72676849365234,23.822969436645508,16.700000762939453,21.910999965667724,0.8334119073532845
2016-03-04,107.54603576660156,24.119096755981445,16.860000610351562,21.66199998855591,0.6812653629910268
2016-03-07,104.90675354003906,24.087919235229492,17.350000381469727,21.360500049591064,0.551839972682724
2016-03-08,105.10518646240234,23.480077743530273,18.670000076293945,20.994000053405763,0.7470333093050143
2016-03-09,106.67288970947266,23.285247802734375,18.34000015258789,20.584000015258788,0.888756771268085
2016-03-10,106.484375,23.4722843170166,18.049999237060547,20.17199993133545,0.8219867875846416
2016-03-11,108.55809783935547,24.1502685546875,16.5,19.589999961853028,0.7250542363810424
2016-03-14,109.03435516357422,24.056760787963867,16.920000076293945,19.165999984741212,0.7785401486431643
2016-03-15,109.80829620361328,23.885305404663086,16.84000015258789,18.802499961853027,0.8713844784731469
2016-03-16,111.30652618408203,23.713863372802734,14.989999771118164,18.436499977111815,1.0023430353240381
2016-03-17,110.15555572509766,23.947650909423828,14.4399995803833,18.07649998664856,0.870710672363301
2016-03-18,110.58221435546875,24.289615631103516,14.020000457763672,17.75099997520447,0.7892267952970186
2016-03-21,110.97909545898438,24.289615631103516,13.789999961853027,17.47150001525879,0.8101140769016008
2016-03-22,111.37598419189453,24.234832763671875,14.170000076293945,17.13100004196167,0.8476527129990645
2016-03-23,111.6637191772461,23.921825408935547,14.9399995803833,16.84200005531311,0.9579326651522374
2016-03-24,112.16976165771484,23.812271118164062,14.739999771118164,16.62350001335144,1.017863380576755
2016-03-28,112.80477142333984,23.757497787475586,15.239999771118164,16.39500002861023,1.067931085471977
2016-03-29,115.2356948852539,23.726192474365234,13.819999694824219,16.058500051498413,1.2053821693570892
2016-03-30,113.80691528320312,23.945308685302734,13.5600004196167,15.851500034332275,1.063588380006735
2016-03-31,113.21157836914062,23.765317916870117,13.949999809265137,15.694500017166138,1.0869638643146011
2016-04-01,115.15631866455078,23.851402282714844,13.100000381469727,15.514499998092651,1.1631478765139491
2016-04-04,111.67363739013672,23.788799285888672,14.119999885559082,15.377499961853028,0.9988872090602756
2016-04-05,111.3462142944336,23.30362319946289,15.420000076293945,15.280999946594239,1.129122020720975
2016-04-06,112.8246078491211,23.51491928100586,14.09000015258789,15.051999950408936,1.142705458498439
2016-04-07,112.75516510009766,22.896711349487305,16.15999984741211,14.942999935150146,1.3269517065406886
2016-04-08,109.76859283447266,23.053224563598633,15.359999656677246,14.808499956130982,1.1222013685670063
2016-04-11,108.14134979248047,23.17842674255371,16.260000228881836,14.796499967575073,0.9985073902825021
2016-04-12,109.74874877929688,23.655763626098633,14.850000381469727,14.692999982833863,0.9380185515008165
2016-04-13,109.6495361328125,24.540023803710938,13.84000015258789,14.542999982833862,0.6640310873268624
2016-04-14,109.97696685791016,24.759132385253906,13.720000267028809,14.479500007629394,0.6146664402756211
