Date,KO,NEE,VIX,AvgVIX,zscore
2022-03-07,53.836570739746094,75.43817901611328,36.45000076293945,28.028500080108643,-1.2120568743441047
2022-03-08,51.70356369018555,73.43977355957031,35.130001068115234,28.642000102996825,-2.1923883127845087
2022-03-09,51.967994689941406,71.97904205322266,32.45000076293945,29.192500114440918,-1.9474786169854867
2022-03-10,51.01607131958008,71.83563995361328,30.229999542236328,29.706000137329102,-2.4390323688446744
2022-03-11,51.05131149291992,71.0649642944336,30.75,30.048000144958497,-2.3647975988254135
2022-03-14,51.992767333984375,71.04703521728516,31.770000457763672,30.268500137329102,-1.8671124591857182
2022-03-15,52.95197296142578,73.46665954589844,29.829999923706055,30.3435001373291,-1.5360957378675102
2022-03-16,52.80986785888672,73.94160461425781,26.670000076293945,30.392000102996825,-1.6453198376163178
2022-03-17,53.369407653808594,74.10292053222656,25.670000076293945,30.461000061035158,-1.3619472195163786
2022-03-18,53.37828826904297,73.81614685058594,23.8700008392334,30.249000072479248,-1.336555571723594
2022-03-21,53.80460739135742,73.30534362792969,23.530000686645508,30.038000106811523,-1.0748877887010297
2022-03-22,54.000003814697266,74.24630737304688,22.940000534057617,29.744500160217285,-1.0398148008111836
2022-03-23,53.644737243652344,73.99539947509766,23.56999969482422,29.37200012207031,-1.2090128119478851
2022-03-24,54.15985870361328,75.00802612304688,21.670000076293945,28.9395001411438,-1.0105372615437258
2022-03-25,54.64835739135742,75.22311401367188,20.809999465942383,28.600500106811523,-0.7685047819724006
2022-03-28,54.9947395324707,75.66222381591797,19.6299991607666,28.07450008392334,-0.617582100554502
2022-03-29,55.20790481567383,75.83250427246094,18.899999618530273,27.353500080108642,-0.5174856865623764
2022-03-30,55.25230407714844,76.6211166381836,19.329999923706055,26.78300008773804,-0.5510251978803345
2022-03-31,55.065792083740234,75.91315460205078,20.559999465942383,26.28700008392334,-0.5982399403994448
2022-04-01,55.83848190307617,76.80931091308594,19.6299991607666,25.669500064849853,-0.25554846905549733
2022-04-04,55.545406341552734,76.72864532470703,18.56999969482422,24.77550001144409,-0.40424974883480047
2022-04-05,55.48322296142578,77.36493682861328,21.030000686645508,24.070499992370607,-0.48298603916326077
2022-04-06,56.042762756347656,77.50830078125,22.100000381469727,23.55299997329712,-0.19831702562296516
2022-04-07,56.34474182128906,78.03703308105469,21.549999237060547,23.11899995803833,-0.07727829425182019
2022-04-08,56.69112777709961,77.14984130859375,21.15999984741211,22.639499950408936,0.1694248429279356
2022-04-11,56.67335510253906,75.79666137695312,24.3700008392334,22.26949996948242,0.2577735093155414
2022-04-12,57.339473724365234,75.1783218383789,24.260000228881836,21.99099998474121,0.653643267135913
2022-04-13,57.49047088623047,74.87360382080078,21.81999969482422,21.748499965667726,0.7552628868010488
2022-04-14,57.74803161621094,74.21044158935547,22.700000762939453,21.6,0.9389539655612255
2022-04-18,57.2328987121582,73.22467803955078,22.170000076293945,21.51499996185303,0.7385324711157103
2022-04-19,57.79243850708008,73.33222961425781,21.3700008392334,21.40699996948242,1.0257876640852508
2022-04-20,58.58290100097656,73.04546356201172,20.31999969482422,21.27599992752075,1.4632742859215584
2022-04-21,58.8049430847168,68.26897430419922,22.68000030517578,21.23149995803833,1.9252804608934722
2022-04-22,57.952301025390625,66.27054595947266,28.209999084472656,21.558499908447267,1.6200337309039652
2022-04-25,58.56513977050781,66.35120391845703,27.020000457763672,21.86899995803833,1.9373333510893846
2022-04-26,57.77467346191406,65.92998504638672,33.52000045776367,22.563500022888185,1.5509716230130204
2022-04-27,58.22763442993164,65.6611557006836,31.600000381469727,23.198500061035155,1.809212473841401
2022-04-28,58.78718948364258,65.85830688476562,29.989999771118164,23.73150005340576,2.09000530497226
2022-04-29,57.383888244628906,63.64481735229492,33.400001525878906,24.37350015640259,1.509949532371127
2022-05-02,56.34474182128906,62.61423873901367,32.34000015258789,25.00900020599365,1.036473871191946
2022-05-03,56.02500534057617,63.41181945800781,29.25,25.54300022125244,0.8102931242801557
