Date,KO,XLU,VIX,AvgVIX,zscore
2020-02-28,44.19340515136719,25.593996047973633,40.11000061035156,19.589499998092652,0.48507317766423147
2020-03-02,46.20106887817383,27.100494384765625,33.41999816894531,20.318499898910524,0.025446195637475848
2020-03-03,46.31674575805664,26.76708221435547,36.81999969482422,21.26099991798401,0.34285785417997355
2020-03-04,48.6796760559082,28.28592872619629,31.989999771118164,22.05799994468689,0.009958152261799306
2020-03-05,46.878562927246094,27.849628448486328,39.619998931884766,23.281499910354615,-0.3266902989002256
2020-03-06,45.655784606933594,27.62324333190918,41.939998626708984,24.630499839782715,-0.6123805817141555
2020-03-09,42.846702575683594,26.1208553314209,54.459999084472656,26.57999978065491,-0.4647878957201169
2020-03-10,44.3338623046875,26.36370849609375,47.29999923706055,28.192999744415282,-0.09074685595987061
2020-03-11,43.13587951660156,25.038314819335938,53.900001525878906,30.12899980545044,0.5325204328563033
2020-03-12,38.963565826416016,22.51102638244629,75.47000122070312,33.21549987792969,0.9938160544545557
2020-03-13,40.3970947265625,23.73762321472168,57.83000183105469,35.39949998855591,0.5421240248145346
2020-03-16,37.721736907958984,21.04157066345215,82.69000244140625,38.850000095367434,1.7180933766496007
2020-03-17,39.32194519042969,23.73350715637207,75.91000366210938,41.9040002822876,0.13139302785442608
2020-03-18,37.38002395629883,22.70036506652832,76.44999694824219,45.007500123977664,0.22895543974340493
2020-03-19,34.863014221191406,21.379091262817383,72.0,47.829500102996825,0.34082093618187426
2020-03-20,31.920957565307617,19.68325424194336,66.04000091552734,50.27750015258789,0.5955126989820727
2020-03-23,31.304208755493164,18.67884635925293,61.59000015258789,52.10550012588501,1.1799567195961704
2020-03-24,32.87941360473633,20.68682861328125,61.66999816894531,53.796500015258786,0.14336114510333633
2020-03-25,34.67966842651367,21.214813232421875,63.95000076293945,55.61600008010864,0.4046463153996177
2020-03-26,36.91328811645508,23.023242950439453,61.0,56.708000087738036,-0.21504736682277512
2020-03-27,35.67979431152344,23.147968292236328,65.54000091552734,57.97950010299682,-0.7922068126781877
2020-03-30,37.50503921508789,24.004375457763672,57.08000183105469,59.16250028610229,-0.7900712684193769
2020-03-31,36.879947662353516,23.035717010498047,53.540000915527344,59.99850034713745,-0.23809714865110498
2020-04-01,35.104713439941406,21.651330947875977,57.060001373291016,61.252000427246095,0.21111694607412493
2020-04-02,36.62993240356445,22.32897186279297,50.90999984741211,61.81650047302246,0.24399477820940987
2020-04-03,36.5299072265625,21.530771255493164,46.79999923706055,62.059500503540036,0.8587015610856639
2020-04-06,38.89689254760742,23.193696975708008,45.2400016784668,61.598500633239745,0.40945202309465045
2020-04-07,38.76354217529297,22.902685165405273,46.70000076293945,61.568500709533694,0.5962498871981604
2020-04-08,39.8553581237793,24.14988136291504,43.349998474121094,61.041000556945804,-0.0039128072374901455
2020-04-09,40.83882522583008,25.28898048400879,41.66999816894531,59.35100040435791,-0.5573420641610793
2020-04-13,39.11359405517578,24.48662567138672,41.16999816894531,58.51800022125244,-0.5651921977771271
2020-04-14,40.77214050292969,25.205842971801758,37.7599983215332,56.27150001525879,-0.5149878969883956
2020-04-15,39.680335998535156,24.37437629699707,40.84000015258789,54.51799983978272,-0.2550458304441599
2020-04-16,39.255271911621094,24.3785343170166,40.11000061035156,52.70100002288818,-0.4221643431543108
2020-04-17,40.05537796020508,25.16426658630371,38.150001525878906,51.00850009918213,-0.7570274477194499
2020-04-20,38.78022384643555,24.21224021911621,43.83000183105469,49.898000144958495,-0.469039717150078
2020-04-21,37.82175064086914,23.813135147094727,45.40999984741211,49.089000129699706,-0.5115808091441625
2020-04-22,38.0717887878418,24.507410049438477,41.97999954223633,48.104500198364256,-0.9834585118372111
2020-04-23,37.56336975097656,24.095834732055664,41.380001068115234,46.976000213623045,-0.8424534645057191
2020-04-24,37.86342239379883,24.245500564575195,35.93000030517578,45.722500228881835,-0.8493702458508193
2020-04-27,38.98856735229492,24.499099731445312,33.290000915527344,44.11000022888184,-0.6235554206540453
2020-04-28,38.955230712890625,24.590560913085938,33.56999969482422,42.93450012207031,-0.7112452724727664
2020-04-29,39.27194595336914,24.366064071655273,31.229999542236328,41.81900005340576,-0.40553683959524256
2020-04-30,38.24681091308594,23.804824829101562,34.150001525878906,40.673500061035156,-0.34106560498425825
2020-05-01,38.00510787963867,23.23111343383789,37.189998626708984,39.9875,0.035355558038611276
