Date,MS,CVX,VIX,AvgVIX,zscore
2020-03-11,30.38319206237793,63.65421676635742,53.900001525878906,30.12899980545044,-1.7815977440853643
2020-03-12,25.801401138305664,58.464054107666016,75.47000122070312,33.21549987792969,-1.9987188914690215
2020-03-13,30.90235137939453,63.95319747924805,57.83000183105469,35.39949998855591,-1.7496144495936494
2020-03-16,26.08157730102539,53.434879302978516,82.69000244140625,38.850000095367434,-1.8489368655788725
2020-03-17,27.84507942199707,54.19386291503906,75.91000366210938,41.9040002822876,-1.7337431399343501
2020-03-18,25.339933395385742,42.20358657836914,76.44999694824219,45.007500123977664,-1.6187803631772635
2020-03-19,25.48001480102539,43.99752426147461,72.0,47.829500102996825,-1.6538926215773189
2020-03-20,24.449935913085938,45.53081512451172,66.04000091552734,50.27750015258789,-1.7716443376208961
2020-03-23,22.91718101501465,41.567283630371094,61.59000015258789,52.10550012588501,-1.7874132419810327
2020-03-24,27.375362396240234,51.01996612548828,61.66999816894531,53.796500015258786,-1.6885528378602286
2020-03-25,28.009891510009766,53.105228424072266,63.95000076293945,55.61600008010864,-1.6933720569020718
2020-03-26,29.42727279663086,58.556026458740234,61.0,56.708000087738036,-1.7243792609815514
2020-03-27,28.026369094848633,52.72957992553711,65.54000091552734,57.97950010299682,-1.682523824093828
2020-03-30,28.710338592529297,55.159828186035156,57.08000183105469,59.16250028610229,-1.6923782622195322
2020-03-31,28.018125534057617,55.55081558227539,53.540000915527344,59.99850034713745,-1.755183036060997
2020-04-01,26.05685806274414,52.5609245300293,57.060001373291016,61.252000427246095,-1.8285098678997926
2020-04-02,27.935718536376953,58.35671615600586,50.90999984741211,61.81650047302246,-1.833110083323853
2020-04-03,27.894514083862305,57.58240509033203,46.79999923706055,62.059500503540036,-1.8164851065025374
2020-04-06,30.49856185913086,61.63027572631836,45.2400016784668,61.598500633239745,-1.7211198648931503
2020-04-07,30.440868377685547,62.03660583496094,46.70000076293945,61.568500709533694,-1.7358965999721556
2020-04-08,32.44333267211914,65.9157943725586,43.349998474121094,61.041000556945804,-1.6821310936806895
2020-04-09,33.85249328613281,64.6355209350586,41.66999816894531,59.35100040435791,-1.54191180144169
2020-04-13,32.616397857666016,65.09549713134766,41.16999816894531,58.51800022125244,-1.647981253279412
2020-04-14,32.84713363647461,64.86549377441406,37.7599983215332,56.27150001525879,-1.6245016497534512
2020-04-15,31.64400291442871,63.240230560302734,40.84000015258789,54.51799983978272,-1.6748164647207104
2020-04-16,31.611040115356445,61.32361602783203,40.11000061035156,52.70100002288818,-1.6283979437455796
2020-04-17,32.21261215209961,66.8281021118164,38.150001525878906,51.00850009918213,-1.7230297323164996
2020-04-20,31.611040115356445,64.06819152832031,43.83000183105469,49.898000144958495,-1.6984708525435819
2020-04-21,30.449111938476562,62.58858108520508,45.40999984741211,49.089000129699706,-1.7493602511579054
2020-04-22,31.15781593322754,64.73518371582031,41.97999954223633,48.104500198364256,-1.7500853409309651
2020-04-23,30.87763023376465,66.54444122314453,41.380001068115234,46.976000213623045,-1.817659034883779
2020-04-24,31.289661407470703,66.70545196533203,35.93000030517578,45.722500228881835,-1.7903280473722352
2020-04-27,32.39390182495117,68.77538299560547,33.290000915527344,44.11000022888184,-1.75891248530562
2020-04-28,33.06962585449219,68.92870330810547,33.56999969482422,42.93450012207031,-1.711262926632831
2020-04-29,33.90925598144531,72.53958892822266,31.229999542236328,41.81900005340576,-1.739382355218998
2020-04-30,32.7786750793457,70.53099060058594,34.150001525878906,40.673500061035156,-1.7743738528286817
2020-05-01,31.922422409057617,68.56836700439453,37.189998626708984,39.9875,-1.7896053486739818
