Date,CVX,LOW,VIX,AvgVIX,zscore
2022-03-25,144.17396545410156,195.80931091308594,20.809999465942383,28.600500106811523,0.3172303597113179
2022-03-28,141.65341186523438,196.60020446777344,19.6299991607666,28.07450008392334,0.07349454779337537
2022-03-29,139.9248046875,201.92486572265625,18.899999618530273,27.353500080108642,-0.10933295774807485
2022-03-30,140.9125518798828,192.6549530029297,19.329999923706055,26.78300008773804,0.015545053384963523
2022-03-31,138.6559600830078,185.94158935546875,20.559999465942383,26.28700008392334,-0.17834441096980072
2022-04-01,139.83961486816406,186.13470458984375,19.6299991607666,25.669500064849853,-0.06573583792594358
2022-04-04,139.96734619140625,187.7164764404297,18.56999969482422,24.77550001144409,-0.058699415973362784
2022-04-05,139.1072998046875,188.40621948242188,21.030000686645508,24.070499992370607,-0.14324133889975071
2022-04-06,140.34202575683594,184.5253448486328,22.100000381469727,23.55299997329712,-0.012395507839622257
2022-04-07,142.29205322265625,186.3554229736328,21.549999237060547,23.11899995803833,0.16816807896203337
2022-04-08,144.70188903808594,190.05238342285156,21.15999984741211,22.639499950408936,0.3866038715327229
2022-04-11,140.98069763183594,188.148681640625,24.3700008392334,22.26949996948242,0.03683252160647568
2022-04-12,143.91848754882812,187.73486328125,24.260000228881836,21.99099998474121,0.31925000806326265
2022-04-13,146.18359375,188.9947967529297,21.81999969482422,21.748499965667726,0.5318259662808178
2022-04-14,146.11546325683594,185.10472106933594,22.700000762939453,21.6,0.5380563599383233
2022-04-18,148.07400512695312,182.56651306152344,22.170000076293945,21.51499996185303,0.7337502203070909
2022-04-19,146.31982421875,187.478759765625,21.3700008392334,21.40699996948242,0.5498276098982007
2022-04-20,146.9158935546875,192.741943359375,20.31999969482422,21.27599992752075,0.589605726295715
2022-04-21,140.1461639404297,189.31625366210938,22.68000030517578,21.23149995803833,-0.0468345110836461
2022-04-22,137.05508422851562,181.95712280273438,28.209999084472656,21.558499908447267,-0.31844397631859117
2022-04-25,134.10877990722656,185.0226287841797,27.020000457763672,21.86899995803833,-0.6103661214732087
2022-04-26,133.29129028320312,184.29315185546875,33.52000045776367,22.563500022888185,-0.6861855462749744
2022-04-27,133.0443572998047,184.27471923828125,31.600000381469727,23.198500061035155,-0.7097494668622977
2022-04-28,137.7703857421875,189.4178466796875,29.989999771118164,23.73150005340576,-0.27446054829468924
2022-04-29,133.41050720214844,182.57571411132812,33.400001525878906,24.37350015640259,-0.6691515781313762
2022-05-02,136.03321838378906,187.57110595703125,32.34000015258789,25.00900020599365,-0.4346049873470571
2022-05-03,138.36642456054688,186.17684936523438,29.25,25.54300022125244,-0.20681555772342292
2022-05-04,142.70928955078125,191.28298950195312,25.420000076293945,25.762500190734862,0.19193694101426212
