Date,MS,XLF,VIX,AvgVIX,zscore
2020-04-07,30.440872192382812,19.069271087646484,46.70000076293945,61.568500709533694,-0.5582992932669043
2020-04-08,32.44333267211914,19.903438568115234,43.349998474121094,61.041000556945804,-0.5693533808931454
2020-04-09,33.852500915527344,20.9708194732666,41.66999816894531,59.35100040435791,-0.8834190156243664
2020-04-13,32.61640548706055,20.20840072631836,41.16999816894531,58.51800022125244,-0.7187873444677717
2020-04-14,32.84714889526367,20.298097610473633,37.7599983215332,56.27150001525879,-0.7159649385458026
2020-04-15,31.64400291442871,19.41907501220703,40.84000015258789,54.51799983978272,-0.4684148290738622
2020-04-16,31.611042022705078,19.0782413482666,40.11000061035156,52.70100002288818,-0.2596665503813192
2020-04-17,32.21259689331055,20.08283042907715,38.150001525878906,51.00850009918213,-0.7437492181307775
2020-04-20,31.611042022705078,19.733013153076172,43.83000183105469,49.898000144958495,-0.677159836940106
2020-04-21,30.449111938476562,19.096181869506836,45.40999984741211,49.089000129699706,-0.57331495530668
2020-04-22,31.15781021118164,19.30247688293457,41.97999954223633,48.104500198364256,-0.520524989027544
2020-04-23,30.87763214111328,19.221750259399414,41.380001068115234,46.976000213623045,-0.5419245627841975
2020-04-24,31.289663314819336,19.499807357788086,35.93000030517578,45.722500228881835,-0.6120521540245509
2020-04-27,32.393898010253906,20.163557052612305,33.290000915527344,44.11000022888184,-0.7480667925758473
2020-04-28,33.06963348388672,20.378822326660156,33.56999969482422,42.93450012207031,-0.7095697871122969
2020-04-29,33.90925598144531,20.9708194732666,31.229999542236328,41.81900005340576,-0.8686574519304915
2020-04-30,32.77867889404297,20.44161033630371,34.150001525878906,40.673500061035156,-0.825279545953748
2020-05-01,31.922420501708984,19.786836624145508,37.189998626708984,39.9875,-0.630491379534491
2020-05-04,31.664718627929688,19.60744285583496,35.970001220703125,39.44600009918213,-0.5831332679955469
2020-05-05,31.57326316833496,19.544658660888672,33.61000061035156,38.86450004577637,-0.5668879050945975
2020-05-06,31.00798988342285,19.12308692932129,34.119998931884766,38.235499954223634,-0.44511013504473035
2020-05-07,32.26325988769531,19.571561813354492,31.440000534057617,37.64000005722046,-0.4045788664384926
2020-05-08,33.319034576416016,19.993133544921875,27.979999542236328,36.95550012588501,-0.3987809285379723
2020-05-11,33.1111946105957,19.60744285583496,27.56999969482422,36.275500202178954,-0.20691579728295126
2020-05-12,31.939048767089844,19.096181869506836,33.040000915527344,36.03950033187866,-0.18579364703767093
2020-05-13,30.750268936157227,18.531097412109375,35.279998779296875,35.76150026321411,-0.13467913960000177
2020-05-14,31.43195152282715,19.006484985351562,32.61000061035156,35.38650026321411,-0.26049359705299463
2020-05-15,30.999666213989258,18.88091278076172,31.889999389648438,35.07350015640259,-0.2928608329281512
2020-05-18,33.485286712646484,19.849618911743164,29.299999237060547,34.34700002670288,-0.26403271068860545
2020-05-19,32.6955451965332,19.365264892578125,30.530000686645508,33.60300006866455,-0.16060641048696747
2020-05-20,34.13370895385742,19.795801162719727,27.989999771118164,32.90350008010864,-0.06106790335339647
2020-05-21,33.501914978027344,19.733013153076172,29.530000686645508,32.31100006103516,-0.18535807236532023
2020-05-22,33.3605842590332,19.661256790161133,28.15999984741211,31.92250003814697,-0.17636408541528242
2020-05-26,36.320064544677734,20.683786392211914,28.010000228881836,31.658500003814698,-0.058607345587633176
2020-05-27,38.95532989501953,21.58074951171875,27.6200008392334,31.361000061035156,0.054886797261239455
2020-05-28,36.910301208496094,21.239904403686523,28.59000015258789,31.229000091552734,-0.25968125344436704
2020-05-29,36.74403381347656,20.997726440429688,27.510000228881836,30.89700002670288,-0.14850948830966937
