Date,AVGO,CVX,VIX,AvgVIX,zscore
2022-03-14,52.48640060424805,141.9684600830078,31.770000457763672,30.268500137329102,-0.9801196860617648
2022-03-15,54.79365539550781,134.78147888183594,29.829999923706055,30.3435001373291,-0.6447812003153578
2022-03-16,56.121070861816406,134.2960968017578,26.670000076293945,30.392000102996825,-0.6090586937757462
2022-03-17,55.709716796875,136.62081909179688,25.670000076293945,30.461000061035158,-0.7137901457994683
2022-03-18,56.42517852783203,137.71929931640625,23.8700008392334,30.249000072479248,-0.7531241850103007
2022-03-21,55.95801544189453,140.19725036621094,23.530000686645508,30.038000106811523,-0.8650790144016995
2022-03-22,56.893287658691406,139.72891235351562,22.940000534057617,29.744500160217285,-0.8344670310166038
2022-03-23,55.78026580810547,141.2361297607422,23.56999969482422,29.37200012207031,-0.9118139173609655
2022-03-24,58.2976188659668,141.61080932617188,21.670000076293945,28.9395001411438,-0.8998600701674029
2022-03-25,58.52469253540039,144.17396545410156,20.809999465942383,28.600500106811523,-1.0077375355317009
2022-03-28,58.89787673950195,141.65341186523438,19.6299991607666,28.07450008392334,-0.8949963468995845
2022-03-29,59.69729232788086,139.9247589111328,18.899999618530273,27.353500080108642,-0.8116106595024872
2022-03-30,58.731300354003906,140.91261291503906,19.329999923706055,26.78300008773804,-0.8649443693410148
2022-03-31,58.60007095336914,138.656005859375,20.559999465942383,26.28700008392334,-0.7692023194163569
2022-04-01,58.34880828857422,139.83961486816406,19.6299991607666,25.669500064849853,-0.8229920639750711
2022-04-04,59.08121871948242,139.96731567382812,18.56999969482422,24.77550001144409,-0.8203192452197925
2022-04-05,57.15201187133789,139.1072998046875,21.030000686645508,24.070499992370607,-0.8048028157448288
2022-04-06,56.02408981323242,140.34202575683594,22.100000381469727,23.55299997329712,-0.8705780300026925
2022-04-07,56.12179946899414,142.2920684814453,21.549999237060547,23.11899995803833,-0.9534884644034147
2022-04-08,54.62813949584961,144.70188903808594,21.15999984741211,22.639499950408936,-1.0739641989115039
2022-04-11,54.03346252441406,140.98065185546875,24.3700008392334,22.26949996948242,-0.9203031972200801
2022-04-12,54.448524475097656,143.91847229003906,24.260000228881836,21.99099998474121,-1.0422219102335777
2022-04-13,55.14371109008789,146.1835479736328,21.81999969482422,21.748499965667726,-1.1320349859089758
2022-04-14,53.40434646606445,146.11546325683594,22.700000762939453,21.6,-1.1485134794687493
2022-04-18,54.58161163330078,148.07398986816406,22.170000076293945,21.51499996185303,-1.219741510792373
2022-04-19,55.616477966308594,146.31980895996094,21.3700008392334,21.40699996948242,-1.1326285358295574
2022-04-20,55.62577438354492,146.9158935546875,20.31999969482422,21.27599992752075,-1.1582019830396912
2022-04-21,55.16138458251953,140.1461944580078,22.68000030517578,21.23149995803833,-0.8717701227164123
2022-04-22,54.62348175048828,137.05508422851562,28.209999084472656,21.558499908447267,-0.7446191392309688
2022-04-25,54.710025787353516,134.1087646484375,27.020000457763672,21.86899995803833,-0.6167363816846679
2022-04-26,52.12194061279297,133.2913055419922,33.52000045776367,22.563500022888185,-0.6104062393377307
2022-04-27,52.0726203918457,133.04434204101562,31.600000381469727,23.198500061035155,-0.6003183482984885
2022-04-28,53.878055572509766,137.77037048339844,29.989999771118164,23.73150005340576,-0.783750085746413
2022-04-29,51.59334182739258,133.41050720214844,33.400001525878906,24.37350015640259,-0.621440192923105
2022-05-02,53.63700866699219,136.0332489013672,32.34000015258789,25.00900020599365,-0.7116111799524293
2022-05-03,54.08559036254883,138.36647033691406,29.25,25.54300022125244,-0.8071118465013717
