Date,INTC,CL,VIX,AvgVIX,zscore
2022-03-02,45.670555114746094,69.26051330566406,30.739999771118164,26.566000080108644,1.0387850160652212
2022-03-03,44.79209899902344,69.89261627197266,30.479999542236328,26.985500049591064,0.9656765964627623
2022-03-04,44.92292785644531,69.85649108886719,31.979999542236328,27.367000007629393,0.9781701135053056
2022-03-07,44.55845642089844,69.24244689941406,36.45000076293945,28.028500080108643,0.9235871595475721
2022-03-08,44.39024353027344,67.60800170898438,35.130001068115234,28.642000102996825,0.8610076847684299
2022-03-09,44.51174545288086,68.21302795410156,32.45000076293945,29.192500114440918,0.8902820716997502
2022-03-10,43.60523986816406,66.67790222167969,30.229999542236328,29.706000137329102,0.7543062215474737
2022-03-11,42.82958221435547,66.61470031738281,30.75,30.048000144958497,0.6725586445284741
2022-03-14,41.493202209472656,66.78629302978516,31.770000457763672,30.268500137329102,0.5394777182096576
2022-03-15,41.8763542175293,68.16786193847656,29.829999923706055,30.3435001373291,0.6172273106634797
2022-03-16,43.577205657958984,67.8608627319336,26.670000076293945,30.392000102996825,0.7841513695211525
2022-03-17,44.05381393432617,67.84280395507812,25.670000076293945,30.461000061035158,0.8328073024925232
2022-03-18,44.34352111816406,65.19699096679688,23.8700008392334,30.249000072479248,0.789468124196721
2022-03-21,44.28744888305664,66.95783996582031,23.530000686645508,30.038000106811523,0.832413648532736
2022-03-22,45.221981048583984,67.2739028930664,22.940000534057617,29.744500160217285,0.9375444919012897
2022-03-23,45.109840393066406,66.48829650878906,23.56999969482422,29.37200012207031,0.9042383328288566
2022-03-24,48.240516662597656,66.50634765625,21.670000076293945,28.9395001411438,1.227624668606247
2022-03-25,48.436771392822266,67.52672576904297,20.809999465942383,28.600500106811523,1.276102977205771
2022-03-28,48.13772201538086,68.07756805419922,19.6299991607666,28.07450008392334,1.2605037485052315
2022-03-29,48.82927322387695,68.80901336669922,18.899999618530273,27.353500080108642,1.3520694292630064
2022-03-30,48.062950134277344,68.95350646972656,19.329999923706055,26.78300008773804,1.2770322054468737
2022-03-31,46.31538391113281,68.47491455078125,20.559999465942383,26.28700008392334,1.0835502012701765
2022-04-01,44.96031188964844,69.00765228271484,19.6299991607666,25.669500064849853,0.9585355444458771
2022-04-04,45.97895050048828,69.16117858886719,18.56999969482422,24.77550001144409,1.067842891972561
2022-04-05,44.97900390625,69.9377670288086,21.030000686645508,24.070499992370607,0.9862027762086094
2022-04-06,44.42763137817383,71.16584777832031,22.100000381469727,23.55299997329712,0.9633213028642118
2022-04-07,44.44632339477539,72.61968994140625,21.549999237060547,23.11899995803833,1.0054818339705416
2022-04-08,43.94167709350586,72.46617126464844,21.15999984741211,22.639499950408936,0.94918603368061
2022-04-11,43.52113342285156,72.63776397705078,24.3700008392334,22.26949996948242,0.910561204909682
2022-04-12,43.455718994140625,73.14342498779297,24.260000228881836,21.99099998474121,0.9178079348320044
2022-04-13,43.93232345581055,73.13441467285156,21.81999969482422,21.748499965667726,0.9667138757474832
2022-04-14,42.6800537109375,73.08924865722656,22.700000762939453,21.6,0.8363093389297933
2022-04-18,43.586544036865234,72.24946594238281,22.170000076293945,21.51499996185303,0.9065619098868783
2022-04-19,44.79209899902344,72.79127502441406,21.3700008392334,21.40699996948242,1.0458922346574269
2022-04-20,44.96031188964844,74.05378723144531,20.31999969482422,21.27599992752075,1.098179072676956
2022-04-21,44.39024353027344,74.57151794433594,22.68000030517578,21.23149995803833,1.0537116028916527
2022-04-22,43.49309539794922,73.66322326660156,28.209999084472656,21.558499908447267,0.936047370869268
2022-04-25,43.97905731201172,74.30812072753906,27.020000457763672,21.86899995803833,1.0040142338707385
2022-04-26,42.539878845214844,73.13641357421875,33.52000045776367,22.563500022888185,0.8231574144512196
2022-04-27,42.25951385498047,73.29083251953125,31.600000381469727,23.198500061035155,0.7985148595952478
2022-04-28,43.77345275878906,73.77223205566406,29.989999771118164,23.73150005340576,0.9679790703856026
2022-04-29,40.736228942871094,69.984619140625,33.400001525878906,24.37350015640259,0.5499146336522515
2022-05-02,42.016536712646484,68.28608703613281,32.34000015258789,25.00900020599365,0.6349569200552448
2022-05-03,42.109989166259766,67.65935516357422,29.25,25.54300022125244,0.627251494152505
2022-05-04,43.49309539794922,69.939208984375,25.420000076293945,25.762500190734862,0.8329913688327228
