Date,CVX,KDP,VIX,AvgVIX,zscore
2020-03-24,51.019962310791016,20.451650619506836,61.66999816894531,53.796500015258786,-1.2407260248001073
2020-03-25,53.105224609375,21.40189552307129,63.95000076293945,55.61600008010864,-1.178192209300814
2020-03-26,58.556053161621094,21.222122192382812,61.0,56.708000087738036,-0.40330417535647084
2020-03-27,52.72957229614258,20.871129989624023,65.54000091552734,57.97950010299682,-1.1069186029588212
2020-03-30,55.15981674194336,21.21356201171875,57.08000183105469,59.16250028610229,-0.8584360460325831
2020-03-31,55.550819396972656,20.776962280273438,53.540000915527344,59.99850034713745,-0.7055938473352604
2020-04-01,52.560909271240234,20.25475311279297,57.060001373291016,61.252000427246095,-0.9881351736974195
2020-04-02,58.35673141479492,20.55629539489746,50.90999984741211,61.81650047302246,-0.27729630404304645
2020-04-03,57.5823974609375,20.504596710205078,46.79999923706055,62.059500503540036,-0.3696463418786482
2020-04-06,61.630271911621094,21.185213088989258,45.2400016784668,61.598500633239745,0.018924647768258022
2020-04-07,62.0366096496582,22.32244300842285,46.70000076293945,61.568500709533694,-0.18742736296582554
2020-04-08,65.91580200195312,22.925518035888672,43.349998474121094,61.041000556945804,0.19623974132190197
2020-04-09,64.63550567626953,23.14090919494629,41.66999816894531,59.35100040435791,-0.025515394484219255
2020-04-13,65.09549713134766,22.68429183959961,41.16999816894531,58.51800022125244,0.14120681418283249
2020-04-14,64.86550903320312,23.68367576599121,37.7599983215332,56.27150001525879,-0.11914650699236028
2020-04-15,63.24020767211914,23.123672485351562,40.84000015258789,54.51799983978272,-0.20935092414393355
2020-04-16,61.32362365722656,23.097829818725586,40.11000061035156,52.70100002288818,-0.4613705084980685
2020-04-17,66.82809448242188,22.52920913696289,38.150001525878906,51.00850009918213,0.40999353587873494
2020-04-20,64.06819152832031,22.417213439941406,43.83000183105469,49.898000144958495,0.06424795762186132
2020-04-21,62.58858108520508,22.09844207763672,45.40999984741211,49.089000129699706,-0.061720605738302646
2020-04-22,64.73517608642578,22.86521339416504,41.97999954223633,48.104500198364256,0.051182607175574976
2020-04-23,66.54444885253906,22.54644203186035,41.380001068115234,46.976000213623045,0.36786224142845464
2020-04-24,66.70545196533203,22.649831771850586,35.93000030517578,45.722500228881835,0.3657993578804241
2020-04-27,68.77536010742188,22.279367446899414,33.290000915527344,44.11000022888184,0.7294233468104434
2020-04-28,68.92869567871094,23.356290817260742,33.56999969482422,42.93450012207031,0.5028627885956711
2020-04-29,72.53958892822266,22.994441986083984,31.229999542236328,41.81900005340576,1.0719091404655399
2020-04-30,70.53097534179688,22.796289443969727,34.150001525878906,40.673500061035156,0.8470555184968476
2020-05-01,68.56837463378906,22.31382942199707,37.189998626708984,39.9875,0.6936549051676342
2020-05-04,70.10167694091797,22.417213439941406,35.970001220703125,39.44600009918213,0.8762900014734036
