Date,XOM,KDP,VIX,AvgVIX,zscore
2020-03-11,32.01593017578125,20.982412338256836,53.900001525878906,30.12899980545044,0.11161423265850529
2020-03-12,28.355234146118164,19.681188583374023,75.47000122070312,33.21549987792969,-0.4882057755241387
2020-03-13,29.072124481201172,20.092098236083984,57.83000183105469,35.39949998855591,-0.3868965896510797
2020-03-16,26.30370330810547,16.779090881347656,82.69000244140625,38.850000095367434,-0.5994464549236592
2020-03-17,28.07304573059082,17.395462036132812,75.91000366210938,41.9040002822876,-0.30823282870320157
2020-03-18,25.258880615234375,17.044471740722656,76.44999694824219,45.007500123977664,-0.83655649869081
2020-03-19,26.25795555114746,20.81976318359375,72.0,47.829500102996825,-1.026871546012743
2020-03-20,24.96907615661621,20.143463134765625,66.04000091552734,50.27750015258789,-1.2154784360685476
2020-03-23,23.985260009765625,19.843835830688477,61.59000015258789,52.10550012588501,-1.3818642602014581
2020-03-24,27.02822494506836,20.451650619506836,61.66999816894531,53.796500015258786,-0.834216194636254
2020-03-25,28.439115524291992,21.40189552307129,63.95000076293945,55.61600008010864,-0.6494838600135822
2020-03-26,29.60597038269043,21.222122192382812,61.0,56.708000087738036,-0.3967495544504673
2020-03-27,28.179824829101562,20.871129989624023,65.54000091552734,57.97950010299682,-0.6465708020819718
2020-03-30,28.599273681640625,21.21356201171875,57.08000183105469,59.16250028610229,-0.5978543631355068
2020-03-31,28.957725524902344,20.776962280273438,53.540000915527344,59.99850034713745,-0.48074000823351454
2020-04-01,28.62215805053711,20.25475311279297,57.060001373291016,61.252000427246095,-0.49401733256485425
2020-04-02,30.810956954956055,20.55629539489746,50.90999984741211,61.81650047302246,-0.08605332141091722
2020-04-03,29.903400421142578,20.504596710205078,46.79999923706055,62.059500503540036,-0.2628007108793995
2020-04-06,30.864343643188477,21.185213088989258,45.2400016784668,61.598500633239745,-0.14044007135724731
2020-04-07,31.451568603515625,22.32244300842285,46.70000076293945,61.568500709533694,-0.14032855999604354
2020-04-08,33.44208526611328,22.925518035888672,43.349998474121094,61.041000556945804,0.19663932482067303
2020-04-09,32.89297866821289,23.14090919494629,41.66999816894531,59.35100040435791,0.06416770629487928
2020-04-13,32.61079406738281,22.68429183959961,41.16999816894531,58.51800022125244,0.05481216293594211
2020-04-14,32.3591194152832,23.68367576599121,37.7599983215332,56.27150001525879,-0.09913087543672586
