Date,MS,V,VIX,AvgVIX,zscore
2020-03-16,26.08157730102539,145.3092803955078,82.69000244140625,38.850000095367434,-0.4965481339928971
2020-03-17,27.84507942199707,150.93002319335938,75.91000366210938,41.9040002822876,-0.6191511660611042
2020-03-18,25.339933395385742,141.93487548828125,76.44999694824219,45.007500123977664,-0.3974141182796238
2020-03-19,25.48001480102539,145.53866577148438,72.0,47.829500102996825,-0.5557819040060547
2020-03-20,24.449935913085938,140.3576202392578,66.04000091552734,50.27750015258789,-0.39482489693621425
2020-03-23,22.91718101501465,129.7564697265625,61.59000015258789,52.10550012588501,-0.019192766846486225
2020-03-24,27.375362396240234,147.71820068359375,61.66999816894531,53.796500015258786,-0.5057760970119116
2020-03-25,28.009891510009766,154.64857482910156,63.95000076293945,55.61600008010864,-0.7809300625354784
2020-03-26,29.42727279663086,161.43565368652344,61.0,56.708000087738036,-0.9863061374721769
2020-03-27,28.026369094848633,154.4383087158203,65.54000091552734,57.97950010299682,-0.7697051771662515
2020-03-30,28.710338592529297,158.27154541015625,57.08000183105469,59.16250028610229,-0.8950821970607558
2020-03-31,28.018125534057617,154.01771545410156,53.540000915527344,59.99850034713745,-0.7505697013310886
2020-04-01,26.05685806274414,146.36077880859375,57.060001373291016,61.252000427246095,-0.548037194656511
2020-04-02,27.935718536376953,150.4521484375,50.90999984741211,61.81650047302246,-0.5893575284882114
2020-04-03,27.894514083862305,145.1563262939453,46.79999923706055,62.059500503540036,-0.3433769891175686
2020-04-06,30.49856185913086,161.97096252441406,45.2400016784668,61.598500633239745,-0.9252493329041686
2020-04-07,30.440868377685547,161.1583709716797,46.70000076293945,61.568500709533694,-0.8916422575141771
2020-04-08,32.44333267211914,167.2285614013672,43.349998474121094,61.041000556945804,-1.0161624683095343
2020-04-09,33.85249328613281,166.0335693359375,41.66999816894531,59.35100040435791,-0.8464484605234087
2020-04-13,32.616397857666016,161.54078674316406,41.16999816894531,58.51800022125244,-0.7344787691118236
2020-04-14,32.84713363647461,166.92257690429688,37.7599983215332,56.27150001525879,-0.9692458543169683
2020-04-15,31.64400291442871,158.64439392089844,40.84000015258789,54.51799983978272,-0.676426145098217
2020-04-16,31.611040115356445,155.26036071777344,40.11000061035156,52.70100002288818,-0.5197785229293552
2020-04-17,32.21261215209961,162.06651306152344,38.150001525878906,51.00850009918213,-0.7917383904207714
2020-04-20,31.611040115356445,156.98101806640625,43.83000183105469,49.898000144958495,-0.6007776036142524
2020-04-21,30.449111938476562,153.45372009277344,45.40999984741211,49.089000129699706,-0.5282859453975398
2020-04-22,31.15781593322754,159.24659729003906,41.97999954223633,48.104500198364256,-0.7439205285213458
2020-04-23,30.87763023376465,159.04583740234375,41.380001068115234,46.976000213623045,-0.757029365021228
2020-04-24,31.289661407470703,159.94444274902344,35.93000030517578,45.722500228881835,-0.7661555472991327
2020-04-27,32.39390182495117,164.18865966796875,33.290000915527344,44.11000022888184,-0.8770406080831182
2020-04-28,33.06962585449219,163.70115661621094,33.56999969482422,42.93450012207031,-0.7996848683625138
2020-04-29,33.90925598144531,173.77655029296875,31.229999542236328,41.81900005340576,-1.206375080558242
2020-04-30,32.7786750793457,170.84188842773438,34.150001525878906,40.673500061035156,-1.1592575039238076
2020-05-01,31.922422409057617,167.83074951171875,37.189998626708984,39.9875,-1.0864519225674731
