Date,XOM,FDX,VIX,AvgVIX,zscore
2022-03-01,68.98693084716797,196.5709991455078,33.31999969482422,26.127000045776366,-2.028777034846446
2022-03-02,70.17200469970703,200.5406494140625,30.739999771118164,26.566000080108644,-1.9610712176927794
2022-03-03,70.61639404296875,202.4248504638672,30.479999542236328,26.985500049591064,-1.9399141410311724
2022-03-04,73.27410888671875,196.8998260498047,31.979999542236328,27.367000007629393,-1.6337477764130712
2022-03-07,75.91437530517578,184.55577087402344,36.45000076293945,28.028500080108643,-1.2562633770495206
2022-03-08,76.489501953125,187.21730041503906,35.130001068115234,28.642000102996825,-1.2312673710848698
2022-03-09,72.14131927490234,198.90060424804688,32.45000076293945,29.192500114440918,-1.7604560912494027
2022-03-10,74.38076782226562,201.25009155273438,30.229999542236328,29.706000137329102,-1.5774028707464296
2022-03-11,73.99734497070312,195.65164184570312,30.75,30.048000144958497,-1.5531627176545093
2022-03-14,71.34835815429688,193.77023315429688,31.770000457763672,30.268500137329102,-1.7792944435948068
2022-03-15,67.28775024414062,198.45089721679688,29.829999923706055,30.3435001373291,-2.2068454434913085
2022-03-16,67.03504943847656,207.35330200195312,26.670000076293945,30.392000102996825,-2.3255621205843466
2022-03-17,68.82138061523438,209.2347412109375,25.670000076293945,30.461000061035158,-2.1796253021868224
2022-03-18,68.5512466430664,200.91050720214844,23.8700008392334,30.249000072479248,-2.1156970574759026
2022-03-21,71.627197265625,203.89329528808594,23.530000686645508,30.038000106811523,-1.861654686847955
2022-03-22,71.31351470947266,207.94070434570312,22.940000534057617,29.744500160217285,-1.9341086867988408
2022-03-23,72.43757629394531,203.26004028320312,23.56999969482422,29.37200012207031,-1.7795462256365984
2022-03-24,72.65542602539062,206.60992431640625,21.670000076293945,28.9395001411438,-1.7951265730703763
2022-03-25,74.2413330078125,207.93154907226562,20.809999465942383,28.600500106811523,-1.6618335970507656
2022-03-28,72.15872955322266,211.1345672607422,19.6299991607666,28.07450008392334,-1.889698749601978
2022-03-29,71.77533721923828,218.95399475097656,18.899999618530273,27.353500080108642,-2.0089807137178237
2022-03-30,73.00397491455078,215.90699768066406,19.329999923706055,26.78300008773804,-1.8621711969385815
2022-03-31,71.96704864501953,212.36436462402344,20.559999465942383,26.28700008392334,-1.920672461607992
2022-04-01,72.42884826660156,203.05810546875,19.6299991607666,25.669500064849853,-1.7781975992000072
2022-04-04,72.46372985839844,200.06619262695312,18.56999969482422,24.77550001144409,-1.7429517846352713
2022-04-05,72.08904266357422,193.67843627929688,21.030000686645508,24.070499992370607,-1.7094566879115953
2022-04-06,72.89071655273438,187.2264404296875,22.100000381469727,23.55299997329712,-1.5659170427808669
2022-04-07,74.11064910888672,187.015380859375,21.549999237060547,23.11899995803833,-1.45025151584119
2022-04-08,75.6703872680664,184.95037841796875,21.15999984741211,22.639499950408936,-1.283166040707574
2022-04-11,73.0649642944336,187.3365936279297,24.3700008392334,22.26949996948242,-1.5508968048015919
2022-04-12,74.58988189697266,187.5752410888672,24.260000228881836,21.99099998474121,-1.4116894333689396
2022-04-13,75.64424896240234,189.34654235839844,21.81999969482422,21.748499965667726,-1.3326196958674668
2022-04-14,76.53305053710938,188.82337951660156,22.700000762939453,21.6,-1.2443984886663084
2022-04-18,77.16045379638672,186.5473175048828,22.170000076293945,21.51499996185303,-1.1617275407215328
2022-04-19,76.4720687866211,191.6409454345703,21.3700008392334,21.40699996948242,-1.2802057278419412
2022-04-20,76.64633178710938,191.98971557617188,20.31999969482422,21.27599992752075,-1.2677364487199623
2022-04-21,75.83597564697266,189.85128784179688,22.68000030517578,21.23149995803833,-1.3201953474762338
2022-04-22,74.18033599853516,188.3369598388672,28.209999084472656,21.558499908447267,-1.4579095835794984
2022-04-25,71.67949676513672,188.51136779785156,27.020000457763672,21.86899995803833,-1.6922592867968351
2022-04-26,71.70562744140625,183.5553436279297,33.52000045776367,22.563500022888185,-1.6368177696211186
2022-04-27,73.75334167480469,182.87620544433594,31.600000381469727,23.198500061035155,-1.43919280564021
2022-04-28,75.98407745361328,189.8421630859375,29.989999771118164,23.73150005340576,-1.3063298374144645
2022-04-29,74.28489685058594,182.39894104003906,33.400001525878906,24.37350015640259,-1.384673053458729
2022-05-02,75.29570007324219,180.81118774414062,32.34000015258789,25.00900020599365,-1.273722832415992
2022-05-03,76.84675598144531,183.04141235351562,29.25,25.54300022125244,-1.1533885786594704
