Date,XOM,MS,VIX,AvgVIX,zscore
2015-03-26,52.65250778198242,26.213712692260742,15.800000190734863,14.717500019073487,-0.5409790191127787
2015-03-27,52.19043731689453,26.368263244628906,15.069999694824219,14.803999996185302,-0.6911678746524159
2015-03-30,53.47053146362305,26.721500396728516,14.510000228881836,14.877500009536742,-0.2952343613326657
2015-03-31,53.0771369934082,26.265226364135742,15.289999961853027,14.949000024795533,-0.40794858830466535
2015-04-01,52.73994445800781,26.471281051635742,15.109999656677246,14.993000030517578,-0.5199520026869471
2015-04-02,52.64002227783203,26.537521362304688,14.670000076293945,15.024500036239624,-0.5532761039194329
2015-04-06,53.158294677734375,26.427125930786133,14.739999771118164,15.001500034332276,-0.3864423638459976
2015-04-07,53.54545974731445,26.44920539855957,14.779999732971191,14.9875,-0.26450738125873297
2015-04-08,52.490169525146484,26.6846981048584,13.979999542236328,14.851999950408935,-0.6044851142132102
2015-04-09,52.85858154296875,26.964351654052734,13.09000015258789,14.66299991607666,-0.49512308477673395
2015-04-10,53.426822662353516,26.66997528076172,12.579999923706055,14.520999908447266,-0.307736285277126
2015-04-13,53.28943634033203,26.71413803100586,13.9399995803833,14.417999887466431,-0.3523454599259667
2015-04-14,54.0949592590332,27.111536026000977,13.670000076293945,14.320999908447266,-0.10771079705812564
2015-04-15,55.000389099121094,27.516300201416016,12.84000015258789,14.179999923706054,0.16834585456415851
2015-04-16,54.781864166259766,27.494218826293945,12.600000381469727,14.111499929428101,0.09977087137714041
2015-04-17,54.28229904174805,27.045303344726562,13.890000343322754,14.102499961853027,-0.04672681693802673
2015-04-20,54.47587203979492,27.199844360351562,13.300000190734863,14.116499948501588,0.010538760976930232
2015-04-21,54.25107192993164,27.045303344726562,13.25,14.10849995613098,-0.05660748452386353
2015-04-22,54.61323547363281,27.37647247314453,12.710000038146973,14.062999963760376,0.04944957777164433
2015-04-23,54.663204193115234,27.508935928344727,12.479999542236328,13.914999961853027,0.061845951448315915
2015-04-24,54.307281494140625,27.494218826293945,12.289999961853027,13.739499950408936,-0.05039330815943056
2015-04-27,54.33224868774414,27.26608657836914,13.119999885559082,13.641999959945679,-0.03661301315063156
2015-04-28,54.825557708740234,27.369524002075195,12.40999984741211,13.536999940872192,0.11681022075707438
2015-04-29,54.8692741394043,27.702049255371094,13.390000343322754,13.44199995994568,0.1220714859061733
2015-04-30,54.557044982910156,27.569040298461914,14.550000190734863,13.413999986648559,0.02670653243716076
2015-05-01,55.481224060058594,27.716829299926758,12.699999809265137,13.315499973297118,0.3153194927227011
2015-05-04,55.64356994628906,28.01238441467285,12.850000381469727,13.221000003814698,0.35906961696054146
