Date,KRE,UPS,VIX,AvgVIX,zscore
2022-04-13,58.404239654541016,155.9155731201172,21.81999969482422,21.748499965667726,0.9184447093818403
2022-04-14,57.655582427978516,155.21385192871094,22.700000762939453,21.6,0.853977151895902
2022-04-18,57.85165786743164,154.5039520263672,22.170000076293945,21.51499996185303,0.9140526747531914
2022-04-19,59.937198638916016,157.41799926757812,21.3700008392334,21.40699996948242,1.0472800490305056
2022-04-20,60.3115348815918,157.20338439941406,20.31999969482422,21.27599992752075,1.106844009372474
2022-04-21,59.07268524169922,155.85775756835938,22.68000030517578,21.23149995803833,1.0090796887634896
2022-04-22,57.833839416503906,154.4956817626953,28.209999084472656,21.558499908447267,0.9121108411120907
2022-04-25,57.89622116088867,156.5511932373047,27.020000457763672,21.86899995803833,0.8209664980530176
2022-04-26,56.11370849609375,151.1110382080078,33.52000045776367,22.563500022888185,0.8496458754649243
2022-04-27,56.07804870605469,153.8765106201172,31.600000381469727,23.198500061035155,0.71130574576472
2022-04-28,56.906925201416016,156.98046875,29.989999771118164,23.73150005340576,0.6702159101881393
2022-04-29,55.11549758911133,148.57672119140625,33.400001525878906,24.37350015640259,0.8409528856709593
2022-05-02,55.890892028808594,147.4209747314453,32.34000015258789,25.00900020599365,0.9987045840167266
2022-05-03,56.666290283203125,147.04122924804688,29.25,25.54300022125244,1.1189529997402197
2022-05-04,58.217079162597656,151.73016357421875,25.420000076293945,25.762500190734862,1.0961288444440687
