Date,ASML,AMD,VIX,AvgVIX,zscore
2020-06-19,342.2315368652344,54.22999954223633,35.119998931884766,29.91899995803833,0.10226572776361206
2020-06-22,345.66650390625,54.7599983215332,31.770000457763672,30.09949998855591,0.10570308008899229
2020-06-23,347.8963623046875,53.9900016784668,31.3700008392334,30.267500019073488,0.16967723857213854
2020-06-24,343.09503173828125,52.38999938964844,33.84000015258789,30.57849998474121,0.2124898345563419
2020-06-25,347.8109130859375,51.93000030517578,32.220001220703125,30.760000038146973,0.2830298811344404
2020-06-26,343.2658386230469,50.099998474121094,34.72999954223633,31.121000003814697,0.34103720945828253
2020-06-29,346.1599426269531,50.279998779296875,31.780000686645508,31.298500061035156,0.35870576131183596
2020-06-30,349.21527099609375,52.61000061035156,30.43000030517578,31.47800006866455,0.2587575100496283
2020-07-01,348.7977600097656,52.58000183105469,28.6200008392334,31.626000118255615,0.25643202956575667
2020-07-02,354.1399841308594,52.34000015258789,27.68000030517578,31.719500160217287,0.3207622640086251
2020-07-06,365.75421142578125,53.400001525878906,27.940000534057617,31.890500164031984,0.3729542458623002
2020-07-07,362.4900207519531,52.93000030517578,29.43000030517578,32.07150020599365,0.36782298050215245
2020-07-08,371.89349365234375,53.43000030517578,28.079999923706055,32.097000217437746,0.42993408505262487
2020-07-09,374.540771484375,57.2599983215332,29.260000228881836,32.18150024414062,0.24295574159655062
2020-07-10,375.613037109375,55.880001068115234,27.290000915527344,31.506500244140625,0.3296798670943513
2020-07-13,368.7527160644531,53.59000015258789,32.189998626708984,31.31150016784668,0.3910659082334343
2020-07-14,376.5429382324219,54.720001220703125,29.520000457763672,31.067500114440918,0.4028514885866091
2020-07-15,356.2369384765625,55.34000015258789,27.760000228881836,30.772000217437743,0.17452716206591437
2020-07-16,365.5264892578125,54.91999816894531,28.0,30.49850015640259,0.2865381901428136
2020-07-17,363.97979736328125,55.040000915527344,25.68000030517578,30.13550024032593,0.2651134286031625
2020-07-20,371.4664611816406,57.459999084472656,24.459999084472656,29.602500247955323,0.2025055400791391
2020-07-21,364.1980895996094,57.0,24.84000015258789,29.256000232696532,0.1585720030504292
2020-07-22,372.5291748046875,61.790000915527344,24.31999969482422,28.903500175476076,-0.027319640366179267
