Date,KDP,XOM,VIX,AvgVIX,zscore
2020-04-09,23.140905380249023,32.89297866821289,41.66999816894531,59.35100040435791,-1.382885410276947
2020-04-13,22.684288024902344,32.61079788208008,41.16999816894531,58.51800022125244,-1.5364441713106904
2020-04-14,23.683673858642578,32.35912322998047,37.7599983215332,56.27150001525879,-1.174192406245643
2020-04-15,23.123674392700195,30.871963500976562,40.84000015258789,54.51799983978272,-1.3281756616004259
2020-04-16,23.097829818725586,29.857650756835938,40.11000061035156,52.70100002288818,-1.306820785342475
2020-04-17,22.529211044311523,32.96162033081055,38.150001525878906,51.00850009918213,-1.6020386926903412
2020-04-20,22.417213439941406,31.405811309814453,43.83000183105469,49.898000144958495,-1.5949621210064209
2020-04-21,22.09844207763672,31.23802947998047,45.40999984741211,49.089000129699706,-1.7030429687507056
2020-04-22,22.865219116210938,32.130332946777344,41.97999954223633,48.104500198364256,-1.4577723977451014
2020-04-23,22.54644203186035,33.13703155517578,41.380001068115234,46.976000213623045,-1.6012027138927165
2020-04-24,22.649831771850586,33.35056686401367,35.93000030517578,45.722500228881835,-1.5709367926834927
2020-04-27,22.27936553955078,33.5107307434082,33.290000915527344,44.11000022888184,-1.707233835991764
2020-04-28,23.35628890991211,34.2962532043457,33.56999969482422,42.93450012207031,-1.3486800925293723
2020-04-29,22.99444580078125,36.19523620605469,31.229999542236328,41.81900005340576,-1.5342487367722009
2020-04-30,22.796289443969727,35.44021987915039,34.150001525878906,40.673500061035156,-1.5818503428732476
2020-05-01,22.313827514648438,32.900611877441406,37.189998626708984,39.9875,-1.6766411640737053
2020-05-04,22.417213439941406,34.22761154174805,35.970001220703125,39.44600009918213,-1.6798876800760647
2020-05-05,22.623981475830078,34.189483642578125,33.61000061035156,38.86450004577637,-1.6053591758590529
2020-05-06,23.020288467407227,33.54886245727539,34.119998931884766,38.235499954223634,-1.445431413960307
2020-05-07,22.71013832092285,33.739524841308594,31.440000534057617,37.64000005722046,-1.561240453790797
2020-05-08,22.69290542602539,35.21905517578125,27.979999542236328,36.95550012588501,-1.6118846173150871
2020-05-11,23.201215744018555,34.88350296020508,27.56999969482422,36.275500202178954,-1.4213888315655632
2020-05-12,22.908287048339844,34.300411224365234,33.040000915527344,36.03950033187866,-1.5077989751789544
2020-05-13,22.76182746887207,32.597835540771484,35.279998779296875,35.76150026321411,-1.5085356717056184
2020-05-14,22.71875,32.885475158691406,32.61000061035156,35.38650026321411,-1.5324805308246767
2020-05-15,22.658443450927734,32.652244567871094,31.889999389648438,35.07350015640259,-1.5468636775250797
2020-05-18,23.22705841064453,35.248878479003906,29.299999237060547,34.34700002670288,-1.4232138183800311
2020-05-19,23.451059341430664,34.16047668457031,30.530000686645508,33.60300006866455,-1.3109601527252386
2020-05-20,23.855976104736328,35.27220916748047,27.989999771118164,32.90350008010864,-1.2007160689797067
2020-05-21,23.158132553100586,34.64248275756836,29.530000686645508,32.31100006103516,-1.4294250519353542
2020-05-22,23.399368286132812,34.673580169677734,28.15999984741211,31.92250003814697,-1.3447475461545813
2020-05-26,23.201215744018555,35.6920280456543,28.010000228881836,31.658500003814698,-1.4457223914421804
2020-05-27,23.924909591674805,35.94857406616211,27.6200008392334,31.361000061035156,-1.1966079364944422
2020-05-28,23.933521270751953,35.015655517578125,28.59000015258789,31.229000091552734,-1.165474357711153
2020-05-29,24.05413818359375,35.349945068359375,27.510000228881836,30.89700002670288,-1.1327288422092217
2020-06-01,24.433212280273438,35.97967529296875,28.229999542236328,30.449000072479247,-1.0171497460483336
2020-06-02,24.174745559692383,36.78043746948242,26.84000015258789,29.992500019073486,-1.1329782883545954
2020-06-03,24.527984619140625,38.280887603759766,25.65999984741211,29.594999980926513,-1.0527733145614129
2020-06-04,24.48490333557129,38.172035217285156,25.809999465942383,29.179500007629393,-1.064786611497283
2020-06-05,24.717525482177734,41.26622772216797,24.520000457763672,28.8335000038147,-1.0753536523801748
2020-06-08,24.493520736694336,42.556766510009766,25.809999465942383,28.725,-1.1936922340341696
2020-06-09,24.407365798950195,41.608299255371094,27.56999969482422,28.725,-1.195722921884575
2020-06-10,24.5538272857666,39.37705993652344,27.56999969482422,28.451499938964844,-1.076592533033361
2020-06-11,24.415977478027344,35.90192794799805,40.790000915527344,28.727000045776368,-1.0209263935965618
2020-06-12,24.226442337036133,36.671592712402344,36.09000015258789,28.901000022888184,-1.1113555293285142
2020-06-15,24.622753143310547,36.64826583862305,34.400001525878906,29.026500129699706,-0.9700046474368689
2020-06-16,24.674442291259766,37.472354888916016,33.66999816894531,29.245000076293945,-0.9764623898854887
2020-06-17,24.760601043701172,36.25177001953125,33.470001220703125,29.392000102996825,-0.9091500487120707
2020-06-18,25.036285400390625,36.477230072021484,32.939998626708984,29.639500045776366,-0.8180964727515332
2020-06-19,24.7347469329834,35.7464485168457,35.119998931884766,29.91899995803833,-0.9031172763234272
2020-06-22,25.148286819458008,36.0885009765625,31.770000457763672,30.09949998855591,-0.766648417139985
2020-06-23,25.010440826416016,36.30620193481445,31.3700008392334,30.267500019073488,-0.822121287050056
2020-06-24,24.46767234802246,34.595848083496094,33.84000015258789,30.57849998474121,-0.9632720439628287
2020-06-25,24.46767234802246,35.116722106933594,32.220001220703125,30.760000038146973,-0.9789483902699413
2020-06-26,24.312599182128906,33.91169738769531,34.72999954223633,31.121000003814697,-0.997716417954068
2020-06-29,24.381519317626953,34.45590591430664,31.780000686645508,31.298500061035156,-0.9896356147808408
2020-06-30,24.46767234802246,34.766876220703125,30.43000030517578,31.47800006866455,-0.9684193467394651
2020-07-01,24.831439971923828,33.981666564941406,28.6200008392334,31.626000118255615,-0.8156880841495147
2020-07-02,24.710187911987305,34.26932144165039,27.68000030517578,31.719500160217287,-0.8673771951532389
2020-07-06,24.736164093017578,34.51032257080078,27.940000534057617,31.890500164031984,-0.8654115976471942
2020-07-07,25.221193313598633,33.616268157958984,29.43000030517578,32.07150020599365,-0.666369350646272
2020-07-08,24.77947235107422,33.53852844238281,28.079999923706055,32.097000217437746,-0.8207943585432471
2020-07-09,25.11725616455078,32.15469741821289,29.260000228881836,32.18150024414062,-0.6592683788197808
2020-07-10,25.29047966003418,33.157588958740234,27.290000915527344,31.506500244140625,-0.6279754376305915
2020-07-13,25.047969818115234,33.165367126464844,32.189998626708984,31.31150016784668,-0.7142751271631625
2020-07-14,25.411739349365234,34.26154327392578,29.520000457763672,31.067500114440918,-0.6181658143676153
2020-07-15,25.481021881103516,34.69691467285156,27.760000228881836,30.772000217437743,-0.6066808108589484
2020-07-16,25.602275848388672,34.42479705810547,28.0,30.49850015640259,-0.5554586360123978
2020-07-17,25.79282569885254,33.83395767211914,25.68000030517578,30.13550024032593,-0.47005135505741097
2020-07-20,25.784160614013672,33.04096984863281,24.459999084472656,29.602500247955323,-0.44926060587594124
2020-07-21,25.87943458557129,34.71244812011719,24.84000015258789,29.256000232696532,-0.4657535245406731
2020-07-22,26.243206024169922,33.90392303466797,24.31999969482422,28.903500175476076,-0.3123192015133789
2020-07-23,26.217222213745117,33.97389602661133,26.079999923706055,28.515500164031984,-0.32364665646032903
2020-07-24,26.277851104736328,33.763980865478516,25.84000015258789,28.19650011062622,-0.2958120940493883
2020-07-27,26.814838409423828,34.26154327392578,24.739999771118164,27.697000122070314,-0.12021259372066896
2020-07-28,26.754209518432617,33.85728454589844,25.440000534057617,27.380000114440918,-0.12956283526699533
2020-07-29,27.074670791625977,34.23044967651367,24.100000381469727,27.063500118255615,-0.0270635099468828
2020-07-30,26.650279998779297,32.551185607910156,24.760000228881836,26.870500087738037,-0.12713827147481982
2020-07-31,26.494373321533203,32.714447021484375,24.459999084472656,26.70950002670288,-0.18738236753740287
2020-08-03,25.914077758789062,32.84661102294922,24.280000686645508,26.526500034332276,-0.3973041569927342
2020-08-04,25.940067291259766,33.79507827758789,23.760000228881836,26.243000030517578,-0.4166258869296986
2020-08-05,25.922739028930664,34.09050369262695,22.989999771118164,25.988500022888182,-0.4316667975932407
2020-08-06,25.83613395690918,33.92723846435547,22.649999618530273,25.657999992370605,-0.45748885961107805
2020-08-07,25.66291046142578,33.77175521850586,22.209999084472656,25.403999900817873,-0.5142855988265533
2020-08-10,25.775503158569336,34.60361099243164,22.1299991607666,24.90099992752075,-0.499362708830309
2020-08-11,25.61094093322754,34.96123123168945,24.030000686645508,24.626499938964844,-0.5685280866048519
2020-08-12,26.07863998413086,34.95330810546875,22.280000686645508,24.352499961853027,-0.40230544910096405
2020-08-13,26.1219482421875,34.097110748291016,22.1299991607666,24.058999919891356,-0.3611672374324552
2020-08-14,25.88809585571289,34.24774169921875,22.049999237060547,23.877499866485596,-0.44869376771170744
2020-08-17,25.766843795776367,33.80377960205078,21.350000381469727,23.72199993133545,-0.4783639633336131
2020-08-18,25.20387077331543,33.63730239868164,21.510000228881836,23.555499935150145,-0.673150089691421
2020-08-19,25.411739349365234,33.26469802856445,22.540000915527344,23.466499996185302,-0.5881645269588963
2020-08-20,25.281816482543945,32.757328033447266,22.719999313354492,23.298499965667723,-0.6190036120254033
2020-08-21,25.05663299560547,32.51156997680664,22.540000915527344,23.133500003814696,-0.6915237746730115
2020-08-24,25.255834579467773,33.470829010009766,22.3700008392334,23.01500005722046,-0.6496981586432248
2020-08-25,25.377090454101562,32.40850067138672,22.030000686645508,22.844500064849854,-0.5746929403159207
2020-08-26,25.810144424438477,31.718793869018555,23.270000457763672,22.803000068664552,-0.4002465572455818
2020-08-27,25.922739028930664,31.5047550201416,24.469999313354492,22.788500022888183,-0.35384550140816984
2020-08-28,26.04399871826172,32.25789260864258,22.959999084472656,22.713500022888184,-0.3334776159735807
2020-08-31,25.83613395690918,31.663297653198242,26.40999984741211,22.819999980926514,-0.3893527680081773
2020-09-01,25.940067291259766,31.258995056152344,26.1200008392334,22.938000011444093,-0.34029933376332844
2020-09-02,26.32981300354004,31.06873321533203,26.56999969482422,23.117000007629393,-0.19625425891049042
2020-09-03,25.810144424438477,31.00530433654785,33.599998474121094,23.664499950408935,-0.37877320957564686
2020-09-04,25.5849609375,30.981517791748047,30.75,24.091499996185302,-0.4579738787053517
2020-09-08,24.996002197265625,30.26801872253418,31.459999084472656,24.557999992370604,-0.6455189155235833
2020-09-09,25.56763458251953,30.085689544677734,28.809999465942383,24.79699993133545,-0.43716186391886264
2020-09-10,24.710187911987305,29.33255386352539,29.709999084472656,25.168499851226805,-0.7187990846886769
2020-09-11,24.97001838684082,29.253280639648438,26.8700008392334,25.405499935150146,-0.6242006525290583
2020-09-14,24.952695846557617,29.063011169433594,25.850000381469727,25.595499992370605,-0.6246219457205359
2020-09-15,24.944034576416016,28.753829956054688,25.59000015258789,25.807499980926515,-0.6183905994960954
2020-09-16,24.623573303222656,29.974702835083008,26.040000915527344,26.03400001525879,-0.76886446518772
