Date,KRE,FDX,VIX,AvgVIX,zscore
2020-03-11,30.914762496948242,99.44300842285156,53.900001525878906,30.12899980545044,-0.8135693301054499
2020-03-12,28.32110595703125,86.89280700683594,75.47000122070312,33.21549987792969,-0.9555878632568158
2020-03-13,31.4920711517334,95.5193862915039,57.83000183105469,35.39949998855591,-0.7273760240536633
2020-03-16,27.19161033630371,81.0611343383789,82.69000244140625,38.850000095367434,-1.0144584574549171
2020-03-17,29.24980354309082,85.06537628173828,75.91000366210938,41.9040002822876,-0.8533707935966245
2020-03-18,26.212711334228516,89.29357147216797,76.44999694824219,45.007500123977664,-1.1734443028162158
2020-03-19,27.609939575195312,100.04319763183594,72.0,47.829500102996825,-1.1293491374553906
2020-03-20,25.786014556884766,99.48778533935547,66.04000091552734,50.27750015258789,-1.2964225477591855
2020-03-23,23.795576095581055,100.11485290527344,61.59000015258789,52.10550012588501,-1.4887694298180245
2020-03-24,26.553255081176758,107.53209686279297,61.66999816894531,53.796500015258786,-1.2896108198033047
2020-03-25,26.840871810913086,105.98234558105469,63.95000076293945,55.61600008010864,-1.2499601109240497
2020-03-26,29.141759872436523,112.51276397705078,61.0,56.708000087738036,-1.0865681191462544
2020-03-27,28.194337844848633,108.01583862304688,65.54000091552734,57.97950010299682,-1.1391559971092478
2020-03-30,28.152034759521484,111.35717010498047,57.08000183105469,59.16250028610229,-1.1702868029722762
2020-03-31,27.568357467651367,108.6249771118164,53.540000915527344,59.99850034713745,-1.2029951562322396
2020-04-01,25.783470153808594,101.65563201904297,57.060001373291016,61.252000427246095,-1.314277487808787
2020-04-02,26.265644073486328,104.48637390136719,50.90999984741211,61.81650047302246,-1.2919189043426973
2020-04-03,24.971397399902344,97.8395004272461,46.79999923706055,62.059500503540036,-1.3596643402082171
2020-04-06,27.05234146118164,106.61837768554688,45.2400016784668,61.598500633239745,-1.2352342991905143
2020-04-07,27.822134017944336,103.86827087402344,46.70000076293945,61.568500709533694,-1.1404687769102806
2020-04-08,29.302474975585938,112.45901489257812,43.349998474121094,61.041000556945804,-1.0710120140165489
2020-04-09,31.620283126831055,109.54763793945312,41.66999816894531,59.35100040435791,-0.8293057434508015
2020-04-13,29.83540153503418,110.65846252441406,41.16999816894531,58.51800022125244,-1.0062456984978911
2020-04-14,29.353233337402344,112.04694366455078,37.7599983215332,56.27150001525879,-1.0628884726718482
2020-04-15,27.373798370361328,107.40669250488281,40.84000015258789,54.51799983978272,-1.2113988093921881
2020-04-16,26.367155075073242,106.67213439941406,40.11000061035156,52.70100002288818,-1.3001303482136959
2020-04-17,28.75263786315918,111.84089660644531,38.150001525878906,51.00850009918213,-1.117715468244484
2020-04-20,28.684955596923828,109.86119079589844,43.83000183105469,49.898000144958495,-1.1079959375458879
2020-04-21,27.88979721069336,107.92625427246094,45.40999984741211,49.089000129699706,-1.1670778520307097
2020-04-22,27.771377563476562,106.18839263916016,41.97999954223633,48.104500198364256,-1.1640966512050768
2020-04-23,28.28738021850586,108.2845687866211,41.380001068115234,46.976000213623045,-1.1325866503473925
2020-04-24,29.074081420898438,110.23741912841797,35.93000030517578,45.722500228881835,-1.0744459142106335
2020-04-27,31.00275993347168,114.02664947509766,33.290000915527344,44.11000022888184,-0.9237952562261657
2020-04-28,31.789478302001953,114.42977905273438,33.56999969482422,42.93450012207031,-0.8530601230081307
2020-04-29,33.60818862915039,115.98846435546875,31.229999542236328,41.81900005340576,-0.6946297226570913
2020-04-30,32.25471878051758,113.56082153320312,34.150001525878906,40.673500061035156,-0.8022313974956379
2020-05-01,30.73208236694336,105.88381958007812,37.189998626708984,39.9875,-0.8830920465909922
