Date,KO,MS,VIX,AvgVIX,zscore
2020-03-06,45.655784606933594,34.4787712097168,41.939998626708984,24.630499839782715,2.3624150449706485
2020-03-09,42.846710205078125,30.902345657348633,54.459999084472656,26.57999978065491,1.7702758248379937
2020-03-10,44.333866119384766,32.55046081542969,47.29999923706055,28.192999744415282,2.115392884351977
2020-03-11,43.1358757019043,30.38318634033203,53.900001525878906,30.12899980545044,1.9456582049183295
2020-03-12,38.96356201171875,25.8013973236084,75.47000122070312,33.21549987792969,0.9719795873974683
2020-03-13,40.397098541259766,30.902345657348633,57.83000183105469,35.39949998855591,0.8517150751846598
2020-03-16,37.72172927856445,26.081581115722656,82.69000244140625,38.850000095367434,0.4701820971363537
2020-03-17,39.32195281982422,27.845069885253906,75.91000366210938,41.9040002822876,0.8428189927139312
2020-03-18,37.38002014160156,25.339927673339844,76.44999694824219,45.007500123977664,0.437690431078716
2020-03-19,34.863014221191406,25.480016708374023,72.0,47.829500102996825,-0.5242077609868272
2020-03-20,31.92094612121582,24.449935913085938,66.04000091552734,50.27750015258789,-1.494592314031603
2020-03-23,31.304208755493164,22.91718101501465,61.59000015258789,52.10550012588501,-1.528194707474861
2020-03-24,32.879417419433594,27.3753604888916,61.66999816894531,53.796500015258786,-1.512443612715292
2020-03-25,34.679664611816406,28.0098876953125,63.95000076293945,55.61600008010864,-0.9192112165134784
2020-03-26,36.91329574584961,29.42727279663086,61.0,56.708000087738036,-0.2644244361292358
2020-03-27,35.679786682128906,28.026369094848633,65.54000091552734,57.97950010299682,-0.5463086821882054
2020-03-30,37.505035400390625,28.71034812927246,57.08000183105469,59.16250028610229,0.049921563440873166
2020-03-31,36.87995910644531,28.01813316345215,53.540000915527344,59.99850034713745,-0.09520329583872518
2020-04-01,35.104713439941406,26.05686378479004,57.060001373291016,61.252000427246095,-0.5079647049266348
2020-04-02,36.62992477416992,27.935720443725586,50.90999984741211,61.81650047302246,-0.17833382366998587
2020-04-03,36.529911041259766,27.894519805908203,46.79999923706055,62.059500503540036,-0.21052398331424413
2020-04-06,38.896888732910156,30.498558044433594,45.2400016784668,61.598500633239745,0.3412353176924789
2020-04-07,38.763545989990234,30.440872192382812,46.70000076293945,61.568500709533694,0.2986732959975622
2020-04-08,39.85536193847656,32.44333267211914,43.349998474121094,61.041000556945804,0.44984875255518564
2020-04-09,40.83881378173828,33.852500915527344,41.66999816894531,59.35100040435791,0.6369002038836677
2020-04-13,39.113582611083984,32.61640548706055,41.16999816894531,58.51800022125244,0.1493753503706601
2020-04-14,40.77214813232422,32.84714889526367,37.7599983215332,56.27150001525879,0.7415513550387934
2020-04-15,39.680328369140625,31.64400291442871,40.84000015258789,54.51799983978272,0.4872953584838295
2020-04-16,39.255271911621094,31.611042022705078,40.11000061035156,52.70100002288818,0.3321573730600333
2020-04-17,40.05537796020508,32.21259689331055,38.150001525878906,51.00850009918213,0.5546067437887197
2020-04-20,38.78021240234375,31.611042022705078,43.83000183105469,49.898000144958495,0.15401851724990692
2020-04-21,37.821754455566406,30.449111938476562,45.40999984741211,49.089000129699706,-0.05554434999825507
2020-04-22,38.07176971435547,31.15781021118164,41.97999954223633,48.104500198364256,-0.05318637675906045
2020-04-23,37.563385009765625,30.87763214111328,41.380001068115234,46.976000213623045,-0.2076899945524908
2020-04-24,37.863426208496094,31.289663314819336,35.93000030517578,45.722500228881835,-0.14831517684830867
2020-04-27,38.988555908203125,32.393898010253906,33.290000915527344,44.11000022888184,0.13118699164774203
2020-04-28,38.955230712890625,33.06963348388672,33.56999969482422,42.93450012207031,0.03154820294458375
2020-04-29,39.271942138671875,33.90925598144531,31.229999542236328,41.81900005340576,0.042032142969040044
2020-04-30,38.24680709838867,32.77867889404297,34.150001525878906,40.673500061035156,-0.19657671023491435
2020-05-01,38.00510787963867,31.922420501708984,37.189998626708984,39.9875,-0.1767870536598861
2020-05-04,37.6217155456543,31.664718627929688,35.970001220703125,39.44600009918213,-0.28731927496662246
