Date,INTC,FDX,VIX,AvgVIX,zscore
2020-03-03,49.61381530761719,118.62590026855469,36.81999969482422,21.26099991798401,0.9606104047018906
2020-03-04,52.01605224609375,121.58509826660156,31.989999771118164,22.05799994468689,1.2030277677051724
2020-03-05,50.491390228271484,115.80931091308594,39.619998931884766,23.281499910354615,1.0577324302554982
2020-03-06,49.436527252197266,114.37600708007812,41.939998626708984,24.630499839782715,0.9515769692392578
2020-03-09,45.07526397705078,103.6443099975586,54.459999084472656,26.57999978065491,0.5232424285233236
2020-03-10,47.84981155395508,108.09645080566406,47.29999923706055,28.192999744415282,0.8009584435984298
2020-03-11,45.79327392578125,99.44300842285156,53.900001525878906,30.12899980545044,0.6068726327820257
2020-03-12,40.368282318115234,86.89280700683594,75.47000122070312,33.21549987792969,0.07231029769613968
2020-03-13,48.24870681762695,95.5193862915039,57.83000183105469,35.39949998855591,0.869923793409982
2020-03-16,39.54389953613281,81.0611343383789,82.69000244140625,38.850000095367434,-0.00029962405160686935
2020-03-17,44.39271926879883,85.06537628173828,75.91000366210938,41.9040002822876,0.4933356247816131
2020-03-18,42.203208923339844,89.29357147216797,76.44999694824219,45.007500123977664,0.2571700932245056
2020-03-19,40.72285461425781,100.04319763183594,72.0,47.829500102996825,0.08015932833183222
2020-03-20,40.6253547668457,99.48778533935547,66.04000091552734,50.27750015258789,0.07127668471671544
2020-03-23,43.949485778808594,100.11485290527344,61.59000015258789,52.10550012588501,0.41434404164735233
2020-03-24,46.44923400878906,107.53209686279297,61.66999816894531,53.796500015258786,0.6570710913048503
2020-03-25,45.4387092590332,105.98234558105469,63.95000076293945,55.61600008010864,0.555765775067318
2020-03-26,49.2326545715332,112.51276397705078,61.0,56.708000087738036,0.9345453414135929
2020-03-27,46.422645568847656,108.01583862304688,65.54000091552734,57.97950010299682,0.653253220865783
2020-03-30,49.188331604003906,111.35717010498047,57.08000183105469,59.16250028610229,0.9324914709829388
2020-03-31,47.973899841308594,108.6249771118164,53.540000915527344,59.99850034713745,0.8126552388884145
2020-04-01,45.98829650878906,101.65563201904297,57.060001373291016,61.252000427246095,0.6222196232615002
2020-04-02,48.177791595458984,104.48637390136719,50.90999984741211,61.81650047302246,0.8428749865368421
2020-04-03,47.98277282714844,97.8395004272461,46.79999923706055,62.059500503540036,0.837270502656534
2020-04-06,51.794437408447266,106.61837768554688,45.2400016784668,61.598500633239745,1.212946235310681
2020-04-07,51.76785659790039,103.86827087402344,46.70000076293945,61.568500709533694,1.216233967660886
2020-04-08,52.281986236572266,112.45901489257812,43.349998474121094,61.041000556945804,1.2506338716283423
2020-04-09,50.65095520019531,109.54763793945312,41.66999816894531,59.35100040435791,1.0880234707666248
2020-04-13,52.033782958984375,110.65846252441406,41.16999816894531,58.51800022125244,1.2288709938589322
2020-04-14,53.77119827270508,112.04694366455078,37.7599983215332,56.27150001525879,1.405850712228265
2020-04-15,52.18446731567383,107.40669250488281,40.84000015258789,54.51799983978272,1.2516290283551628
2020-04-16,53.88643264770508,106.67213439941406,40.11000061035156,52.70100002288818,1.4295997828139935
2020-04-17,53.50526809692383,111.84089660644531,38.150001525878906,51.00850009918213,1.3787478295490805
2020-04-20,52.45927810668945,109.86119079589844,43.83000183105469,49.898000144958495,1.2747122366027368
2020-04-21,49.95952606201172,107.92625427246094,45.40999984741211,49.089000129699706,1.0199400826881035
2020-04-22,53.274784088134766,106.18839263916016,41.97999954223633,48.104500198364256,1.3672838083870003
2020-04-23,52.335174560546875,108.2845687866211,41.380001068115234,46.976000213623045,1.2653165416709757
2020-04-24,52.530189514160156,110.23741912841797,35.93000030517578,45.722500228881835,1.281233467205014
2020-04-27,52.716339111328125,114.02664947509766,33.290000915527344,44.11000022888184,1.2921972147803629
2020-04-28,52.07810592651367,114.42977905273438,33.56999969482422,42.93450012207031,1.225178083660206
2020-04-29,54.78173828125,115.98846435546875,31.229999542236328,41.81900005340576,1.5019028574789404
2020-04-30,53.168418884277344,113.56082153320312,34.150001525878906,40.673500061035156,1.3400649582112767
2020-05-01,50.943477630615234,105.88381958007812,37.189998626708984,39.9875,1.1263839819690622
2020-05-04,51.4044189453125,103.7786636352539,35.970001220703125,39.44600009918213,1.1787715819738909
