Date,PEP,CL,VIX,AvgVIX,zscore
2018-08-21,89.70499420166016,56.00293731689453,12.859999656677246,12.659000062942505,0.5054424743299603
2018-08-22,88.53752899169922,55.66225814819336,12.25,12.657000064849854,0.46446322986067956
2018-08-23,88.29298400878906,55.31327438354492,12.40999984741211,12.670500040054321,0.5278215763404912
2018-08-24,88.46654510498047,55.57085037231445,11.989999771118164,12.61850004196167,0.48029096937141896
2018-08-27,88.67163848876953,55.745357513427734,12.15999984741211,12.513500022888184,0.45777775704846196
2018-08-28,87.6934814453125,55.487762451171875,12.5,12.497000026702882,0.4162285811019949
2018-08-29,88.38766479492188,55.637325286865234,12.25,12.452000045776368,0.45433129848003634
2018-08-30,88.3166732788086,55.03908920288086,13.529999732971191,12.519000053405762,0.6014957528909387
2018-08-31,88.3561019897461,55.18033981323242,12.859999656677246,12.580000019073486,0.5692581472123295
2018-09-04,87.55941009521484,54.19985580444336,13.15999984741211,12.674499988555908,0.7351274529945488
2018-09-05,89.2317123413086,55.32989501953125,13.90999984741211,12.823499965667725,0.6274504082412506
2018-09-06,90.27201080322266,55.67057418823242,14.649999618530273,13.013499927520751,0.6543497721358634
2018-09-07,89.66754150390625,55.67886734008789,14.880000114440918,13.193999910354615,0.5852739789698066
2018-09-10,90.32768249511719,55.803504943847656,14.15999984741211,13.243999910354614,0.6260665620332394
2018-09-11,90.13680267333984,55.82011795043945,13.220000267028809,13.165999937057496,0.6006273495148688
2018-09-12,90.55037689208984,56.48485565185547,13.140000343322754,13.157499933242798,0.47416061714696256
2018-09-13,91.45707702636719,56.63442611694336,12.369999885559082,13.043999910354614,0.535791179491407
2018-09-14,91.123046875,56.4931526184082,12.069999694824219,12.974999904632568,0.5354164952739112
2018-09-17,91.78315734863281,57.174503326416016,13.680000305175781,13.026999902725219,0.43194118351623
2018-09-18,90.65377044677734,56.71750259399414,12.789999961853027,13.041999912261963,0.42532109030008153
2018-09-19,90.48674011230469,56.443302154541016,11.75,12.986499929428101,0.4778827789941026
2018-09-20,91.64002227783203,57.15787887573242,11.800000190734863,12.963999938964843,0.4204012898852118
