Date,INTC,CVX,VIX,AvgVIX,zscore
2022-03-16,43.577205657958984,134.2960968017578,26.670000076293945,30.392000102996825,1.3777086201027002
2022-03-17,44.05381393432617,136.62081909179688,25.670000076293945,30.461000061035158,1.3754225842009833
2022-03-18,44.34352111816406,137.71929931640625,23.8700008392334,30.249000072479248,1.3811037069269578
2022-03-21,44.28744888305664,140.19725036621094,23.530000686645508,30.038000106811523,1.3195345238873026
2022-03-22,45.221981048583984,139.72891235351562,22.940000534057617,29.744500160217285,1.4280246250275497
2022-03-23,45.109840393066406,141.2361297607422,23.56999969482422,29.37200012207031,1.3823949307971175
2022-03-24,48.240516662597656,141.61080932617188,21.670000076293945,28.9395001411438,1.7021539287026517
2022-03-25,48.436771392822266,144.17396545410156,20.809999465942383,28.600500106811523,1.665120496842697
2022-03-28,48.13772201538086,141.65341186523438,19.6299991607666,28.07450008392334,1.690420779676051
2022-03-29,48.82927322387695,139.9247589111328,18.899999618530273,27.353500080108642,1.8017651267923351
2022-03-30,48.062950134277344,140.91261291503906,19.329999923706055,26.78300008773804,1.6992319171948191
2022-03-31,46.31538391113281,138.656005859375,20.559999465942383,26.28700008392334,1.566756202006154
2022-04-01,44.96031188964844,139.83961486816406,19.6299991607666,25.669500064849853,1.39810658738021
2022-04-04,45.97895050048828,139.96731567382812,18.56999969482422,24.77550001144409,1.502017512109753
2022-04-05,44.97900390625,139.1072998046875,21.030000686645508,24.070499992370607,1.4165246043508646
2022-04-06,44.42763137817383,140.34202575683594,22.100000381469727,23.55299997329712,1.33097566469109
2022-04-07,44.44632339477539,142.2920684814453,21.549999237060547,23.11899995803833,1.2891084032175126
2022-04-08,43.94167709350586,144.70188903808594,21.15999984741211,22.639499950408936,1.1820477010559436
2022-04-11,43.52113342285156,140.98065185546875,24.3700008392334,22.26949996948242,1.22159712999033
2022-04-12,43.455718994140625,143.91847229003906,24.260000228881836,21.99099998474121,1.1487131893564893
2022-04-13,43.93232345581055,146.1835479736328,21.81999969482422,21.748499965667726,1.14776729519962
2022-04-14,42.6800537109375,146.11546325683594,22.700000762939453,21.6,1.0180256324660797
2022-04-18,43.586544036865234,148.07398986816406,22.170000076293945,21.51499996185303,1.069033050442449
2022-04-19,44.79209899902344,146.31980895996094,21.3700008392334,21.40699996948242,1.234832672027797
2022-04-20,44.96031188964844,146.9158935546875,20.31999969482422,21.27599992752075,1.239069104438586
2022-04-21,44.39024353027344,140.1461944580078,22.68000030517578,21.23149995803833,1.3314576601388355
2022-04-22,43.49309539794922,137.05508422851562,28.209999084472656,21.558499908447267,1.3068840733768645
2022-04-25,43.97905731201172,134.1087646484375,27.020000457763672,21.86899995803833,1.4240438177483583
2022-04-26,42.539878845214844,133.2913055419922,33.52000045776367,22.563500022888185,1.291551039590487
2022-04-27,42.25951385498047,133.04434204101562,31.600000381469727,23.198500061035155,1.2677116201764387
2022-04-28,43.77345275878906,137.77037048339844,29.989999771118164,23.73150005340576,1.3201972635871977
2022-04-29,40.736228942871094,133.41050720214844,33.400001525878906,24.37350015640259,1.0998005635225492
2022-05-02,42.016536712646484,136.0332489013672,32.34000015258789,25.00900020599365,1.175066135282611
2022-05-03,42.109989166259766,138.36647033691406,29.25,25.54300022125244,1.1324239564778036
2022-05-04,43.49309539794922,142.70932006835938,25.420000076293945,25.762500190734862,1.1798066255030781
