Date,AMAT,LOW,VIX,AvgVIX,zscore
2020-03-10,53.175872802734375,92.7806167602539,47.29999923706055,28.192999744415282,0.5951036399404543
2020-03-11,49.69202423095703,88.43683624267578,53.900001525878906,30.12899980545044,0.5995038344675802
2020-03-12,42.70541000366211,80.20413970947266,75.47000122070312,33.21549987792969,0.5843470720200178
2020-03-13,48.17731857299805,86.06422424316406,57.83000183105469,35.39949998855591,0.6256774076640286
2020-03-16,38.36955261230469,64.74665832519531,82.69000244140625,38.850000095367434,1.0936216432538646
2020-03-17,42.46875,65.81697082519531,75.91000366210938,41.9040002822876,1.290973558480758
2020-03-18,37.09151077270508,57.994571685791016,76.44999694824219,45.007500123977664,1.3537955773153694
2020-03-19,38.04766845703125,62.320526123046875,72.0,47.829500102996825,1.1955155523706302
2020-03-20,35.96495056152344,59.18978500366211,66.04000091552734,50.27750015258789,1.2249082528481812
2020-03-23,38.028743743896484,60.47419357299805,61.59000015258789,52.10550012588501,1.286899134061061
2020-03-24,42.733829498291016,68.94771575927734,61.66999816894531,53.796500015258786,1.1502846536845006
2020-03-25,42.345672607421875,74.67401885986328,63.95000076293945,55.61600008010864,0.83950211585561
2020-03-26,46.57740020751953,78.58969116210938,61.0,56.708000087738036,0.9023531348377467
2020-03-27,42.648624420166016,77.58182525634766,65.54000091552734,57.97950010299682,0.7123063585127606
2020-03-30,44.77867889404297,79.12487030029297,57.08000183105469,59.16250028610229,0.7653910470184037
2020-03-31,43.3775749206543,76.75228118896484,53.540000915527344,59.99850034713745,0.7985194300312684
2020-04-01,40.99189758300781,71.73060607910156,57.060001373291016,61.252000427246095,0.9041394760737063
2020-04-02,40.93510437011719,73.90696716308594,50.90999984741211,61.81650047302246,0.7915778254000919
2020-04-03,40.026268005371094,73.31826782226562,46.79999923706055,62.059500503540036,0.765435710031151
2020-04-06,43.689979553222656,79.17839813232422,45.2400016784668,61.598500633239745,0.6960458440403883
2020-04-07,45.024818420410156,81.13175964355469,46.70000076293945,61.568500709533694,0.6798726105390884
2020-04-08,48.71692657470703,84.15547180175781,43.349998474121094,61.041000556945804,0.7543891924890949
2020-04-09,46.94660949707031,85.01174926757812,41.66999816894531,59.35100040435791,0.603072153166524
2020-04-13,47.221160888671875,84.91363525390625,41.16999816894531,58.51800022125244,0.6248009353419591
2020-04-14,49.673099517822266,88.36546325683594,37.7599983215332,56.27150001525879,0.6019224287711817
2020-04-15,47.685028076171875,84.14653015136719,40.84000015258789,54.51799983978272,0.6916530797552767
2020-04-16,49.445884704589844,82.45185089111328,40.11000061035156,52.70100002288818,0.8844134392520732
2020-04-17,50.36418533325195,86.60832214355469,38.150001525878906,51.00850009918213,0.7323102653461386
2020-04-20,47.93117904663086,84.85121154785156,43.83000183105469,49.898000144958495,0.6714049512150437
2020-04-21,45.7537841796875,83.0927963256836,45.40999984741211,49.089000129699706,0.6262163983728934
2020-04-22,49.3322868347168,85.1831283569336,41.97999954223633,48.104500198364256,0.7405599125005828
2020-04-23,48.18678283691406,85.13826751708984,41.380001068115234,46.976000213623045,0.6726679601704645
2020-04-24,48.98201370239258,88.59223937988281,35.93000030517578,45.722500228881835,0.5482399463906578
2020-04-27,48.30986022949219,91.48104095458984,33.290000915527344,44.11000022888184,0.362289976577203
2020-04-28,47.73236846923828,92.87158203125,33.56999969482422,42.93450012207031,0.25723245276258416
2020-04-29,51.443416595458984,95.24005126953125,31.229999542236328,41.81900005340576,0.3657510071428513
2020-04-30,47.03181838989258,93.97508239746094,34.150001525878906,40.673500061035156,0.15902706125716642
2020-05-01,44.390525817871094,93.71489715576172,37.189998626708984,39.9875,0.010338863073284766
2020-05-04,45.04375457763672,96.30762481689453,35.970001220703125,39.44600009918213,-0.07961658991604029
