Date,MNST,V,VIX,AvgVIX,zscore
2017-10-17,28.260000228881836,101.35176849365234,10.3100004196167,9.788999986648559,1.002594373940955
2017-10-18,28.145000457763672,101.5968017578125,10.069999694824219,9.803499984741212,0.9408727108980544
2017-10-19,27.9950008392334,100.8616943359375,10.050000190734863,9.822499990463257,0.8969168180469163
2017-10-20,28.229999542236328,101.36119079589844,9.970000267028809,9.841499996185302,0.9883813715243678
2017-10-23,28.18000030517578,101.34236145019531,11.069999694824219,9.884499979019164,0.9658906448864734
2017-10-24,28.415000915527344,102.17171478271484,11.15999984741211,9.933999967575073,1.045925078371919
2017-10-25,28.25,103.1895751953125,11.229999542236328,10.001999950408935,0.9342773989921614
2017-10-26,28.375,103.48173522949219,11.300000190734863,10.089499950408936,0.9820117588924453
2017-10-27,28.375,103.39690399169922,9.800000190734863,10.103999948501587,0.9849515373287191
2017-10-30,28.415000915527344,103.70791625976562,10.5,10.15649995803833,0.9926888873943946
2017-10-31,28.96500015258789,103.65135955810547,10.180000305175781,10.189999961853028,1.2492280755313965
2017-11-01,28.899999618530273,104.67864227294922,10.199999809265137,10.218499946594239,1.1835412483386514
2017-11-02,28.725000381469727,104.59381866455078,9.930000305175781,10.255499982833863,1.105478515252678
2017-11-03,28.834999084472656,104.95195007324219,9.140000343322754,10.230000019073486,1.1439829942158564
2017-11-06,28.760000228881836,105.479736328125,9.399999618530273,10.183500003814697,1.0909779904685963
2017-11-07,28.959999084472656,105.63993835449219,9.890000343322754,10.174000024795532,1.1780001506957996
2017-11-08,29.0,105.99808502197266,9.779999732971191,10.170499992370605,1.1841040848806137
2017-11-09,29.34000015258789,105.68706512451172,10.5,10.2,1.3522588542011862
2017-11-10,30.579999923706055,105.44203186035156,11.289999961853027,10.284000015258789,1.9347115190004835
2017-11-13,31.100000381469727,104.98965454101562,11.5,10.363500022888184,2.191082051147946
2017-11-14,31.315000534057617,105.5362777709961,11.59000015258789,10.427500009536743,2.2716566840779437
2017-11-15,30.799999237060547,103.90582275390625,13.130000114440918,10.580500030517578,2.0897794968848418
2017-11-16,31.0,104.81690216064453,11.760000228881836,10.666000032424927,2.1507813101906983
2017-11-17,31.084999084472656,103.68395233154297,11.430000305175781,10.739000034332275,2.2293867403611087
2017-11-20,30.579999923706055,103.80667877197266,10.649999618530273,10.718000030517578,1.9913837528377811
2017-11-21,30.635000228881836,105.22288513183594,9.729999542236328,10.64650001525879,1.9677640259380216
2017-11-22,30.635000228881836,104.6280746459961,9.880000114440918,10.57900004386902,1.9883768459962323
2017-11-24,30.875,105.71382141113281,9.670000076293945,10.497500038146972,2.0618400820301854
2017-11-27,30.885000228881836,106.1009292602539,9.869999885559082,10.501000022888183,2.053053905013874
2017-11-28,31.045000076293945,107.02617645263672,10.029999732971191,10.477500009536744,2.0950494379086226
2017-11-29,30.94499969482422,103.7217025756836,10.699999809265137,10.503499984741211,2.1632767293553887
2017-11-30,31.334999084472656,106.29917907714844,11.279999732971191,10.557499980926513,2.2544755410283037
2017-12-01,31.459999084472656,104.54313659667969,11.430000305175781,10.632499980926514,2.3731891974983332
2017-12-04,31.674999237060547,101.42749786376953,11.680000305175781,10.759499979019164,2.580677441812473
2017-12-05,31.524999618530273,102.51322937011719,11.329999923706055,10.855999994277955,2.4736214085368724
2017-12-06,31.635000228881836,103.60841369628906,11.020000457763672,10.9125,2.486584619500058
2017-12-07,31.149999618530273,105.1756820678711,10.15999984741211,10.931500005722047,2.207778619639341
2017-12-08,31.610000610351562,106.3086166381836,9.579999923706055,10.88550000190735,2.3814389944188195
2017-12-11,31.469999313354492,106.09148406982422,9.34000015258789,10.788000011444092,2.324160919873015
2017-12-12,31.454999923706055,107.12057495117188,9.920000076293945,10.70900001525879,2.281555561488554
2017-12-13,31.7549991607666,106.97894287109375,10.180000305175781,10.638500022888184,2.425324988226422
