Date,XOM,UPS,VIX,AvgVIX,zscore
2022-04-08,75.6703872680664,157.6491241455078,21.15999984741211,22.639499950408936,-1.3637306426184823
2022-04-11,73.0649642944336,157.5418243408203,24.3700008392334,22.26949996948242,-1.639352441564666
2022-04-12,74.58988189697266,155.10655212402344,24.260000228881836,21.99099998474121,-1.59147335525846
2022-04-13,75.64424896240234,155.9155731201172,21.81999969482422,21.748499965667726,-1.4451681093393114
2022-04-14,76.53305053710938,155.21389770507812,22.700000762939453,21.6,-1.3846693508939136
2022-04-18,77.16045379638672,154.50393676757812,22.170000076293945,21.51499996185303,-1.3517107238723023
2022-04-19,76.4720687866211,157.41799926757812,21.3700008392334,21.40699996948242,-1.290917304502118
2022-04-20,76.64633178710938,157.20339965820312,20.31999969482422,21.27599992752075,-1.2825533667831635
2022-04-21,75.83597564697266,155.85777282714844,22.68000030517578,21.23149995803833,-1.4278690687713531
2022-04-22,74.18033599853516,154.49566650390625,28.209999084472656,21.558499908447267,-1.6617729347849435
2022-04-25,71.67949676513672,156.5511932373047,27.020000457763672,21.86899995803833,-1.8283118359734771
2022-04-26,71.70562744140625,151.1110382080078,33.52000045776367,22.563500022888185,-2.0726359885210126
2022-04-27,73.75334167480469,153.87649536132812,31.600000381469727,23.198500061035155,-1.7342619614395842
2022-04-28,75.98407745361328,156.98048400878906,29.989999771118164,23.73150005340576,-1.361495927806728
2022-04-29,74.28489685058594,148.5767059326172,33.400001525878906,24.37350015640259,-1.9196895614493523
2022-05-02,75.29570007324219,147.42095947265625,32.34000015258789,25.00900020599365,-1.8671322315209995
2022-05-03,76.84675598144531,147.04122924804688,29.25,25.54300022125244,-1.7231939414656596
