Date,PEP,XOM,VIX,AvgVIX,zscore
2022-04-18,149.98216247558594,77.16044616699219,22.170000076293945,21.51499996185303,-0.1664549110859386
2022-04-19,152.1647491455078,76.47208404541016,21.3700008392334,21.40699996948242,0.03781754614616048
2022-04-20,154.42652893066406,76.64633178710938,20.31999969482422,21.27599992752075,0.24615290021030747
2022-04-21,153.87208557128906,75.8359603881836,22.68000030517578,21.23149995803833,0.19797886598773282
2022-04-22,151.50469970703125,74.18031311035156,28.209999084472656,21.558499908447267,-0.014525248217409773
2022-04-25,152.90402221679688,71.67948913574219,27.020000457763672,21.86899995803833,0.12421066380536754
2022-04-26,152.5167694091797,71.70563507080078,33.52000045776367,22.563500022888185,0.08832910822313324
2022-04-27,153.88088989257812,73.75337219238281,31.600000381469727,23.198500061035155,0.20665018233912247
2022-04-28,156.21307373046875,75.98409271240234,29.989999771118164,23.73150005340576,0.41373176192779193
2022-04-29,151.11744689941406,74.28490447998047,33.400001525878906,24.37350015640259,-0.050702785010618485
2022-05-02,147.64114379882812,75.29571533203125,32.34000015258789,25.00900020599365,-0.37573375660096525
2022-05-03,147.84359741210938,76.84674835205078,29.25,25.54300022125244,-0.3628788308793254
