Date,PEP,ASML,VIX,AvgVIX,zscore
2022-04-27,153.880859375,533.37255859375,31.600000381469727,23.198500061035155,-0.04511925395844365
2022-04-28,156.21310424804688,565.6116333007812,29.989999771118164,23.73150005340576,0.0688650905761632
2022-04-29,151.11746215820312,539.9716796875,33.400001525878906,24.37350015640259,-0.4415909033640745
2022-05-02,147.64114379882812,546.9826049804688,32.34000015258789,25.00900020599365,-0.9328154875117036
2022-05-03,147.84356689453125,550.3462524414062,29.25,25.54300022125244,-0.9262224232754178
2022-05-04,153.00962829589844,571.52392578125,25.420000076293945,25.762500190734862,-0.38060524396044637
2022-05-05,149.9557342529297,544.0682373046875,31.200000762939453,26.21750020980835,-0.6159831237870818
2022-05-06,149.97337341308594,531.3675537109375,30.190000534057617,26.6495002746582,-0.5395844348472666
2022-05-09,151.10865783691406,494.3935852050781,34.75,27.3290002822876,-0.17676429506892063
2022-05-10,150.92388916015625,504.7220458984375,32.9900016784668,27.76000032424927,-0.2609695867388467
2022-05-11,150.19337463378906,502.7257385253906,32.560001373291016,28.175000381469726,-0.3439491906737307
2022-05-12,149.96453857421875,503.7480163574219,31.770000457763672,28.6725004196167,-0.37955741343177785
2022-05-13,152.8863983154297,528.7830200195312,28.8700008392334,28.981000423431396,-0.147157201265164
2022-05-16,154.42654418945312,515.8893432617188,27.469999313354492,29.246000385284425,0.12758910552972721
2022-05-17,153.53765869140625,541.6188354492188,26.100000381469727,29.48250036239624,-0.13769699464540688
2022-05-18,144.0240478515625,509.4761962890625,30.959999084472656,30.01450033187866,-1.182498902905411
2022-05-19,141.86788940429688,507.25836181640625,29.350000381469727,30.34800033569336,-1.4488598813859372
2022-05-20,142.75674438476562,513.8545532226562,29.43000030517578,30.409000396728516,-1.3722115134233916
2022-05-23,145.7401885986328,534.848876953125,28.479999542236328,30.48200035095215,-1.1082547700944376
2022-05-24,147.69398498535156,526.9603271484375,29.450000762939453,30.278500366210938,-0.8091322819358823
2022-05-25,148.70606994628906,528.5515747070312,28.3700008392334,30.117000389099122,-0.6873151094939436
2022-05-26,149.7093505859375,540.1143798828125,27.5,29.992500400543214,-0.6248266020689035
