Date,KDP,LOW,VIX,AvgVIX,zscore
2020-03-06,22.797292709350586,93.93123626708984,41.939998626708984,24.630499839782715,-0.00222726172526746
2020-03-09,20.931053161621094,84.0395278930664,54.459999084472656,26.57999978065491,-0.7385641939565052
2020-03-10,21.61591339111328,92.7806167602539,47.29999923706055,28.192999744415282,-0.7447856883163971
2020-03-11,20.982419967651367,88.43683624267578,53.900001525878906,30.12899980545044,-0.9414034329623243
2020-03-12,19.68118667602539,80.20413970947266,75.47000122070312,33.21549987792969,-1.3825703134051488
2020-03-13,20.092098236083984,86.06422424316406,57.83000183105469,35.39949998855591,-1.419592402341777
2020-03-16,16.779088973999023,64.74665832519531,82.69000244140625,38.850000095367434,-2.5235353489775143
2020-03-17,17.395462036132812,65.81697082519531,75.91000366210938,41.9040002822876,-2.1615324480122693
2020-03-18,17.04446792602539,57.994571685791016,76.44999694824219,45.007500123977664,-1.9775595124358452
2020-03-19,20.81976318359375,62.320526123046875,72.0,47.829500102996825,0.3603108121935775
2020-03-20,20.143465042114258,59.18978500366211,66.04000091552734,50.27750015258789,0.0689250506333119
2020-03-23,19.843839645385742,60.47419357299805,61.59000015258789,52.10550012588501,-0.2046568743500482
2020-03-24,20.45165252685547,68.94771575927734,61.66999816894531,53.796500015258786,-0.2488937524659739
2020-03-25,21.401899337768555,74.67401885986328,63.95000076293945,55.61600008010864,0.08873097440336566
2020-03-26,21.22212028503418,78.58969116210938,61.0,56.708000087738036,-0.24552200944599947
2020-03-27,20.871126174926758,77.58182525634766,65.54000091552734,57.97950010299682,-0.4301183824636661
2020-03-30,21.213560104370117,79.12487030029297,57.08000183105469,59.16250028610229,-0.2802990362409605
2020-03-31,20.776960372924805,76.75228118896484,53.540000915527344,59.99850034713745,-0.4494003817076823
2020-04-01,20.2547550201416,71.73060607910156,57.060001373291016,61.252000427246095,-0.5335409430766345
2020-04-02,20.556289672851562,73.90696716308594,50.90999984741211,61.81650047302246,-0.4458367838533742
2020-04-03,20.504602432250977,73.31826782226562,46.79999923706055,62.059500503540036,-0.44920740281859367
2020-04-06,21.185216903686523,79.17839813232422,45.2400016784668,61.598500633239745,-0.30250235808814246
2020-04-07,22.322446823120117,81.13175964355469,46.70000076293945,61.568500709533694,0.36656326758612046
2020-04-08,22.925519943237305,84.15547180175781,43.349998474121094,61.041000556945804,0.6138547205691495
2020-04-09,23.140905380249023,85.01174926757812,41.66999816894531,59.35100040435791,0.7142692281052441
2020-04-13,22.684284210205078,84.91363525390625,41.16999816894531,58.51800022125244,0.4085119382982542
2020-04-14,23.683673858642578,88.36546325683594,37.7599983215332,56.27150001525879,0.9026309687822074
2020-04-15,23.123676300048828,84.14653015136719,40.84000015258789,54.51799983978272,0.749328314608873
2020-04-16,23.097824096679688,82.45185089111328,40.11000061035156,52.70100002288818,0.8233750686712563
2020-04-17,22.52921485900879,86.60832214355469,38.150001525878906,51.00850009918213,0.21121565127924802
2020-04-20,22.417211532592773,84.85121154785156,43.83000183105469,49.898000144958495,0.2299503564027685
2020-04-21,22.098445892333984,83.0927963256836,45.40999984741211,49.089000129699706,0.1079030125428981
2020-04-22,22.865217208862305,85.1831283569336,41.97999954223633,48.104500198364256,0.5171931114362321
2020-04-23,22.546443939208984,85.13826751708984,41.380001068115234,46.976000213623045,0.3024616540907195
2020-04-24,22.649826049804688,88.59223937988281,35.93000030517578,45.722500228881835,0.18607786541597165
2020-04-27,22.279369354248047,91.48104095458984,33.290000915527344,44.11000022888184,-0.22253127623017305
2020-04-28,23.356290817260742,92.87158203125,33.56999969482422,42.93450012207031,0.4358910222848228
2020-04-29,22.994447708129883,95.24005126953125,31.229999542236328,41.81900005340576,0.06129228824628775
2020-04-30,22.796289443969727,93.97508239746094,34.150001525878906,40.673500061035156,-0.005282167735900697
2020-05-01,22.313825607299805,93.71489715576172,37.189998626708984,39.9875,-0.31987849937570517
2020-05-04,22.417211532592773,96.30762481689453,35.970001220703125,39.44600009918213,-0.38967862958462257
