Date,BAC,ADI,VIX,AvgVIX,zscore
2022-03-18,38.72199249267578,152.54354858398438,23.8700008392334,30.249000072479248,1.947508024998876
2022-03-21,38.6678352355957,153.26214599609375,23.530000686645508,30.038000106811523,1.9532951804524132
2022-03-22,39.87732696533203,153.7754669189453,22.940000534057617,29.744500160217285,2.28695580815933
2022-03-23,38.893489837646484,148.5211639404297,23.56999969482422,29.37200012207031,1.8803575808563024
2022-03-24,38.87543487548828,153.95278930664062,21.670000076293945,28.9395001411438,2.0274064216148604
2022-03-25,39.47115707397461,154.5780792236328,20.809999465942383,28.600500106811523,2.202157729951536
2022-03-28,39.308692932128906,156.09933471679688,19.6299991607666,28.07450008392334,2.201785729639224
2022-03-29,39.209407806396484,158.82447814941406,18.899999618530273,27.353500080108642,2.2517423806788637
2022-03-30,38.812252044677734,155.3713836669922,19.329999923706055,26.78300008773804,2.050375882849521
2022-03-31,37.20560836791992,154.1581268310547,20.559999465942383,26.28700008392334,1.5923013226840201
2022-04-01,36.916770935058594,154.3261260986328,19.6299991607666,25.669500064849853,1.5207421128875038
2022-04-04,36.85359191894531,153.5234832763672,18.56999969482422,24.77550001144409,1.481628375692221
2022-04-05,36.23078536987305,149.30508422851562,21.030000686645508,24.070499992370607,1.1992982210021406
2022-04-06,35.83364486694336,149.58505249023438,22.100000381469727,23.55299997329712,1.1022759078236108
2022-04-07,35.553829193115234,150.4903106689453,21.549999237060547,23.11899995803833,1.0537050916473298
2022-04-08,35.80656433105469,148.14784240722656,21.15999984741211,22.639499950408936,1.054956054817821
2022-04-11,35.734352111816406,144.55470275878906,24.3700008392334,22.26949996948242,0.9354623240556601
2022-04-12,35.355255126953125,145.1240234375,24.260000228881836,21.99099998474121,0.8512910908821736
2022-04-13,35.039337158203125,147.56919860839844,21.81999969482422,21.748499965667726,0.8362301636709012
2022-04-14,33.91107940673828,146.05731201171875,22.700000762939453,21.6,0.49610560751850863
2022-04-18,35.06642532348633,149.6410675048828,22.170000076293945,21.51499996185303,0.9012909236622598
2022-04-19,35.716304779052734,151.48899841308594,21.3700008392334,21.40699996948242,1.1245132372514308
2022-04-20,35.79753494262695,150.6116485595703,20.31999969482422,21.27599992752075,1.1214363180573068
2022-04-21,35.120582580566406,148.11984252929688,22.68000030517578,21.23149995803833,0.8730701015082731
2022-04-22,33.90205383300781,144.89071655273438,28.209999084472656,21.558499908447267,0.461116129230898
2022-04-25,33.658355712890625,148.31582641601562,27.020000457763672,21.86899995803833,0.4925111316719854
2022-04-26,32.90015411376953,142.613525390625,33.52000045776367,22.563500022888185,0.1329603827114521
2022-04-27,32.719635009765625,141.5962677001953,31.600000381469727,23.198500061035155,0.05686960350572729
2022-04-28,33.22509765625,149.7437286376953,29.989999771118164,23.73150005340576,0.4180386427749081
2022-04-29,32.20515441894531,144.07876586914062,33.400001525878906,24.37350015640259,-0.009569873695783554
2022-05-02,32.62035369873047,147.59719848632812,32.34000015258789,25.00900020599365,0.1983864417894167
2022-05-03,33.5139274597168,148.2691650390625,29.25,25.54300022125244,0.45307699692541853
2022-05-04,34.85881805419922,153.7754669189453,25.420000076293945,25.762500190734862,0.9620389728695858
