Date,PEP,GILD,VIX,AvgVIX,zscore
2022-03-23,143.8744354248047,51.00120544433594,23.56999969482422,29.37200012207031,-0.5990749077283224
2022-03-24,144.74571228027344,51.252532958984375,21.670000076293945,28.9395001411438,-0.48723486582958464
2022-03-25,145.4233856201172,51.05320358276367,20.809999465942383,28.600500106811523,-0.3618383773123822
2022-03-28,145.85462951660156,51.287200927734375,19.6299991607666,28.07450008392334,-0.3171447127727664
2022-03-29,148.01959228515625,52.4571533203125,18.899999618530273,27.353500080108642,-0.09230537882706043
2022-03-30,147.8171844482422,51.703189849853516,19.329999923706055,26.78300008773804,-0.050619789639094116
2022-03-31,147.3067626953125,51.52119445800781,20.559999465942383,26.28700008392334,-0.11275774520165047
2022-04-01,149.40133666992188,51.711849212646484,19.6299991607666,25.669500064849853,0.19633932471674959
2022-04-04,149.01405334472656,52.57847213745117,18.56999969482422,24.77550001144409,0.051451336501946374
2022-04-05,149.17250061035156,51.781185150146484,21.030000686645508,24.070499992370607,0.1537984116367236
2022-04-06,151.71591186523438,52.708473205566406,22.100000381469727,23.55299997329712,0.4614436154731883
2022-04-07,151.8567352294922,52.85580825805664,21.549999237060547,23.11899995803833,0.46913886257341897
2022-04-08,152.36715698242188,53.9910774230957,21.15999984741211,22.639499950408936,0.4385401539852826
2022-04-11,151.90072631835938,53.635765075683594,24.3700008392334,22.26949996948242,0.40014419042284183
2022-04-12,152.5167999267578,53.41044616699219,24.260000228881836,21.99099998474121,0.5184332427471663
2022-04-13,152.2527618408203,53.78310012817383,21.81999969482422,21.748499965667726,0.4408783668072953
2022-04-14,151.28468322753906,53.575111389160156,22.700000762939453,21.6,0.3096799833093246
2022-04-18,149.98216247558594,53.36711502075195,22.170000076293945,21.51499996185303,0.12616712369161479
2022-04-19,152.16473388671875,54.407066345214844,21.3700008392334,21.40699996948242,0.3664076979423403
2022-04-20,154.42654418945312,55.11770248413086,20.31999969482422,21.27599992752075,0.6510797794290888
2022-04-21,153.87208557128906,55.24769973754883,22.68000030517578,21.23149995803833,0.5517019813863309
2022-04-22,151.50466918945312,53.94775390625,28.209999084472656,21.558499908447267,0.3078398369047879
2022-04-25,152.90399169921875,54.29440689086914,27.020000457763672,21.86899995803833,0.4930061080112219
2022-04-26,152.5167999267578,53.531768798828125,33.52000045776367,22.563500022888185,0.506630698211865
2022-04-27,153.880859375,53.37578201293945,31.600000381469727,23.198500061035155,0.7351788860610754
2022-04-28,156.21310424804688,53.34978485107422,29.989999771118164,23.73150005340576,1.1025300986544222
2022-04-29,151.11746215820312,51.42585372924805,33.400001525878906,24.37350015640259,0.4926071002617501
2022-05-02,147.64114379882812,52.26649856567383,32.34000015258789,25.00900020599365,-0.13295697130448586
2022-05-03,147.84356689453125,52.28382873535156,29.25,25.54300022125244,-0.10297879267487903
