Date,KO,AMD,VIX,AvgVIX,zscore
2020-03-27,35.67979431152344,46.58000183105469,65.54000091552734,57.97950010299682,-1.5986569110374549
2020-03-30,37.50503921508789,47.86000061035156,57.08000183105469,59.16250028610229,-1.3011444390736053
2020-03-31,36.879947662353516,45.47999954223633,53.540000915527344,59.99850034713745,-1.3637391527471154
2020-04-01,35.104713439941406,43.65999984741211,57.060001373291016,61.252000427246095,-1.6414617996162415
2020-04-02,36.62993240356445,44.4900016784668,50.90999984741211,61.81650047302246,-1.38800427141369
2020-04-03,36.5299072265625,42.59000015258789,46.79999923706055,62.059500503540036,-1.3672761148675923
2020-04-06,38.89689254760742,47.52000045776367,45.2400016784668,61.598500633239745,-1.047639906971942
2020-04-07,38.76354217529297,47.560001373291016,46.70000076293945,61.568500709533694,-1.0720779029338068
2020-04-08,39.8553581237793,48.790000915527344,43.349998474121094,61.041000556945804,-0.9035104750330302
2020-04-09,40.83882522583008,48.380001068115234,41.66999816894531,59.35100040435791,-0.7209516200451811
2020-04-13,39.11359405517578,50.939998626708984,41.16999816894531,58.51800022125244,-1.0784553540932806
2020-04-14,40.77214050292969,54.93000030517578,37.7599983215332,56.27150001525879,-0.8653246147484792
2020-04-15,39.680335998535156,54.9900016784668,40.84000015258789,54.51799983978272,-1.0599966961404093
2020-04-16,39.255271911621094,56.95000076293945,40.11000061035156,52.70100002288818,-1.1749800902648226
2020-04-17,40.05537796020508,56.599998474121094,38.150001525878906,51.00850009918213,-1.02612535387581
2020-04-20,38.78022384643555,56.970001220703125,43.83000183105469,49.898000144958495,-1.2595590340445841
2020-04-21,37.82175064086914,52.91999816894531,45.40999984741211,49.089000129699706,-1.3474288952302775
2020-04-22,38.0717887878418,55.91999816894531,41.97999954223633,48.104500198364256,-1.363837587576039
2020-04-23,37.56336975097656,55.900001525878906,41.380001068115234,46.976000213623045,-1.453520112617027
2020-04-24,37.86342239379883,56.18000030517578,35.93000030517578,45.722500228881835,-1.4060200614846625
2020-04-27,38.98856735229492,56.4900016784668,33.290000915527344,44.11000022888184,-1.2129283691357562
2020-04-28,38.955230712890625,55.5099983215332,33.56999969482422,42.93450012207031,-1.1990022807425174
2020-04-29,39.27194595336914,53.65999984741211,31.229999542236328,41.81900005340576,-1.1054434748916606
2020-04-30,38.24681091308594,52.38999938964844,34.150001525878906,40.673500061035156,-1.2613861271918543
2020-05-01,38.00510787963867,49.880001068115234,37.189998626708984,39.9875,-1.2534170470966803
2020-05-04,37.62171936035156,52.560001373291016,35.970001220703125,39.44600009918213,-1.3755870964371943
