Date,MS,KDP,VIX,AvgVIX,zscore
2020-03-05,35.09681701660156,23.114051818847656,39.619998931884766,23.281499910354615,-0.0051435736598407205
2020-03-06,34.47878646850586,22.797292709350586,41.939998626708984,24.630499839782715,0.16004570605806548
2020-03-09,30.9023494720459,20.931053161621094,54.459999084472656,26.57999978065491,1.1428358102050453
2020-03-10,32.55046081542969,21.61591339111328,47.29999923706055,28.192999744415282,0.8316486282636741
2020-03-11,30.383182525634766,20.982419967651367,53.900001525878906,30.12899980545044,1.024759041625191
2020-03-12,25.8013973236084,19.68118667602539,75.47000122070312,33.21549987792969,1.4022494460692467
2020-03-13,30.9023494720459,20.092098236083984,57.83000183105469,35.39949998855591,1.8216033597049557
2020-03-16,26.081581115722656,16.779088973999023,82.69000244140625,38.850000095367434,3.791524955054663
2020-03-17,27.845077514648438,17.395462036132812,75.91000366210938,41.9040002822876,3.5527543248751847
2020-03-18,25.339929580688477,17.04446792602539,76.44999694824219,45.007500123977664,3.4675077929105664
2020-03-19,25.480012893676758,20.81976318359375,72.0,47.829500102996825,0.4337016385126257
2020-03-20,24.44993782043457,20.143465042114258,66.04000091552734,50.27750015258789,0.8290512498673824
2020-03-23,22.91717529296875,19.843839645385742,61.59000015258789,52.10550012588501,0.8455598729394225
2020-03-24,27.375354766845703,20.45165252685547,61.66999816894531,53.796500015258786,1.0108726834811785
2020-03-25,28.009885787963867,21.401899337768555,63.95000076293945,55.61600008010864,0.3355837558761081
2020-03-26,29.427268981933594,21.22212028503418,61.0,56.708000087738036,0.6899383644392556
2020-03-27,28.02635955810547,20.871126174926758,65.54000091552734,57.97950010299682,0.7674407828307771
2020-03-30,28.710344314575195,21.213560104370117,57.08000183105469,59.16250028610229,0.5911996575961296
2020-03-31,28.018125534057617,20.776960372924805,53.540000915527344,59.99850034713745,0.8424132898366014
2020-04-01,26.056861877441406,20.2547550201416,57.060001373291016,61.252000427246095,0.9758482296126989
2020-04-02,27.935720443725586,20.556289672851562,50.90999984741211,61.81650047302246,1.00880449991649
2020-04-03,27.894514083862305,20.504602432250977,46.79999923706055,62.059500503540036,1.0445495161344784
2020-04-06,30.498552322387695,21.185216903686523,45.2400016784668,61.598500633239745,0.8776873619909851
2020-04-07,30.440876007080078,22.322446823120117,46.70000076293945,61.568500709533694,-0.05090416928636535
2020-04-08,32.44334411621094,22.925519943237305,43.349998474121094,61.041000556945804,-0.2436932964821377
2020-04-09,33.85248947143555,23.140905380249023,41.66999816894531,59.35100040435791,-0.21026587063770238
2020-04-13,32.616397857666016,22.684284210205078,41.16999816894531,58.51800022125244,-0.02301270002983031
2020-04-14,32.84714126586914,23.683673858642578,37.7599983215332,56.27150001525879,-0.7975738029368555
2020-04-15,31.644001007080078,23.123676300048828,40.84000015258789,54.51799983978272,-0.5218260434335604
2020-04-16,31.61103630065918,23.097824096679688,40.11000061035156,52.70100002288818,-0.5057685031414861
2020-04-17,32.21259307861328,22.52921485900879,38.150001525878906,51.00850009918213,0.042933159755387196
2020-04-20,31.61103630065918,22.417211532592773,43.83000183105469,49.898000144958495,0.0448900700689416
2020-04-21,30.44911003112793,22.098445892333984,45.40999984741211,49.089000129699706,0.13154031593620794
2020-04-22,31.157806396484375,22.865217208862305,41.97999954223633,48.104500198364256,-0.3843744324971496
2020-04-23,30.877634048461914,22.546443939208984,41.380001068115234,46.976000213623045,-0.16776010733669028
2020-04-24,31.289653778076172,22.649826049804688,35.93000030517578,45.722500228881835,-0.1906769571624752
2020-04-27,32.39390563964844,22.279369354248047,33.290000915527344,44.11000022888184,0.27179683738923915
2020-04-28,33.06963348388672,23.356290817260742,33.56999969482422,42.93450012207031,-0.4999080664758448
2020-04-29,33.90925598144531,22.994447708129883,31.229999542236328,41.81900005340576,-0.08340578800596007
2020-04-30,32.7786750793457,22.796289443969727,34.150001525878906,40.673500061035156,-0.08971467226926205
2020-05-01,31.922426223754883,22.313825607299805,37.189998626708984,39.9875,0.1744302341710001
