Date,XLU,TXN,VIX,AvgVIX,zscore
2020-09-22,24.53133773803711,118.05422973632812,26.860000610351562,26.87199993133545,-0.8883868628630704
2020-09-23,24.15503692626953,115.08264923095703,28.579999923706055,27.199499893188477,-1.04078585244153
2020-09-24,24.425640106201172,116.3853759765625,28.510000228881836,27.461499881744384,-0.8891518788738324
2020-09-25,24.827302932739258,117.77324676513672,26.3799991607666,27.55699987411499,-0.6365702632346497
2020-09-28,24.890727996826172,120.85549926757812,26.190000534057617,27.71849994659424,-0.7409832817363778
2020-09-29,24.88226890563965,120.48087310791016,26.270000457763672,27.711499977111817,-0.7288950266958648
2020-09-30,25.10635757446289,121.57923126220703,26.3700008392334,27.723999977111816,-0.6043115008949026
2020-10-01,25.36004066467285,123.38435363769531,26.700000762939453,27.73050003051758,-0.49158431047927575
2020-10-02,25.66023826599121,120.13176727294922,27.6299991607666,27.432000064849852,-0.08660341902989517
2020-10-05,25.981571197509766,122.67764282226562,27.959999084472656,27.292500019073486,0.043112325466679174
2020-10-06,26.201427459716797,122.4818115234375,29.479999542236328,27.19350004196167,0.22952310545098265
2020-10-07,26.362096786499023,124.95101928710938,28.059999465942383,27.15600004196167,0.2340925052920555
2020-10-08,26.844099044799805,126.06642150878906,26.360000610351562,26.988500118255615,0.564917541949311
2020-10-09,26.839874267578125,128.4930877685547,25.0,26.895000076293947,0.4392236441518405
2020-10-12,27.008996963500977,131.89036560058594,25.06999969482422,26.85600004196167,0.40380719384574254
2020-10-13,26.822959899902344,131.54127502441406,26.06999969482422,26.880000019073485,0.27201619168569335
2020-10-14,26.78913116455078,130.0767364501953,26.399999618530273,26.897999954223632,0.31866348362380903
2020-10-15,26.772220611572266,129.88943481445312,26.969999313354492,26.923499965667723,0.3145243869388861
2020-10-16,27.059730529785156,130.37477111816406,27.40999984741211,27.002499961853026,0.5209298352900621
2020-10-19,26.83141326904297,128.36534118652344,29.18000030517578,27.07249994277954,0.4388678923350041
2020-10-20,26.992080688476562,128.42495727539062,29.350000381469727,27.196999931335448,0.5648766880073741
2020-10-21,26.920204162597656,124.42314910888672,28.649999618530273,27.20049991607666,0.7088479710595179
2020-10-22,27.30073356628418,126.20263671875,28.110000610351562,27.180499935150145,0.9247227013306364
2020-10-23,27.3768367767334,127.6842041015625,27.549999237060547,27.238999938964845,0.911162906838532
2020-10-26,27.36838722229004,124.26983642578125,32.459999084472656,27.552499866485597,1.076458647171463
2020-10-27,27.347240447998047,125.26603698730469,33.349998474121094,27.906499767303465,1.009270645814614
2020-10-28,26.5523624420166,121.7580337524414,40.279998779296875,28.60199966430664,0.5477959708613025
2020-10-29,26.624242782592773,125.36846923828125,37.59000015258789,29.146499633789062,0.42355252913449076
2020-10-30,26.374780654907227,123.99629974365234,38.02000045776367,29.665999698638917,0.2923943273025136
2020-11-02,26.954029083251953,124.86249542236328,37.130001068115234,30.124499797821045,0.7138662452385998
2020-11-03,27.3430118560791,126.32035064697266,35.54999923706055,30.427999782562257,0.9527388360593344
2020-11-04,26.93288803100586,130.37664794921875,29.56999969482422,30.50349979400635,0.41898273389780444
