Date,INTC,XOM,VIX,AvgVIX,zscore
2020-04-21,49.95952224731445,31.027437210083008,45.40999984741211,49.089000129699706,-0.35301014205513326
2020-04-22,53.27479934692383,31.913724899291992,41.97999954223633,48.104500198364256,0.16337660212643756
2020-04-23,52.335166931152344,32.91361999511719,41.380001068115234,46.976000213623045,0.07203113790275081
2020-04-24,52.530181884765625,33.125736236572266,35.93000030517578,45.722500228881835,0.10944115297835855
2020-04-27,52.716339111328125,33.28480529785156,33.290000915527344,44.11000022888184,0.14324308674479014
2020-04-28,52.07810974121094,34.06504440307617,33.56999969482422,42.93450012207031,0.08564267924158993
2020-04-29,54.78173065185547,35.951229095458984,31.229999542236328,41.81900005340576,0.5579142109996132
2020-04-30,53.168418884277344,35.2013053894043,34.150001525878906,40.673500061035156,0.29261476226975225
2020-05-01,50.943477630615234,32.67879867553711,37.189998626708984,39.9875,-0.13870414903236777
2020-05-04,51.40441131591797,33.996864318847656,35.970001220703125,39.44600009918213,-0.014371093806369431
2020-05-05,52.07810974121094,33.9589958190918,33.61000061035156,38.86450004577637,0.08097964078791509
2020-05-06,52.75559997558594,33.32267761230469,34.119998931884766,38.235499954223634,0.1505621167110862
2020-05-07,52.74668884277344,33.512054443359375,31.440000534057617,37.64000005722046,0.15760591643005414
2020-05-08,53.192405700683594,34.98162078857422,27.979999542236328,36.95550012588501,0.2864092779987485
2020-05-11,53.60247039794922,34.648311614990234,27.56999969482422,36.275500202178954,0.33080472118772947
2020-05-12,52.05135726928711,34.06916427612305,33.040000915527344,36.03950033187866,0.08197134749900327
2020-05-13,51.471923828125,32.37806701660156,35.279998779296875,35.76150026321411,-0.07582873687049317
2020-05-14,52.666465759277344,32.663780212402344,32.61000061035156,35.38650026321411,0.10875412760739442
2020-05-15,51.95330810546875,32.432125091552734,31.889999389648438,35.07350015640259,-0.004130089891678207
2020-05-18,53.41527557373047,35.01124954223633,29.299999237060547,34.34700002670288,0.3198064203044259
2020-05-19,53.74509811401367,33.930179595947266,30.530000686645508,33.60300006866455,0.319766982680202
2020-05-20,56.25005340576172,35.03440856933594,27.989999771118164,32.90350008010864,0.7290465022448893
2020-05-21,55.25164794921875,34.408931732177734,29.530000686645508,32.31100006103516,0.5577685710063477
2020-05-22,55.50124740600586,34.43982696533203,28.15999984741211,31.92250003814697,0.5950705911421262
2020-05-26,55.572566986083984,35.451393127441406,28.010000228881836,31.658500003814698,0.6498203050821371
2020-05-27,56.660125732421875,35.70622634887695,27.6200008392334,31.361000061035156,0.8176392554735602
2020-05-28,55.002037048339844,34.779579162597656,28.59000015258789,31.229000091552734,0.5381210450856401
2020-05-29,56.098514556884766,35.11163330078125,27.510000228881836,30.89700002670288,0.7106198040830315
2020-06-01,55.14468002319336,35.73710250854492,28.229999542236328,30.449000072479247,0.6007653693953559
