Date,PEP,KRE,VIX,AvgVIX,zscore
2022-04-18,149.98216247558594,57.851654052734375,22.170000076293945,21.51499996185303,-0.34397336651629573
2022-04-19,152.1647491455078,59.937198638916016,21.3700008392334,21.40699996948242,0.15129848291609982
2022-04-20,154.4265594482422,60.31151580810547,20.31999969482422,21.27599992752075,0.5214810355653259
2022-04-21,153.8720703125,59.072696685791016,22.68000030517578,21.23149995803833,0.3388932510035147
2022-04-22,151.5046844482422,57.833831787109375,28.209999084472656,21.558499908447267,-0.11638781370756464
2022-04-25,152.90402221679688,57.89622116088867,27.020000457763672,21.86899995803833,0.09909077687445493
2022-04-26,152.5167694091797,56.11370086669922,33.52000045776367,22.563500022888185,-0.10187219718726481
2022-04-27,153.8809051513672,56.07805252075195,31.600000381469727,23.198500061035155,0.10046224238775481
2022-04-28,156.2130889892578,56.90692138671875,29.989999771118164,23.73150005340576,0.517622866999501
2022-04-29,151.11746215820312,55.11549377441406,33.400001525878906,24.37350015640259,-0.39227048346218746
2022-05-02,147.64117431640625,55.890892028808594,32.34000015258789,25.00900020599365,-0.853080962009162
2022-05-03,147.8436279296875,56.66628646850586,29.25,25.54300022125244,-0.7605482620985148
