Date,FDX,LOW,VIX,AvgVIX,zscore
2020-04-15,107.40668487548828,84.14654541015625,40.84000015258789,54.51799983978272,-0.6425836993164415
2020-04-16,106.67212677001953,82.45184326171875,40.11000061035156,52.70100002288818,-0.6242092172162464
2020-04-17,111.84089660644531,86.60833740234375,38.150001525878906,51.00850009918213,-0.5814584040197114
2020-04-20,109.8611831665039,84.85120391845703,43.83000183105469,49.898000144958495,-0.5941753639199547
2020-04-21,107.92623901367188,83.0927963256836,45.40999984741211,49.089000129699706,-0.605696507815943
2020-04-22,106.18840026855469,85.18312072753906,41.97999954223633,48.104500198364256,-0.6973136850162089
2020-04-23,108.28457641601562,85.13827514648438,41.380001068115234,46.976000213623045,-0.6416514944767647
2020-04-24,110.23741149902344,88.59224700927734,35.93000030517578,45.722500228881835,-0.6672148574270531
2020-04-27,114.02667999267578,91.48102569580078,33.290000915527344,44.11000022888184,-0.632366243243686
2020-04-28,114.42977905273438,92.87158203125,33.56999969482422,42.93450012207031,-0.6526494755837249
2020-04-29,115.98848724365234,95.24002838134766,31.229999542236328,41.81900005340576,-0.6644510269956863
2020-04-30,113.56085205078125,93.9750747680664,34.150001525878906,40.673500061035156,-0.6997500905049446
2020-05-01,105.8838119506836,93.71490478515625,37.189998626708984,39.9875,-0.8942080927322787
