Date,SHEL,INTC,VIX,AvgVIX,zscore
2022-09-09,46.69875717163086,29.931917190551758,22.790000915527344,23.228499984741212,-0.8152216949770715
2022-09-12,46.977294921875,30.02705955505371,23.8700008392334,23.445499992370607,-0.7713970799891522
2022-09-13,46.28094482421875,27.867319107055664,27.270000457763672,23.811499977111815,-0.8188521078567506
2022-09-14,47.18619918823242,27.762662887573242,26.15999984741211,24.13499994277954,-0.6630464293970371
2022-09-15,46.22002029418945,27.43917465209961,26.270000457763672,24.45349998474121,-0.8152744873491492
2022-09-16,45.732574462890625,27.819747924804688,26.299999237060547,24.79049997329712,-0.9096475164572844
2022-09-19,45.689056396484375,28.010032653808594,25.760000228881836,25.048499965667723,-0.92312416548037
2022-09-20,46.00240707397461,27.553348541259766,27.15999984741211,25.216499996185302,-0.8556050875008554
2022-09-21,45.54978561401367,27.08715057373047,27.989999771118164,25.41049995422363,-0.9167503143896035
2022-09-22,45.5584831237793,26.70657730102539,27.350000381469727,25.636999988555907,-0.9029872809639673
2022-09-23,41.876556396484375,26.183292388916016,29.920000076293945,26.04399995803833,-1.5060270039689385
2022-09-26,40.73627853393555,25.66000747680664,32.2599983215332,26.37899990081787,-1.6811126333543829
2022-09-27,41.84173583984375,25.58388900756836,32.599998474121094,26.698499870300292,-1.492519695898995
2022-09-28,43.18220138549805,25.81223487854004,30.18000030517578,26.89699993133545,-1.2741959255977389
2022-09-29,43.59130859375,25.098665237426758,31.84000015258789,27.195499897003174,-1.1822521993231063
2022-09-30,43.31277084350586,24.518295288085938,31.6200008392334,27.498499965667726,-1.2103962369519345
2022-10-03,45.54978561401367,25.66000747680664,30.100000381469727,27.730000019073486,-0.8706308676948337
2022-10-04,46.72486877441406,26.354549407958984,29.06999969482422,27.83800001144409,-0.695219170645402
2022-10-05,47.02081298828125,26.297462463378906,28.549999237060547,28.033500003814698,-0.6435442845248458
2022-10-06,44.97529602050781,25.85980796813965,30.520000457763672,28.378999996185303,-0.9738181867718261
2022-10-07,45.236427307128906,24.470720291137695,31.360000610351562,28.807499980926515,-0.884960148246973
2022-10-10,44.531375885009766,23.975980758666992,32.45000076293945,29.236499977111816,-0.9876863168884656
2022-10-11,43.67835235595703,23.823753356933594,33.630001068115234,29.554500007629393,-1.1263961156392417
2022-10-12,43.80021667480469,24.099666595458984,33.56999969482422,29.925,-1.1147934118168166
2022-10-13,45.42791748046875,25.136720657348633,31.940000534057617,30.2085000038147,-0.8742401081833474
2022-10-14,43.98300552368164,24.6514949798584,32.02000045776367,30.494500064849852,-1.1018488978431287
2022-10-17,44.74898910522461,25.136720657348633,31.3700008392334,30.77500009536743,-0.9885557327726664
2022-10-18,44.77509307861328,24.61343765258789,30.5,30.942000102996825,-0.9672500621343356
2022-10-19,45.036231994628906,24.73712158203125,30.760000228881836,31.08050012588501,-0.9272773500292206
2022-10-20,45.27994918823242,24.813236236572266,29.979999542236328,31.21200008392334,-0.8887008025865686
2022-10-21,46.124263763427734,25.66000747680664,29.690000534057617,31.200500106811525,-0.7739022128649787
2022-10-24,46.08074188232422,25.85980796813965,29.850000381469727,31.08000020980835,-0.787687014838147
2022-10-25,45.967586517333984,26.078636169433594,28.459999084472656,30.87300024032593,-0.8138113613311155
2022-10-26,46.40281677246094,25.888347625732422,27.280000686645508,30.728000259399415,-0.7343794380245477
2022-10-27,48.75297164916992,24.994009017944336,27.389999389648438,30.50550022125244,-0.3097670656991542
