Date,CL,LOW,VIX,AvgVIX,zscore
2020-08-24,69.10014343261719,149.16207885742188,22.3700008392334,23.01500005722046,0.3526325571241919
2020-08-25,68.62861633300781,149.42318725585938,22.030000686645508,22.844500064849854,0.20765919364647437
2020-08-26,68.68098449707031,153.4488067626953,23.270000457763672,22.803000068664552,0.12299862690902846
2020-08-27,69.03904724121094,149.7744598388672,24.469999313354492,22.788500022888183,0.31947069418429047
2020-08-28,69.30973815917969,149.05397033691406,22.959999084472656,22.713500022888184,0.4168758214681889
2020-08-31,69.21368408203125,148.31553649902344,26.40999984741211,22.819999980926514,0.4070161785806462
2020-09-01,68.19197845458984,150.92721557617188,26.1200008392334,22.938000011444093,0.04204474248566704
2020-09-02,69.39706420898438,153.5388641357422,26.56999969482422,23.117000007629393,0.3310687299763235
2020-09-03,67.82521057128906,145.46070861816406,33.599998474121094,23.664499950408935,0.07017561224897614
2020-09-04,67.42350006103516,140.8407745361328,30.75,24.091499996185302,0.06700584849096032
2020-09-08,66.0525131225586,138.45423889160156,31.459999084472656,24.557999992370604,-0.276336562958663
2020-09-09,67.73788452148438,143.66856384277344,28.809999465942383,24.79699993133545,0.08906513236038606
2020-09-10,66.72491455078125,142.58787536621094,29.709999084472656,25.168499851226805,-0.18158158037558367
2020-09-11,67.02180480957031,145.79388427734375,26.8700008392334,25.405499935150146,-0.17405937840906313
2020-09-14,67.37113189697266,148.7657928466797,25.850000381469727,25.595499992370605,-0.1453191754174702
2020-09-15,67.18773651123047,152.22398376464844,25.59000015258789,25.807499980926515,-0.2851208366750891
2020-09-16,67.16153717041016,150.13467407226562,26.040000915527344,26.03400001525879,-0.24089393287585367
2020-09-17,66.98688507080078,147.49600219726562,26.459999084472656,26.229999923706053,-0.22661446048016587
2020-09-18,66.21843719482422,144.1819305419922,25.829999923706055,26.385499954223633,-0.36994470771543264
2020-09-21,65.65955352783203,143.73162841796875,27.780000686645508,26.64749994277954,-0.5228948670705044
2020-09-22,66.42801666259766,145.48773193359375,26.860000610351562,26.87199993133545,-0.3408430343476729
