Date,LOW,ADI,VIX,AvgVIX,zscore
2022-03-22,210.1096954345703,153.7754364013672,22.940000534057617,29.744500160217285,1.7219334135807673
2022-03-23,203.16641235351562,148.52113342285156,23.56999969482422,29.37200012207031,1.4562130060776441
2022-03-24,201.55699157714844,153.95281982421875,21.670000076293945,28.9395001411438,1.0180369217017269
2022-03-25,195.80929565429688,154.57806396484375,20.809999465942383,28.600500106811523,0.5163374513446553
2022-03-28,196.6001739501953,156.09933471679688,19.6299991607666,28.07450008392334,0.49434542078528526
2022-03-29,201.92489624023438,158.824462890625,18.899999618530273,27.353500080108642,0.7719909066904083
2022-03-30,192.65493774414062,155.37136840820312,19.329999923706055,26.78300008773804,0.21550873318555097
2022-03-31,185.9415740966797,154.15811157226562,20.559999465942383,26.28700008392334,-0.26041325110732183
2022-04-01,186.1346893310547,154.3261260986328,19.6299991607666,25.669500064849853,-0.2542615555159607
2022-04-04,187.71646118164062,153.5234832763672,18.56999969482422,24.77550001144409,-0.08048236967680077
2022-04-05,188.4062042236328,149.30508422851562,21.030000686645508,24.070499992370607,0.2143721159830551
2022-04-06,184.52532958984375,149.58505249023438,22.100000381469727,23.55299997329712,-0.11632489489666642
2022-04-07,186.35545349121094,150.49032592773438,21.549999237060547,23.11899995803833,-0.019121172252514224
2022-04-08,190.05235290527344,148.14784240722656,21.15999984741211,22.639499950408936,0.41345575979385335
2022-04-11,188.1487274169922,144.55474853515625,24.3700008392334,22.26949996948242,0.46250682794892356
2022-04-12,187.73489379882812,145.12400817871094,24.260000228881836,21.99099998474121,0.3966954204085306
2022-04-13,188.9947509765625,147.56919860839844,21.81999969482422,21.748499965667726,0.36042621348836384
2022-04-14,185.1046905517578,146.0572967529297,22.700000762939453,21.6,0.13046189323128332
2022-04-18,182.56651306152344,149.64105224609375,22.170000076293945,21.51499996185303,-0.2784082046979108
2022-04-19,187.478759765625,151.48895263671875,21.3700008392334,21.40699996948242,0.015454097679652638
2022-04-20,192.74195861816406,150.61166381835938,20.31999969482422,21.27599992752075,0.4921219158437406
2022-04-21,189.31626892089844,148.11981201171875,22.68000030517578,21.23149995803833,0.3553272783688399
2022-04-22,181.95706176757812,144.89071655273438,28.209999084472656,21.558499908447267,-0.05882794742859456
2022-04-25,185.0226287841797,148.31581115722656,27.020000457763672,21.86899995803833,-0.004100576516504799
2022-04-26,184.2931671142578,142.61349487304688,33.52000045776367,22.563500022888185,0.2596566038843
2022-04-27,184.27474975585938,141.59625244140625,31.600000381469727,23.198500061035155,0.31577134647455957
2022-04-28,189.41781616210938,149.74371337890625,29.989999771118164,23.73150005340576,0.2716000211026877
2022-04-29,182.5757598876953,144.0787811279297,33.400001525878906,24.37350015640259,0.03734670948837809
2022-05-02,187.5711212158203,147.59719848632812,32.34000015258789,25.00900020599365,0.2433464278228659
2022-05-03,186.17686462402344,148.26914978027344,29.25,25.54300022125244,0.09218107138021317
2022-05-04,191.28302001953125,153.7754364013672,25.420000076293945,25.762500190734862,0.19459132028846596
