Date,KDP,MS,VIX,AvgVIX,zscore
2022-03-22,33.77433395385742,81.9190673828125,22.940000534057617,29.744500160217285,1.0053999392364035
2022-03-23,32.91725158691406,80.31927490234375,23.56999969482422,29.37200012207031,0.6221488978396871
2022-03-24,33.265438079833984,80.1019287109375,21.670000076293945,28.9395001411438,0.7753095377936917
2022-03-25,33.55112838745117,80.31927490234375,20.809999465942383,28.600500106811523,0.9021352571511566
2022-03-28,33.92610549926758,79.35420227050781,19.6299991607666,28.07450008392334,1.0649449837923097
2022-03-29,34.18501281738281,79.84977722167969,18.899999618530273,27.353500080108642,1.1807533660789133
2022-03-30,34.06003952026367,78.48477172851562,19.329999923706055,26.78300008773804,1.1215642602165212
2022-03-31,34.00439453125,75.98944091796875,20.559999465942383,26.28700008392334,1.0896955894678688
2022-04-01,34.309452056884766,75.63297271728516,19.6299991607666,25.669500064849853,1.2233995221821248
2022-04-04,34.4171257019043,75.88511657714844,18.56999969482422,24.77550001144409,1.2716961058692675
2022-04-05,33.15204620361328,74.14622497558594,21.030000686645508,24.070499992370607,0.7078244427110506
2022-04-06,33.94159698486328,72.27693176269531,22.100000381469727,23.55299997329712,1.0511116584710143
2022-04-07,33.74420928955078,72.27693176269531,21.549999237060547,23.11899995803833,0.9639245865721855
2022-04-08,33.78009033203125,73.08550262451172,21.15999984741211,22.639499950408936,0.9821356217588364
2022-04-11,33.72626495361328,73.05072021484375,24.3700008392334,22.26949996948242,0.9582590838229541
2022-04-12,33.76215362548828,72.97247314453125,24.260000228881836,21.99099998474121,0.9738826827561318
2022-04-13,33.789066314697266,73.14635467529297,21.81999969482422,21.748499965667726,0.9862781324946096
2022-04-14,33.4122314453125,73.69412231445312,22.700000762939453,21.6,0.8214286843202159
2022-04-18,32.999515533447266,75.1895751953125,22.170000076293945,21.51499996185303,0.6434990390087817
2022-04-19,33.6993408203125,77.30232238769531,21.3700008392334,21.40699996948242,0.9587874681506176
2022-04-20,34.103092193603516,78.78034973144531,20.31999969482422,21.27599992752075,1.1414443485324162
2022-04-21,33.65447998046875,77.30232238769531,22.68000030517578,21.23149995803833,0.9389722245372474
2022-04-22,33.196903228759766,73.67674255371094,28.209999084472656,21.558499908447267,0.7262664256096178
2022-04-25,33.46607971191406,73.94627380371094,27.020000457763672,21.86899995803833,0.845950367899702
2022-04-26,33.241764068603516,71.61614227294922,33.52000045776367,22.563500022888185,0.7400617007773813
2022-04-27,33.968509674072266,71.47703552246094,31.600000381469727,23.198500061035155,1.060662252024058
2022-04-28,34.085140228271484,73.13439178466797,29.989999771118164,23.73150005340576,1.117020421255511
2022-04-29,33.5557975769043,70.6702651977539,33.400001525878906,24.37350015640259,0.8760084306884897
2022-05-02,32.77521514892578,71.87165069580078,32.34000015258789,25.00900020599365,0.5347313106915527
2022-05-03,33.36737823486328,73.4413070678711,29.25,25.54300022125244,0.8008782201388017
2022-05-04,33.394290924072266,76.48419952392578,25.420000076293945,25.762500190734862,0.8216553804892838
