Date,LRCX,HD,VIX,AvgVIX,zscore
2020-04-14,25.506471633911133,179.18731689453125,37.7599983215332,56.27150001525879,-0.054074736671168695
2020-04-15,24.598567962646484,171.67112731933594,40.84000015258789,54.51799983978272,0.07641893539374023
2020-04-16,25.33799171447754,172.85606384277344,40.11000061035156,52.70100002288818,0.13704123467100954
2020-04-17,26.11579132080078,181.13345336914062,38.150001525878906,51.00850009918213,-0.03690409817938414
2020-04-20,24.965471267700195,178.21864318847656,43.83000183105469,49.898000144958495,-0.09499023324704937
2020-04-21,22.80335807800293,173.51341247558594,45.40999984741211,49.089000129699706,-0.23031499896046084
2020-04-22,25.438148498535156,176.5925750732422,41.97999954223633,48.104500198364256,0.02434918921624063
2020-04-23,24.706207275390625,174.99241638183594,41.380001068115234,46.976000213623045,-0.02121573932604996
2020-04-24,24.959856033325195,183.52066040039062,35.93000030517578,45.722500228881835,-0.27501401601772124
2020-04-27,24.748321533203125,188.34693908691406,33.290000915527344,44.11000022888184,-0.4669925126778903
2020-04-28,24.508712768554688,188.23451232910156,33.56999969482422,42.93450012207031,-0.4958180310338088
2020-04-29,26.206584930419922,191.84991455078125,31.229999542236328,41.81900005340576,-0.3868605345219018
2020-04-30,23.893770217895508,190.13734436035156,34.150001525878906,40.673500061035156,-0.643886469237979
2020-05-01,21.997468948364258,189.0475311279297,37.189998626708984,39.9875,-0.8652525102433357
