Date,KRE,XOM,VIX,AvgVIX,zscore
2018-02-09,48.178428649902344,52.741615295410156,29.059999465942383,17.198999881744385,1.3280293754163046
2018-02-12,48.56352996826172,53.187042236328125,25.610000610351562,17.971499919891357,1.3411970417210244
2018-02-13,48.73202896118164,53.103511810302734,24.969999313354492,18.636999893188477,1.3738013553956856
2018-02-14,50.071868896484375,53.214874267578125,19.260000228881836,19.004499912261963,1.5582863860753278
2018-02-15,50.30453872680664,53.040870666503906,19.1299991607666,19.349999856948852,1.6089632218421226
2018-02-16,50.62545394897461,53.27055740356445,19.459999084472656,19.7594997882843,1.6335781307729942
2018-02-20,50.22430419921875,52.72072219848633,20.600000381469727,20.237999820709227,1.6281381124693428
2018-02-21,50.681617736816406,52.12217712402344,20.020000457763672,20.683999824523926,1.7524766575816149
2018-02-22,49.742919921875,52.79727554321289,18.719999313354492,21.04649977684021,1.5506174864778466
2018-02-23,50.51313781738281,53.95957565307617,16.489999771118164,21.291999769210815,1.5507849504055116
2018-02-26,50.77789306640625,54.871299743652344,15.800000190734863,21.527999782562254,1.5014619430519613
2018-02-27,50.11199188232422,53.9387092590332,18.59000015258789,21.765499782562255,1.49434768061527
2018-02-28,49.35780334472656,52.71376037597656,19.850000381469727,22.01849980354309,1.5025557346264622
2018-03-01,49.38991165161133,52.33792495727539,22.469999313354492,22.464999771118165,1.5434683165587242
2018-03-02,50.19222640991211,52.58152770996094,19.59000015258789,22.77099976539612,1.636883936690492
2018-03-05,50.79393768310547,53.0826416015625,18.729999542236328,22.841999769210815,1.676244000311461
2018-03-06,51.49195098876953,53.019996643066406,18.360000610351562,21.893999814987183,1.783987668137786
2018-03-07,51.73263168334961,51.683719635009766,17.760000228881836,21.28299984931946,1.947886340122029
2018-03-08,51.32345962524414,51.586280822753906,16.540000915527344,20.723499917984007,1.8976619593977364
2018-03-09,52.17390441894531,51.89250946044922,14.640000343322754,19.782499980926513,1.9920526170191861
2018-03-12,52.07763671875,52.36577606201172,15.779999732971191,19.118499994277954,1.9323983599203651
2018-03-13,51.72461700439453,51.87162780761719,16.350000381469727,18.655499982833863,1.9286023607709137
2018-03-14,50.9704475402832,51.22435760498047,17.229999542236328,18.268499994277953,1.8811192750477836
2018-03-15,51.179039001464844,51.79507064819336,16.59000015258789,18.134999990463257,1.8564897453858602
2018-03-16,51.47202682495117,52.28225326538086,15.800000190734863,17.96850004196167,1.852210349863692
2018-03-19,51.101783752441406,51.607147216796875,19.020000457763672,17.94650011062622,1.8633509351577366
2018-03-20,50.90055847167969,51.49577331542969,18.200000762939453,17.826500129699706,1.8447689337667166
2018-03-21,50.981040954589844,52.22658157348633,17.860000610351562,17.7185001373291,1.7860385199480864
2018-03-22,49.129825592041016,51.15476989746094,23.34000015258789,17.949500179290773,1.619640269347284
2018-03-23,47.41542434692383,50.7302131652832,24.8700008392334,18.368500232696533,1.4107747726366686
2018-03-26,48.9608039855957,51.502750396728516,21.030000686645508,18.630000257492064,1.5614642145493267
2018-03-27,47.88226318359375,51.293968200683594,22.5,18.82550024986267,1.4244440149856585
2018-03-28,48.19615936279297,50.67454147338867,22.8700008392334,18.976500272750854,1.5298991212610025
2018-03-29,48.606658935546875,51.927303314208984,19.969999313354492,18.851500272750854,1.4689323998916193
2018-04-02,47.656898498535156,50.95988464355469,23.6200008392334,19.05300030708313,1.4238161860568512
2018-04-03,48.324947357177734,52.21265411376953,21.100000381469727,19.1715003490448,1.4003749654201805
2018-04-04,48.88032150268555,52.10826110839844,20.059999465942383,19.25650029182434,1.491360307898551
2018-04-05,49.19420623779297,52.90863800048828,18.940000534057617,19.31550030708313,1.459930683126331
2018-04-06,47.80982208251953,52.10826110839844,21.489999771118164,19.56300024986267,1.3353831168075527
2018-04-09,47.785682678222656,52.10826110839844,21.770000457763672,19.919500255584715,1.3318658832566437
2018-04-10,48.6871337890625,53.63942337036133,20.469999313354492,20.15400023460388,1.3155927445311293
2018-04-11,48.45372772216797,53.889991760253906,20.239999771118164,20.348500204086303,1.2574270350407661
2018-04-12,49.3390998840332,53.74382019042969,18.489999771118164,20.411500215530396,1.4005226264341641
2018-04-13,48.574462890625,54.175323486328125,17.40999984741211,20.452500200271608,1.2475099701600205
2018-04-16,48.79981994628906,54.66251754760742,16.559999465942383,20.49050016403198,1.2333753256723654
2018-04-17,48.14787673950195,54.516353607177734,15.25,20.3020001411438,1.1524755407853833
2018-04-18,47.946651458740234,55.13578796386719,15.600000381469727,20.172000122070312,1.0634364199093174
2018-04-19,48.823970794677734,55.27498245239258,15.960000038146973,20.077000093460082,1.1778465729389047
2018-04-20,49.25056076049805,54.98268127441406,16.8799991607666,19.75400004386902,1.2681836077315465
2018-04-23,49.67714309692383,55.37938690185547,16.34000015258789,19.32750000953674,1.2920924834591445
2018-04-24,50.007144927978516,54.5302734375,18.020000457763672,19.17699999809265,1.4220383302593227
2018-04-25,50.01517868041992,55.33066177368164,17.84000015258789,18.944000005722046,1.346043563856135
2018-04-26,50.02323913574219,56.277217864990234,16.239999771118164,18.612499952316284,1.2559606758619497
2018-04-27,50.41762161254883,54.14052963256836,15.40999984741211,18.384499979019164,1.5194220080152614
2018-04-30,49.61275100708008,54.11268997192383,15.930000305175781,17.999999952316283,1.4048322991976443
2018-05-01,49.983001708984375,53.555904388427734,15.489999771118164,17.719499921798707,1.5124593213491617
2018-05-02,49.87836456298828,53.45151138305664,15.970000267028809,17.51499996185303,1.507277673544477
2018-05-03,49.387393951416016,53.27055740356445,15.899999618530273,17.36299991607666,1.4531865143147904
2018-05-04,50.02323913574219,53.521095275878906,14.770000457763672,17.026999950408936,1.521678059916743
2018-05-07,50.24861526489258,54.1057243347168,14.75,16.675999927520753,1.4981525003737763
2018-05-08,50.699344635009766,54.34931945800781,14.710000038146973,16.387999963760375,1.5403410830687456
2018-05-09,51.1822624206543,55.62992477416992,13.420000076293945,16.046999979019166,1.4872416768824286
2018-05-10,51.303001403808594,56.875728607177734,13.229999542236328,15.783999967575074,1.3847261895620542
2018-05-11,51.3110466003418,57.14289093017578,12.649999618530273,15.54599995613098,1.3601413341777262
2018-05-14,51.12592697143555,57.529579162597656,12.930000305175781,15.36449999809265,1.2958879089089255
2018-05-15,51.46397018432617,57.5014533996582,14.630000114440918,15.333500003814697,1.3478541190955833
2018-05-16,51.705440521240234,57.663143157958984,13.420000076293945,15.224499988555909,1.3674490845803453
2018-05-17,51.890560150146484,57.564701080322266,13.430000305175781,15.098000001907348,1.4039127393520139
2018-05-18,51.46397018432617,57.156959533691406,13.420000076293945,14.925000047683715,1.3810667233713365
2018-05-21,52.03544235229492,57.845943450927734,13.079999923706055,14.762000036239623,1.397908273838648
2018-05-22,52.3412971496582,57.395992279052734,13.220000267028809,14.52200002670288,1.4858525960007272
2018-05-23,51.96299743652344,57.7545280456543,12.579999923706055,14.259000015258788,1.3961660285697601
2018-05-24,51.858367919921875,56.43283462524414,12.529999732971191,14.07350001335144,1.5083452510656241
2018-05-25,51.68129348754883,55.33610153198242,13.220000267028809,13.964000034332276,1.588280489244532
2018-05-29,50.4337272644043,55.13222122192383,17.020000457763672,14.01850004196167,1.4261598390292287
2018-05-30,51.23861312866211,57.297576904296875,14.9399995803833,13.991000032424926,1.3346741576328667
2018-05-31,50.85226058959961,57.114776611328125,15.430000305175781,13.964000034332276,1.2960043846176053
2018-06-01,51.38348388671875,57.529579162597656,13.460000038146973,13.842000055313111,1.333415256831922
2018-06-04,51.91470718383789,56.924964904785156,12.739999771118164,13.740500020980836,1.469107957598031
2018-06-05,51.76982879638672,56.72107696533203,12.399999618530273,13.623000001907348,1.467655249304256
2018-06-06,52.71153259277344,57.69126892089844,11.640000343322754,13.469500017166137,1.511330197765629
2018-06-07,52.7276496887207,58.26774215698242,12.130000114440918,13.405000019073487,1.4581008382086513
2018-06-08,52.912757873535156,58.7739372253418,12.180000305175781,13.352500057220459,1.4362698448752749
