Date,MS,ADI,VIX,AvgVIX,zscore
2023-03-10,81.1368637084961,172.8045654296875,24.799999237060547,20.560000228881837,0.7511837159709057
2023-03-13,79.28075408935547,173.55567932128906,26.520000457763672,20.859500217437745,0.29776068259389055
2023-03-14,81.06475830078125,177.38711547851562,23.729999542236328,21.029000186920165,0.37230400367545435
2023-03-15,76.9381103515625,173.91693115234375,26.139999389648438,21.390500164031984,-0.22796347760923613
2023-03-16,78.39774322509766,177.43463134765625,22.989999771118164,21.628500175476074,-0.19735342796919278
2023-03-17,75.84786224365234,176.69305419921875,25.510000228881836,21.89550018310547,-0.6795505483513279
2023-03-20,77.1633529663086,177.8434295654297,24.149999618530273,22.102000141143797,-0.49170059830356017
2023-03-21,79.97454833984375,179.11741638183594,21.3799991607666,22.027500057220458,0.0037007518983748883
2023-03-22,78.88430786132812,177.41563415527344,22.260000228881836,22.026000022888184,-0.09260685614149446
2023-03-23,77.34355163574219,180.11570739746094,22.610000610351562,22.09950008392334,-0.6337489765913367
2023-03-24,75.6406021118164,178.44239807128906,21.739999771118164,22.10300006866455,-0.8623202937056849
2023-03-27,76.2623291015625,175.66629028320312,20.600000381469727,22.085500049591065,-0.510145289233318
2023-03-28,76.47857666015625,174.55392456054688,19.969999313354492,22.048999977111816,-0.3760065566033964
2023-03-29,77.70396423339844,179.84947204589844,19.1200008392334,21.976000022888183,-0.5361534344656002
2023-03-30,77.58683013916016,184.6411590576172,19.020000457763672,21.947500038146973,-0.9411803036155636
2023-03-31,79.10956573486328,187.5028533935547,18.700000762939453,21.958000087738036,-0.8451334844858988
2023-04-03,78.53290557861328,186.6091766357422,18.549999237060547,21.955000019073488,-0.8965848100494934
2023-04-04,76.42453002929688,185.50633239746094,19.0,21.925500011444093,-1.2564402670049615
2023-04-05,75.52349090576172,180.9903564453125,19.079999923706055,21.923999977111816,-1.089324455677516
2023-04-06,75.85686492919922,177.94802856445312,18.399999618530273,21.71349992752075,-0.7772102590873956
2023-04-10,75.6856689453125,181.54177856445312,18.969999313354492,21.42199993133545,-1.0986634380555336
2023-04-11,76.66777801513672,180.07766723632812,19.100000381469727,21.050999927520753,-0.7741165744877279
2023-04-12,77.01016998291016,178.06210327148438,19.09000015258789,20.81899995803833,-0.5415525911972373
2023-04-13,77.20840454101562,179.78294372558594,17.799999237060547,20.401999950408936,-0.6360229679562048
2023-04-14,78.12744903564453,179.2220001220703,17.06999969482422,20.10599994659424,-0.3965146485744577
2023-04-17,80.45207977294922,180.22979736328125,16.950000762939453,19.67799997329712,0.01676690140524815
2023-04-18,80.9566421508789,180.23928833007812,16.829999923706055,19.311999988555907,0.12307197989678074
2023-04-19,81.49725341796875,179.260009765625,16.459999084472656,19.06599998474121,0.3154750751163979
2023-04-20,81.47923278808594,177.76739501953125,17.170000076293945,18.811499977111815,0.4300757899306754
2023-04-21,82.10093688964844,177.15890502929688,16.770000457763672,18.51949996948242,0.6102667355271066
2023-04-24,81.27200317382812,177.74838256835938,16.889999389648438,18.276999950408936,0.3876142420102631
2023-04-25,79.34381866455078,172.2151336669922,18.760000228881836,18.18499994277954,0.4175008737194411
2023-04-26,79.68620300292969,171.7587890625,18.84000015258789,18.12849998474121,0.5263544818369806
2023-04-27,81.32608032226562,168.86856079101562,17.030000686645508,18.023999977111817,1.1036150611069713
2023-04-28,81.76683044433594,171.01722717285156,15.779999732971191,17.86199994087219,1.02665787057659
2023-05-01,79.912841796875,173.546142578125,16.079999923706055,17.73099989891052,0.43263375978255786
2023-05-02,78.42237091064453,174.6109619140625,17.780000686645508,17.692499971389772,0.03190253893712523
2023-05-03,77.02277374267578,173.40353393554688,18.34000015258789,17.659499979019166,-0.1692665597598892
2023-05-04,75.0779037475586,172.395751953125,20.09000015258789,17.709999990463256,-0.5019716497988912
