Date,BAC,WFC,VIX,AvgVIX,zscore
2022-09-07,30.675952911376953,39.84994125366211,24.639999389648438,22.905499935150146,0.3460491459138272
2022-09-08,31.66285514831543,41.11343002319336,23.610000610351562,23.098999977111816,0.4523314331592666
2022-09-09,31.927846908569336,41.20432662963867,22.790000915527344,23.228499984741212,0.53075981405137
2022-09-12,32.22940444946289,41.38612365722656,23.8700008392334,23.445499992370607,0.604269924091906
2022-09-13,31.06888771057129,39.2863655090332,27.270000457763672,23.811499977111815,0.6026303221777493
2022-09-14,30.95009422302246,39.34090042114258,26.15999984741211,24.13499994277954,0.5483311383065633
2022-09-15,31.534921646118164,40.12263107299805,26.270000457763672,24.45349998474121,0.6046836076730537
2022-09-16,31.178543090820312,39.940834045410156,26.299999237060547,24.79049997329712,0.5111709305233052
2022-09-19,31.699398040771484,40.286251068115234,25.760000228881836,25.048499965667723,0.631828256470602
2022-09-20,31.224224090576172,39.459075927734375,27.15999984741211,25.216499996185302,0.6246139689726871
2022-09-21,30.29216766357422,38.422821044921875,27.989999771118164,25.41049995422363,0.4926966369107793
2022-09-22,29.698204040527344,37.74109649658203,27.350000381469727,25.636999988555907,0.4129214492681797
2022-09-23,28.994583129882812,36.732112884521484,29.920000076293945,26.04399995803833,0.3588752395529064
2022-09-26,28.354928970336914,36.36851119995117,32.2599983215332,26.37899990081787,0.19852452304114554
2022-09-27,27.934585571289062,36.38669204711914,32.599998474121094,26.698499870300292,0.04150148435077306
2022-09-28,28.3914794921875,37.09571838378906,30.18000030517578,26.89699993133545,0.06577961766685227
2022-09-29,28.016826629638672,36.813926696777344,31.84000015258789,27.195499897003174,-0.014313923646318396
2022-09-30,27.596485137939453,36.559410095214844,31.6200008392334,27.498499965667726,-0.11655690380505548
2022-10-03,28.409753799438477,37.79563522338867,30.100000381469727,27.730000019073486,-0.06815166373814811
2022-10-04,29.588544845581055,39.57724380493164,29.06999969482422,27.83800001144409,0.00406545975004172
2022-10-05,29.168203353881836,39.36818313598633,28.549999237060547,28.033500003814698,-0.10730869133307253
2022-10-06,28.74785614013672,38.39555740356445,30.520000457763672,28.378999996185303,-0.06530026280736051
2022-10-07,28.09906768798828,37.986507415771484,31.360000610351562,28.807499980926515,-0.21985417425607295
2022-10-10,28.016826629638672,37.677459716796875,32.45000076293945,29.236499977111816,-0.18778011718035667
2022-10-11,27.203556060791016,36.56849670410156,33.630001068115234,29.554500007629393,-0.2617504198497326
2022-10-12,27.28579330444336,36.8230094909668,33.56999969482422,29.925,-0.2828709158303489
2022-10-13,28.958030700683594,38.52281951904297,31.940000534057617,30.2085000038147,-0.014178147152735666
2022-10-14,28.9671688079834,39.24091720581055,32.02000045776367,30.494500064849852,-0.1550951196159942
