Date,INTC,ADI,VIX,AvgVIX,zscore
2022-03-15,41.87635803222656,140.84962463378906,29.829999923706055,30.3435001373291,1.1870657642660862
2022-03-16,43.577205657958984,147.98915100097656,26.670000076293945,30.392000102996825,1.4403382344409075
2022-03-17,44.05381774902344,149.30508422851562,25.670000076293945,30.461000061035158,1.5118781280813847
2022-03-18,44.3435173034668,152.54354858398438,23.8700008392334,30.249000072479248,1.5533400636551942
2022-03-21,44.287452697753906,153.26214599609375,23.530000686645508,30.038000106811523,1.5442004514054883
2022-03-22,45.22197723388672,153.7754669189453,22.940000534057617,29.744500160217285,1.6861874065082543
2022-03-23,45.109832763671875,148.5211639404297,23.56999969482422,29.37200012207031,1.6734548182285147
2022-03-24,48.240516662597656,153.95278930664062,21.670000076293945,28.9395001411438,2.146036990356103
2022-03-25,48.436767578125,154.5780792236328,20.809999465942383,28.600500106811523,2.175425233659136
2022-03-28,48.13771438598633,156.09933471679688,19.6299991607666,28.07450008392334,2.1285908689055466
2022-03-29,48.82926559448242,158.82447814941406,18.899999618530273,27.353500080108642,2.231716839412323
2022-03-30,48.06295394897461,155.3713836669922,19.329999923706055,26.78300008773804,2.117801748518787
2022-03-31,46.31538772583008,154.1581268310547,20.559999465942383,26.28700008392334,1.8524954177825323
2022-04-01,44.96031188964844,154.3261260986328,19.6299991607666,25.669500064849853,1.6458554656635618
2022-04-04,45.97895431518555,153.5234832763672,18.56999969482422,24.77550001144409,1.801752455314723
2022-04-05,44.97899627685547,149.30508422851562,21.030000686645508,24.070499992370607,1.6528665148369386
2022-04-06,44.42762756347656,149.58505249023438,22.100000381469727,23.55299997329712,1.5686110145792949
2022-04-07,44.44632339477539,150.4903106689453,21.549999237060547,23.11899995803833,1.5707093906735305
2022-04-08,43.941673278808594,148.14784240722656,21.15999984741211,22.639499950408936,1.4957480292067513
2022-04-11,43.5211296081543,144.55470275878906,24.3700008392334,22.26949996948242,1.4346408142690443
2022-04-12,43.455718994140625,145.1240234375,24.260000228881836,21.99099998474121,1.424200748017212
2022-04-13,43.93232345581055,147.56919860839844,21.81999969482422,21.748499965667726,1.494803048891765
2022-04-14,42.680057525634766,146.05731201171875,22.700000762939453,21.6,1.3052234008642887
2022-04-18,43.586551666259766,149.6410675048828,22.170000076293945,21.51499996185303,1.440392616113456
2022-04-19,44.79209518432617,151.48899841308594,21.3700008392334,21.40699996948242,1.6225735473972722
2022-04-20,44.96031188964844,150.6116485595703,20.31999969482422,21.27599992752075,1.6489357166798777
2022-04-21,44.3902473449707,148.11984252929688,22.68000030517578,21.23149995803833,1.5641296591247045
2022-04-22,43.493099212646484,144.89071655273438,28.209999084472656,21.558499908447267,1.4300906079479194
2022-04-25,43.97905731201172,148.31582641601562,27.020000457763672,21.86899995803833,1.5013056977709283
2022-04-26,42.53986740112305,142.613525390625,33.52000045776367,22.563500022888185,1.286715541574222
2022-04-27,42.259517669677734,141.5962677001953,31.600000381469727,23.198500061035155,1.24483648198584
2022-04-28,43.77345657348633,149.7437286376953,29.989999771118164,23.73150005340576,1.4687900096646958
2022-04-29,40.73622512817383,144.07876586914062,33.400001525878906,24.37350015640259,1.0106425967981867
2022-05-02,42.01653289794922,147.59719848632812,32.34000015258789,25.00900020599365,1.2028316144519189
2022-05-03,42.109989166259766,148.2691650390625,29.25,25.54300022125244,1.2165162267312646
2022-05-04,43.493099212646484,153.7754669189453,25.420000076293945,25.762500190734862,1.4227228796315035
