Date,MNST,HD,VIX,AvgVIX,zscore
2015-03-04,23.25666618347168,88.06581115722656,14.229999542236328,15.327499914169312,0.2703479783896634
2015-03-05,23.338333129882812,88.94832611083984,14.039999961853027,15.11299991607666,0.27429185219229923
2015-03-06,22.770000457763672,87.8279037475586,15.199999809265137,15.03049988746643,0.04163664390921199
2015-03-09,22.86833381652832,88.44182586669922,15.0600004196167,14.918999862670898,0.06472311787414008
2015-03-10,22.65333366394043,86.822021484375,16.690000534057617,14.825999927520751,0.025587043460728143
2015-03-11,22.65999984741211,87.21540069580078,16.8700008392334,14.807999992370606,0.012775983252547765
2015-03-12,22.975000381469727,89.55253601074219,15.420000076293945,14.73100004196167,0.07158903864060283
2015-03-13,22.579999923706055,88.56526947021484,16.0,14.764000034332275,-0.08158667257621738
2015-03-16,23.00666618347168,89.861083984375,15.609999656677246,14.810000038146972,0.07449313384620286
2015-03-17,22.71500015258789,89.15147399902344,15.65999984741211,14.803000020980836,-0.03940303589176863
2015-03-18,22.78499984741211,89.53713989257812,13.970000267028809,14.729000043869018,-0.02086957877043357
2015-03-19,23.046667098999023,88.82749938964844,14.069999694824219,14.668000030517579,0.1363326402547044
2015-03-20,22.920000076293945,90.6247329711914,13.020000457763672,14.604000043869018,0.0008227590494525936
2015-03-23,22.989999771118164,89.52940368652344,13.40999984741211,14.54650001525879,0.07988315645643905
2015-03-24,23.116666793823242,89.59111785888672,13.619999885559082,14.543000030517579,0.13941951570204414
2015-03-25,22.671667098999023,87.6859130859375,15.4399995803833,14.623000001907348,-0.0007372440650478737
2015-03-26,22.761667251586914,86.67546081542969,15.800000190734863,14.717500019073487,0.08465322318611732
2015-03-27,22.998332977294922,87.82475280761719,15.069999694824219,14.803999996185302,0.15363343032929577
2015-03-30,23.406667709350586,88.4186782836914,14.510000228881836,14.877500009536742,0.3294175597596166
2015-03-31,23.066667556762695,87.63191986083984,15.289999961853027,14.949000024795533,0.19499381681298517
2015-04-01,22.774999618530273,87.26165771484375,15.109999656677246,14.993000030517578,0.06722787176077195
2015-04-02,22.610000610351562,88.3492660522461,14.670000076293945,15.024500036239624,-0.058060431694182894
2015-04-06,22.953332901000977,88.66551208496094,14.739999771118164,15.001500034332276,0.0972252591102895
2015-04-07,22.920000076293945,88.16414642333984,14.779999732971191,14.9875,0.10138471714321341
2015-04-08,22.96500015258789,89.15917205810547,13.979999542236328,14.851999950408935,0.08276601090412268
2015-04-09,22.933332443237305,88.37239837646484,13.09000015258789,14.66299991607666,0.09940563558537498
2015-04-10,23.05666732788086,88.88921356201172,12.579999923706055,14.520999908447266,0.13870989608154738
2015-04-13,22.963333129882812,88.27213287353516,13.9399995803833,14.417999887466431,0.11820177202455531
2015-04-14,22.633333206176758,87.97127532958984,13.670000076293945,14.320999908447266,-0.03118084409445498
2015-04-15,22.948333740234375,87.50850677490234,12.84000015258789,14.179999923706054,0.14206176299948417
2015-04-16,23.0,87.4468002319336,12.600000381469727,14.111499929428101,0.16989674416913123
2015-04-17,22.81833267211914,86.4671859741211,13.890000343322754,14.102499961853027,0.12092758084328588
2015-04-20,23.26333236694336,87.05340576171875,13.300000190734863,14.116499948501588,0.31499007009550145
2015-04-21,23.308332443237305,87.29252624511719,13.25,14.10849995613098,0.32726452720440136
2015-04-22,23.31833267211914,87.1536865234375,12.710000038146973,14.062999963760376,0.3378382402157731
2015-04-23,23.393333435058594,87.90189361572266,12.479999542236328,13.914999961853027,0.34400516126904584
2015-04-24,23.6299991607666,87.70134735107422,12.289999961853027,13.739499950408936,0.4681520433401231
2015-04-27,23.906667709350586,85.9195327758789,13.119999885559082,13.641999959945679,0.6765227069375701
2015-04-28,23.456666946411133,85.29476165771484,12.40999984741211,13.536999940872192,0.4815855793783217
2015-04-29,23.19333267211914,83.85237121582031,13.390000343322754,13.44199995994568,0.4115181964338853
2015-04-30,22.851667404174805,82.51792907714844,14.550000190734863,13.413999986648559,0.2986619964392784
2015-05-01,23.52166748046875,84.50028228759766,12.699999809265137,13.315499973297118,0.5459012494709324
2015-05-04,23.641666412353516,84.8936538696289,12.850000381469727,13.221000003814698,0.5886161401563188
2015-05-05,23.43833351135254,83.3509750366211,14.3100004196167,13.197500038146973,0.5520442046271826
