Date,KO,AMAT,VIX,AvgVIX,zscore
2020-03-06,45.655784606933594,54.70951843261719,41.939998626708984,24.630499839782715,0.4085232938791156
2020-03-09,42.846702575683594,49.29441833496094,54.459999084472656,26.57999978065491,-0.021556831527094797
2020-03-10,44.3338623046875,53.17586135864258,47.29999923706055,28.192999744415282,0.18186086583241987
2020-03-11,43.13587951660156,49.69203186035156,53.900001525878906,30.12899980545044,0.026540699594182367
2020-03-12,38.963565826416016,42.705413818359375,75.47000122070312,33.21549987792969,-0.6375257055029244
2020-03-13,40.3970947265625,48.177310943603516,57.83000183105469,35.39949998855591,-0.48283849441716403
2020-03-16,37.721736907958984,38.36954116821289,82.69000244140625,38.850000095367434,-0.7811985089443639
2020-03-17,39.32194519042969,42.46874237060547,75.91000366210938,41.9040002822876,-0.5604686981273113
2020-03-18,37.38002395629883,37.091514587402344,76.44999694824219,45.007500123977664,-0.8187011984614452
2020-03-19,34.863014221191406,38.04767990112305,72.0,47.829500102996825,-1.343006600963661
2020-03-20,31.920957565307617,35.964942932128906,66.04000091552734,50.27750015258789,-1.879293223346459
2020-03-23,31.304208755493164,38.02872848510742,61.59000015258789,52.10550012588501,-2.051529527339721
2020-03-24,32.87941360473633,42.733821868896484,61.66999816894531,53.796500015258786,-1.8502747787173337
2020-03-25,34.67966842651367,42.345672607421875,63.95000076293945,55.61600008010864,-1.4823473691946887
2020-03-26,36.91328811645508,46.5774040222168,61.0,56.708000087738036,-1.138601272067821
2020-03-27,35.67979431152344,42.64861297607422,65.54000091552734,57.97950010299682,-1.2903516390757561
2020-03-30,37.50503921508789,44.77867126464844,57.08000183105469,59.16250028610229,-0.9776854496135743
2020-03-31,36.879947662353516,43.3775749206543,53.540000915527344,59.99850034713745,-1.068698079540839
2020-04-01,35.104713439941406,40.99190139770508,57.060001373291016,61.252000427246095,-1.36528652852489
2020-04-02,36.62993240356445,40.93509292602539,50.90999984741211,61.81650047302246,-1.0600772896537909
2020-04-03,36.5299072265625,40.02626419067383,46.79999923706055,62.059500503540036,-1.0582633703619098
2020-04-06,38.89689254760742,43.689979553222656,45.2400016784668,61.598500633239745,-0.6743606260085492
2020-04-07,38.76354217529297,45.024818420410156,46.70000076293945,61.568500709533694,-0.7328579009175731
2020-04-08,39.8553581237793,48.716941833496094,43.349998474121094,61.041000556945804,-0.603670759751195
2020-04-09,40.83882522583008,46.946598052978516,41.66999816894531,59.35100040435791,-0.3653973713380299
2020-04-13,39.11359405517578,47.221153259277344,41.16999816894531,58.51800022125244,-0.715661400440904
2020-04-14,40.77214050292969,49.673099517822266,37.7599983215332,56.27150001525879,-0.44390454971835847
2020-04-15,39.680335998535156,47.685035705566406,40.84000015258789,54.51799983978272,-0.6138533295030271
2020-04-16,39.255271911621094,49.445884704589844,40.11000061035156,52.70100002288818,-0.7406559426136234
2020-04-17,40.05537796020508,50.36417770385742,38.150001525878906,51.00850009918213,-0.6032279119811739
2020-04-20,38.78022384643555,47.93117904663086,43.83000183105469,49.898000144958495,-0.7990595639457291
2020-04-21,37.82175064086914,45.753780364990234,45.40999984741211,49.089000129699706,-0.9379172150628652
2020-04-22,38.0717887878418,49.33229064941406,41.97999954223633,48.104500198364256,-0.9737091171162869
2020-04-23,37.56336975097656,48.18678283691406,41.380001068115234,46.976000213623045,-1.0475926413931878
2020-04-24,37.86342239379883,48.98200607299805,35.93000030517578,45.722500228881835,-1.006839960887493
2020-04-27,38.98856735229492,48.30985641479492,33.290000915527344,44.11000022888184,-0.766612482346471
2020-04-28,38.955230712890625,47.73237228393555,33.56999969482422,42.93450012207031,-0.759439350174423
2020-04-29,39.27194595336914,51.44340515136719,31.229999542236328,41.81900005340576,-0.7851181682686332
2020-04-30,38.24681091308594,47.03181457519531,34.150001525878906,40.673500061035156,-0.8838104644461459
2020-05-01,38.00510787963867,44.390533447265625,37.189998626708984,39.9875,-0.8687781305101987
