Date,XLU,CVX,VIX,AvgVIX,zscore
2023-03-28,30.08111000061035,140.47305297851562,19.969999313354492,22.048999977111816,0.3037492069951346
2023-03-29,30.518993377685547,141.67971801757812,19.1200008392334,21.976000022888183,0.6258469152953773
2023-03-30,30.651264190673828,143.0272674560547,19.020000457763672,21.947500038146973,0.7033252907210507
2023-03-31,30.87476348876953,143.7054443359375,18.700000762939453,21.958000087738036,0.8664710310810566
2023-04-03,30.66495132446289,149.68582153320312,18.549999237060547,21.955000019073488,0.579924871805489
2023-04-04,30.820035934448242,148.8843536376953,19.0,21.925500011444093,0.7187736212825914
2023-04-05,31.61824607849121,149.62420654296875,19.079999923706055,21.923999977111816,1.3353470344123615
2023-04-06,31.84173583984375,147.66009521484375,18.399999618530273,21.71349992752075,1.5517506931072942
2023-04-10,31.77787971496582,148.22378540039062,18.969999313354492,21.42199993133545,1.4898688574059542
2023-04-11,31.805253982543945,149.04290771484375,19.100000381469727,21.050999927520753,1.4950129066013131
2023-04-12,31.773332595825195,149.5713653564453,19.09000015258789,20.81899995803833,1.4591058473935261
2023-04-13,31.77787971496582,151.57066345214844,17.799999237060547,20.401999950408936,1.422399680896464
2023-04-14,31.42210578918457,151.87893676757812,17.06999969482422,20.10599994659424,1.1347218238495784
2023-04-17,31.595430374145508,150.54019165039062,16.950000762939453,19.67799997329712,1.298831649799414
2023-04-18,31.43123435974121,150.18788146972656,16.829999923706055,19.311999988555907,1.1760334216959323
2023-04-19,31.6729793548584,150.32879638671875,16.459999084472656,19.06599998474121,1.3644444578113488
2023-04-20,31.663854598999023,149.5977783203125,17.170000076293945,18.811499977111815,1.3719620653975697
2023-04-21,31.755077362060547,148.95480346679688,16.770000457763672,18.51949996948242,1.4570927563574965
2023-04-24,31.914724349975586,151.03341674804688,16.889999389648438,18.276999950408936,1.5414918465111407
2023-04-25,31.88279914855957,148.84030151367188,18.760000228881836,18.18499994277954,1.560445519394042
2023-04-26,31.134756088256836,146.189208984375,18.84000015258789,18.12849998474121,1.0220891633522176
2023-04-27,31.508773803710938,147.04356384277344,17.030000686645508,18.023999977111817,1.3007629952486373
2023-04-28,31.46316146850586,148.47921752929688,15.779999732971191,17.86199994087219,1.2357365968016203
2023-05-01,31.517898559570312,147.29898071289062,16.079999923706055,17.73099989891052,1.3028329557077136
2023-05-02,31.134756088256836,140.95748901367188,17.780000686645508,17.692499971389772,1.1275545650468541
2023-05-03,31.0480899810791,138.13021850585938,18.34000015258789,17.659499979019166,1.1159848995099575
2023-05-04,31.2852725982666,137.59295654296875,20.09000015258789,17.709999990463256,1.3144577602666427
