Date,LRCX,MS,VIX,AvgVIX,zscore
2015-10-26,6.4856061935424805,24.144058227539062,15.289999961853027,18.063000011444093,-0.48412593802434173
2015-10-27,6.488196849822998,23.90669822692871,15.430000305175781,17.493000030517578,-0.4128066177543972
2015-10-28,6.543489456176758,24.92020034790039,14.329999923706055,16.984500026702882,-0.680298313039977
2015-10-29,6.552126407623291,24.994722366333008,14.609999656677246,16.587500047683715,-0.6974153814649847
2015-10-30,6.616922855377197,24.5699462890625,15.069999694824219,16.294000005722047,-0.536206225419501
2015-11-02,6.6177873611450195,24.95001220703125,14.149999618530273,16.024499940872193,-0.6476065096257493
2015-11-03,6.595324516296387,24.80841827392578,14.539999961853027,15.78149995803833,-0.6184616080435156
2015-11-04,6.653208255767822,24.890392303466797,15.510000228881836,15.636999988555909,-0.6102863697866109
2015-11-05,6.658392429351807,25.248092651367188,15.050000190734863,15.518499994277954,-0.7126918098308163
2015-11-06,6.643706798553467,26.388286590576172,14.329999923706055,15.380999994277953,-1.0565355153300011
2015-11-09,6.652344703674316,26.164724349975586,16.520000457763672,15.398500013351441,-0.9859028040568074
2015-11-10,6.602236747741699,26.261598587036133,15.289999961853027,15.279500007629395,-1.0423870347169906
2015-11-11,6.636793613433838,26.0976505279541,16.059999465942383,15.180999946594238,-0.9748372900273887
2015-11-12,6.5175700187683105,25.508922576904297,18.3700008392334,15.29700002670288,-0.8680711521861706
2015-11-13,6.528801918029785,25.285358428955078,20.079999923706055,15.54850001335144,-0.7959900987507721
2015-11-16,6.687766075134277,25.374786376953125,18.15999984741211,15.70750002861023,-0.7335933168589076
2015-11-17,6.7180047035217285,25.031980514526367,18.84000015258789,15.862000036239625,-0.6158020191067437
2015-11-18,6.775888919830322,25.523832321166992,16.850000381469727,15.869500017166137,-0.7282852391754874
2015-11-19,6.731826305389404,25.464214324951172,16.989999771118164,15.996500015258789,-0.7353276303209557
2015-11-20,6.771568775177002,25.27045440673828,15.470000267028809,16.047000026702882,-0.6561077195411679
2015-11-23,6.6514811515808105,25.069244384765625,15.619999885559082,16.063500022888185,-0.6639003125789187
2015-11-24,6.677398681640625,25.031980514526367,15.930000305175781,16.088500022888184,-0.638465375639493
2015-11-25,6.6765336990356445,25.046890258789062,15.1899995803833,16.131500005722046,-0.6433372372881201
2015-11-27,6.70677375793457,25.1735782623291,15.119999885559082,16.157000017166137,-0.6637534904823957
2015-11-30,6.756016731262207,25.561092376708984,16.1299991607666,16.209999990463256,-0.7503449789842048
