Date,KRE,XLF,VIX,AvgVIX,zscore
2022-04-12,57.593204498291016,34.78151321411133,24.260000228881836,21.99099998474121,1.1440186816254185
2022-04-13,58.404239654541016,34.78151321411133,21.81999969482422,21.748499965667726,1.2626670107903046
2022-04-14,57.65557861328125,34.389976501464844,22.700000762939453,21.6,1.1931183533674297
2022-04-18,57.85166549682617,34.59506607055664,22.170000076293945,21.51499996185303,1.2008653118201096
2022-04-19,59.937198638916016,35.070499420166016,21.3700008392334,21.40699996948242,1.457422666046271
2022-04-20,60.311527252197266,35.31287384033203,20.31999969482422,21.27599992752075,1.4874383662862292
2022-04-21,59.072689056396484,34.753536224365234,22.68000030517578,21.23149995803833,1.3633124918155601
2022-04-22,57.83383560180664,33.7187614440918,28.209999084472656,21.558499908447267,1.2877251967094263
2022-04-25,57.89622497558594,33.774696350097656,27.020000457763672,21.86899995803833,1.2911414934863426
2022-04-26,56.113704681396484,32.92636489868164,33.52000045776367,22.563500022888185,1.116984493204426
2022-04-27,56.07805633544922,32.898399353027344,31.600000381469727,23.198500061035155,1.114624613335889
2022-04-28,56.906917572021484,33.31791305541992,29.989999771118164,23.73150005340576,1.1930495819140734
2022-04-29,55.11549377441406,32.17125701904297,33.400001525878906,24.37350015640259,1.0480481762639695
2022-05-02,55.89087677001953,32.18058776855469,32.34000015258789,25.00900020599365,1.1605282195363356
2022-05-03,56.66628646850586,32.600093841552734,29.25,25.54300022125244,1.2311344099904933
2022-05-04,58.217079162597656,33.59756851196289,25.420000076293945,25.762500190734862,1.3561643016350975
2022-05-05,56.532588958740234,32.61874008178711,31.200000762939453,26.21750020980835,1.2096717429781336
