Date,KO,HD,VIX,AvgVIX,zscore
2020-04-20,38.78022384643555,178.21865844726562,43.83000183105469,49.898000144958495,-0.44949690771671696
2020-04-21,37.82175064086914,173.513427734375,45.40999984741211,49.089000129699706,-0.5519981846937136
2020-04-22,38.0717887878418,176.5925750732422,41.97999954223633,48.104500198364256,-0.5604801481184389
2020-04-23,37.56336975097656,174.99244689941406,41.380001068115234,46.976000213623045,-0.6318899288355955
2020-04-24,37.86342239379883,183.5206756591797,35.93000030517578,45.722500228881835,-0.7340018979775612
2020-04-27,38.98856735229492,188.346923828125,33.290000915527344,44.11000022888184,-0.6004148901096048
2020-04-28,38.955230712890625,188.23451232910156,33.56999969482422,42.93450012207031,-0.6049546591844309
2020-04-29,39.27194595336914,191.8498992919922,31.229999542236328,41.81900005340576,-0.6102798856784651
2020-04-30,38.24681091308594,190.13735961914062,34.150001525878906,40.673500061035156,-0.7830598766182116
2020-05-01,38.00510787963867,189.04754638671875,37.189998626708984,39.9875,-0.8107480502323624
