Date,GOOGL,KDP,VIX,AvgVIX,zscore
2022-03-24,140.41148376464844,33.26544189453125,21.670000076293945,28.9395001411438,0.14892282647755575
2022-03-25,140.5116729736328,33.55112838745117,20.809999465942383,28.600500106811523,0.23096695092547292
2022-03-28,140.29595947265625,33.92611312866211,19.6299991607666,28.07450008392334,0.3320678915194394
2022-03-29,141.3373565673828,34.18502426147461,18.899999618530273,27.353500080108642,0.42445905194668504
2022-03-30,140.7750244140625,34.060028076171875,19.329999923706055,26.78300008773804,0.3787245070752152
2022-03-31,137.9275360107422,34.00440979003906,20.559999465942383,26.28700008392334,0.30909434809948005
2022-04-01,139.00164794921875,34.309452056884766,19.6299991607666,25.669500064849853,0.41504732324259613
2022-04-04,141.7995147705078,34.41712188720703,18.56999969482422,24.77550001144409,0.4983379054633549
2022-04-05,139.4385528564453,33.15205001831055,21.030000686645508,24.070499992370607,0.09865300351605343
2022-04-06,135.42869567871094,33.94159698486328,22.100000381469727,23.55299997329712,0.24406109884311092
2022-04-07,134.7745819091797,33.74421310424805,21.549999237060547,23.11899995803833,0.17627830924783888
2022-04-08,132.1949005126953,33.780094146728516,21.15999984741211,22.639499950408936,0.13739761882552165
2022-04-11,127.76750183105469,33.72626495361328,24.3700008392334,22.26949996948242,0.03829246141975872
2022-04-12,126.66758728027344,33.76215744018555,24.260000228881836,21.99099998474121,0.027491770392938403
2022-04-13,128.8292236328125,33.7890739440918,21.81999969482422,21.748499965667726,0.076057051827217
2022-04-14,125.69117736816406,33.4122314453125,22.700000762939453,21.6,-0.08919858411504913
2022-04-18,126.62989807128906,32.99951934814453,22.170000076293945,21.51499996185303,-0.18716492833474743
2022-04-19,128.94326782226562,33.6993522644043,21.3700008392334,21.40699996948242,0.053051429505793106
2022-04-20,126.99042510986328,34.10309600830078,20.31999969482422,21.27599992752075,0.12926015602378207
2022-04-21,123.7913589477539,33.65449142456055,22.68000030517578,21.23149995803833,-0.05728455674725253
2022-04-22,118.65482330322266,33.196903228759766,28.209999084472656,21.558499908447267,-0.28311057105653376
2022-04-25,122.06512451171875,33.4660758972168,27.020000457763672,21.86899995803833,-0.14289366416966862
2022-04-26,117.6773910522461,33.24176788330078,33.52000045776367,22.563500022888185,-0.2890703610379496
2022-04-27,113.35759735107422,33.968509674072266,31.600000381469727,23.198500061035155,-0.1671615681505066
2022-04-28,117.55094909667969,34.08514404296875,29.989999771118164,23.73150005340576,-0.054878537560939855
2022-04-29,113.17411804199219,33.55580139160156,33.400001525878906,24.37350015640259,-0.2864192323576096
2022-05-02,115.6273422241211,32.77520751953125,32.34000015258789,25.00900020599365,-0.4588509624058817
2022-05-03,116.37218475341797,33.36738204956055,29.25,25.54300022125244,-0.2785967419815986
2022-05-04,121.2587890625,33.3942985534668,25.420000076293945,25.762500190734862,-0.1783284841092596
